"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Eguía"
"Si",0.38,0.418,0.346,0.412,0.349,0.422,0.338,0.454,0.355,0.284,0.391,0.471,0.396,0.435
"No",0.62,0.582,0.654,0.588,0.651,0.578,0.662,0.546,0.645,0.716,0.609,0.529,0.604,0.565
