"var","categoria","José Rioseco con el apoyo de Ramón Rioseco","Rubén Ojito García con el apoyo de Rolo Figueroa","Otros candidatos","En blanco","No sabe"
"P06","José Rioseco",0.79,0.087,0.108,0,0
"P06","Rubén Ojito García",0.157,0.793,0.102,0,0.08
"P06","Otros candidatos",0.025,0.035,0.444,0.089,0.222
"P06","En blanco",0,0.017,0.17,0.76,0
"P06","No sabe",0.028,0.068,0.176,0.151,0.698
"P10","Lo votaría",0.214,0.686,0.151,0.193,0.065
"P10","Puede que lo vote",0.184,0.187,0.051,0,0.071
"P10","Nunca lo votaría",0.529,0.028,0.563,0.418,0.211
"P10","No sabe",0.073,0.099,0.235,0.389,0.653
"P11","Lo votaría",0.737,0.089,0.176,0,0.015
"P11","Puede que lo vote",0.15,0.206,0.034,0.332,0.092
"P11","Nunca lo votaría",0.069,0.625,0.629,0.284,0.476
"P11","No sabe",0.044,0.08,0.161,0.384,0.417
"P12","Si",0.466,0.402,0.629,0.158,0.167
"P12","No",0.534,0.598,0.371,0.842,0.833
