"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.48,0.417,0.479,0.606,0.55,0.395
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.191,0.285,0.157,0.144,0.146
"P04","No tengo trabajo",0.147,0.136,0.16,0.117,0.157,0.234
"P04","Soy jubilado o pensionado",0.208,0.256,0.076,0.12,0.149,0.225
"P05","1",0.217,0.399,0.359,0.242,0.218,0.292
"P05","2",0.067,0.085,0.102,0.074,0.049,0.078
"P05","3",0.018,0.077,0.092,0.013,0.027,0.083
"P05","4",0.029,0.107,0.098,0.078,0.123,0.05
"P05","5",0.117,0.203,0.202,0.191,0.314,0.251
"P05","6",0.067,0.035,0.009,0.079,0.079,0.066
"P05","7",0.142,0.022,0.037,0.053,0.062,0.065
"P05","8",0.107,0.014,0.016,0.063,0.026,0.005
"P05","9",0.236,0.058,0.085,0.207,0.102,0.11
"P06","1",0.463,0.142,0.103,0.336,0.177,0.284
"P06","2",0.083,0.039,0.032,0.096,0.019,0.039
"P06","3",0.092,0.025,0.026,0.138,0.045,0.078
"P06","4",0.038,0.036,0.02,0,0.095,0.056
"P06","5",0.136,0.195,0.154,0.139,0.359,0.272
"P06","6",0.042,0.062,0.046,0.095,0.065,0.063
"P06","7",0.03,0.1,0.088,0.075,0.086,0.035
"P06","8",0.024,0.093,0.112,0.066,0.032,0.044
"P06","9",0.092,0.308,0.419,0.055,0.122,0.129
"P07","1",0.6,0.205,0.215,0.51,0.342,0.309
"P07","2",0.046,0.037,0.032,0.04,0.052,0.04
"P07","3",0.041,0.028,0.013,0.063,0.036,0.047
"P07","4",0.016,0.027,0.008,0.047,0.018,0.017
"P07","5",0.053,0.103,0.126,0.039,0.202,0.118
"P07","6",0.02,0.026,0.039,0.018,0.029,0.054
"P07","7",0.011,0.055,0.047,0.058,0.032,0.019
"P07","8",0.01,0.061,0.084,0.019,0.01,0.021
"P07","9",0.203,0.458,0.436,0.206,0.279,0.375
"P09","Del Frente de Todos y el peronismo",0.856,0.044,0.033,0.207,0.199,0.212
"P09","De Juntos por el cambio",0.045,0.764,0.138,0.155,0.334,0.244
"P09","De los Liberales libertarios",0.008,0.11,0.74,0.046,0.04,0.038
"P09","De la Izquierda",0.027,0.003,0.014,0.413,0.039,0.034
"P09","No sabe",0.064,0.079,0.075,0.179,0.388,0.472
"P10","A Alberto Fernández",0.17,0.288,0.02,0,0.16,0.378
"P10","A Sergio Massa",0.236,0.016,0.273,0.206,0.408,0.269
"P10","A algún candidato del peronismo",0.106,0.597,0.444,0.656,0.24,0.205
"P10","A algún candidato del kirchnerismo",0.488,0.099,0.263,0.138,0.192,0.148
"P11","A Alberto Fernández",0.123,0.242,0.02,0,0.038,0.34
"P11","A Sergio Massa",0.113,0.132,0.157,0.206,0.365,0.327
"P11","A algún candidato del peronismo",0.071,0.626,0.6,0.634,0.337,0.143
"P11","A Cristina Fernández de Kirchner",0.693,0,0.223,0.16,0.26,0.19
"P12","A Horacio Rodriguez Larreta",0.375,0.175,0.342,0.561,0.344,0.287
"P12","A Mauricio Macri",0.146,0.353,0.219,0.394,0.253,0.361
"P12","A Patricia Bullrich",0.018,0.426,0.327,0,0.066,0.132
"P12","A Facundo Manes",0.26,0.026,0.037,0.045,0.229,0.131
"P12","A Gerardo Morales",0.201,0.02,0.075,0,0.108,0.089
"P13","Seguro lo votaria",0.063,0.15,0.596,0.107,0.138,0.174
"P13","Quizás lo votaría",0.173,0.38,0.278,0.731,0.286,0.515
"P13","Nunca lo votaría",0.764,0.47,0.126,0.162,0.576,0.311
"P14","Lo votaría",0.029,0.511,0.158,0.131,0.078,0.115
"P14","Puede que lo vote",0.025,0.311,0.357,0.048,0.197,0.164
"P14","Nunca lo votaría",0.871,0.138,0.397,0.762,0.592,0.519
"P14","No sabe",0.075,0.04,0.088,0.059,0.133,0.202
"P15","Lo votaría",0.267,0.054,0.032,0.116,0.112,0.083
"P15","Puede que lo vote",0.389,0.081,0.104,0.178,0.183,0.15
"P15","Nunca lo votaría",0.263,0.838,0.829,0.481,0.596,0.511
"P15","No sabe",0.081,0.027,0.035,0.225,0.109,0.256
"P16","Lo votaría",0.304,0.024,0.021,0.115,0.047,0.15
"P16","Puede que lo vote",0.405,0.023,0.016,0.311,0.221,0.147
"P16","Nunca lo votaría",0.208,0.946,0.933,0.414,0.67,0.567
"P16","No sabe",0.083,0.007,0.03,0.16,0.062,0.136
"P17","La votaría",0.817,0.019,0.023,0.105,0.089,0.128
"P17","Puede que la vote",0.113,0.011,0.01,0.287,0.097,0.125
"P17","Nunca la votaría",0.044,0.965,0.949,0.456,0.734,0.573
"P17","No sabe",0.026,0.005,0.018,0.152,0.08,0.174
"P18","Lo votaría",0.094,0.24,0.094,0.024,0.163,0.046
"P18","Puede que lo vote",0.051,0.447,0.236,0.245,0.272,0.239
"P18","Nunca lo votaría",0.821,0.266,0.59,0.608,0.424,0.473
"P18","No sabe",0.034,0.047,0.08,0.123,0.141,0.242
"P19","Lo votaría",0.03,0.103,0.056,0.043,0.188,0.067
"P19","Puede que lo vote",0.13,0.339,0.187,0.315,0.26,0.238
"P19","Nunca lo votaría",0.711,0.487,0.614,0.464,0.383,0.308
"P19","No sabe",0.129,0.071,0.143,0.178,0.169,0.387
"P20","La votaría",0.014,0.674,0.182,0.149,0.052,0.045
"P20","Puede que la vote",0.033,0.243,0.414,0.084,0.185,0.194
"P20","Nunca la votaría",0.911,0.063,0.349,0.706,0.649,0.545
"P20","No sabe",0.042,0.02,0.055,0.061,0.114,0.216
"P21","Lo votaría",0.019,0.197,0.756,0.058,0.018,0.026
"P21","Puede que lo vote",0.045,0.333,0.177,0.265,0.156,0.188
"P21","Nunca lo votaría",0.896,0.409,0.058,0.616,0.705,0.562
