"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.201,0.548,0.453,0.509
"P04","Realizo changas o trabajos de vez en cuando",0.47,0.149,0.229,0.137
"P04","No tengo trabajo",0.194,0.138,0.16,0.138
"P04","Soy jubilado o pensionado",0.135,0.165,0.158,0.216
"P05","1",0.359,0.297,0.163,0.182
"P05","2",0.061,0.108,0.049,0.07
"P05","3",0.038,0.016,0.045,0.018
"P05","4",0.027,0.05,0.101,0.038
"P05","5",0.082,0.158,0.237,0.127
"P05","6",0.013,0.05,0.08,0.068
"P05","7",0.042,0.087,0.102,0.165
"P05","8",0.049,0.046,0.053,0.094
"P05","9",0.329,0.188,0.17,0.238
"P06","1",0.542,0.326,0.186,0.455
"P06","2",0.047,0.065,0.049,0.092
"P06","3",0.027,0.094,0.119,0.077
"P06","4",0.021,0.068,0.074,0.057
"P06","5",0.106,0.204,0.248,0.131
"P06","6",0.032,0.016,0.036,0.047
"P06","7",0.022,0.024,0.085,0.027
"P06","8",0.014,0.016,0.03,0.029
"P06","9",0.189,0.187,0.173,0.085
"P07","1",0.466,0.409,0.484,0.654
"P07","2",0.033,0.067,0.02,0.059
"P07","3",0.013,0.046,0.037,0.044
"P07","4",0.014,0.002,0.017,0.017
"P07","5",0.052,0.093,0.113,0.058
"P07","6",0.006,0.006,0.016,0.017
"P07","7",0.005,0.008,0.041,0.009
"P07","8",0.017,0.008,0.036,0.008
"P07","9",0.394,0.361,0.236,0.134
"P10","A Alberto Fernández",0.823,0.128,0.085,0.087
"P10","A Sergio Massa",0.075,0.792,0.094,0.149
"P10","A algún candidato del peronismo",0.043,0.045,0.733,0.091
"P10","A algún candidato del kirchnerismo",0.059,0.035,0.088,0.673
"P14","Lo votaría",0.149,0.05,0.114,0.018
"P14","Puede que lo vote",0.112,0.155,0.155,0.007
"P14","Nunca lo votaría",0.713,0.79,0.703,0.889
"P14","No sabe",0.026,0.005,0.028,0.086
"P15","Lo votaría",0.309,0.616,0.159,0.196
"P15","Puede que lo vote",0.284,0.19,0.394,0.421
"P15","Nunca lo votaría",0.35,0.169,0.382,0.267
"P15","No sabe",0.057,0.025,0.065,0.116
"P16","Lo votaría",0.834,0.272,0.081,0.225
"P16","Puede que lo vote",0.114,0.457,0.374,0.437
"P16","Nunca lo votaría",0.031,0.213,0.457,0.209
"P16","No sabe",0.021,0.058,0.088,0.129
"P17","La votaría",0.751,0.501,0.324,0.885
"P17","Puede que la vote",0.161,0.221,0.205,0.058
"P17","Nunca la votaría",0.05,0.212,0.413,0.035
"P17","No sabe",0.038,0.066,0.058,0.022
"P18","Lo votaría",0.113,0.07,0.1,0.084
"P18","Puede que lo vote",0.147,0.063,0.211,0.02
"P18","Nunca lo votaría",0.675,0.786,0.628,0.854
"P18","No sabe",0.065,0.081,0.061,0.042
"P19","Lo votaría",0.062,0.072,0.049,0.018
"P19","Puede que lo vote",0.15,0.145,0.269,0.109
"P19","Nunca lo votaría",0.6,0.661,0.561,0.753
"P19","No sabe",0.188,0.122,0.121,0.12
"P20","La votaría",0.061,0.063,0.193,0.016
"P20","Puede que la vote",0.097,0.046,0.068,0.028
"P20","Nunca la votaría",0.757,0.851,0.693,0.935
"P20","No sabe",0.085,0.04,0.046,0.021
"P21","Lo votaría",0.084,0.035,0.133,0.021
"P21","Puede que lo vote",0.139,0.049,0.124,0.03
"P21","Nunca lo votaría",0.722,0.843,0.689,0.931
"P21","No sabe",0.055,0.073,0.054,0.018
"P22","La votaría",0.052,0.064,0.077,0.017
"P22","Puede que la vote",0.098,0.125,0.151,0.011
"P22","Nunca la votaría",0.728,0.774,0.69,0.931
"P22","No sabe",0.122,0.037,0.082,0.041
"P23","Lo votaría",0.11,0.249,0.119,0.431
"P23","Puede que lo vote",0.11,0.263,0.254,0.279
"P23","Nunca lo votaría",0.657,0.39,0.561,0.225
