"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.491,0.412,0.443,0.593,0.53,0.362
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.198,0.313,0.184,0.167,0.178
"P04","No tengo trabajo",0.151,0.134,0.176,0.11,0.154,0.212
"P04","Soy jubilado o pensionado",0.19,0.256,0.068,0.113,0.149,0.248
"P05","1",0.245,0.379,0.387,0.189,0.206,0.264
"P05","2",0.053,0.078,0.105,0.079,0.072,0.075
"P05","3",0.022,0.08,0.071,0.035,0.041,0.064
"P05","4",0.039,0.103,0.086,0.015,0.079,0.076
"P05","5",0.156,0.201,0.191,0.136,0.26,0.198
"P05","6",0.066,0.032,0.016,0.045,0.071,0.053
"P05","7",0.127,0.025,0.029,0.115,0.094,0.072
"P05","8",0.083,0.021,0.012,0.146,0.044,0.028
"P05","9",0.209,0.081,0.103,0.24,0.133,0.17
"P06","1",0.415,0.15,0.151,0.393,0.312,0.335
"P06","2",0.077,0.034,0.023,0.131,0.075,0.033
"P06","3",0.076,0.025,0.017,0.117,0.056,0.084
"P06","4",0.038,0.034,0.017,0.018,0.078,0.053
"P06","5",0.163,0.197,0.157,0.198,0.223,0.227
"P06","6",0.037,0.058,0.048,0.042,0.07,0.06
"P06","7",0.036,0.097,0.076,0.036,0.049,0.045
"P06","8",0.033,0.093,0.112,0.002,0.046,0.029
"P06","9",0.125,0.312,0.399,0.063,0.091,0.134
"P07","1",0.533,0.229,0.222,0.682,0.471,0.408
"P07","2",0.05,0.033,0.033,0.033,0.03,0.036
"P07","3",0.038,0.031,0.01,0.033,0.045,0.024
"P07","4",0.025,0.019,0.009,0.003,0.028,0.011
"P07","5",0.063,0.109,0.125,0.033,0.127,0.105
"P07","6",0.014,0.03,0.034,0.005,0.03,0.05
"P07","7",0.017,0.053,0.051,0.026,0.015,0.02
"P07","8",0.02,0.052,0.068,0.008,0.012,0.018
"P07","9",0.24,0.444,0.448,0.177,0.242,0.328
"P09","Del Frente de Todos y el peronismo",0.767,0.071,0.044,0.292,0.451,0.337
"P09","De Juntos por el cambio",0.089,0.732,0.157,0.059,0.245,0.169
"P09","De los Liberales libertarios",0.02,0.11,0.692,0.013,0.029,0.055
"P09","De la Izquierda",0.017,0.006,0.011,0.437,0.039,0.028
"P09","No sabe",0.107,0.081,0.096,0.199,0.236,0.411
"P10","A Alberto Fernández",0.181,0.195,0.207,0.192,0.165,0.357
"P10","A Sergio Massa",0.323,0.127,0.123,0.071,0.069,0.06
"P10","A algún candidato del peronismo",0.105,0.462,0.386,0.053,0.246,0.072
