"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.519,0.416,0.457,0.508,0.545,0.334
"P04","Realizo changas o trabajos de vez en cuando",0.151,0.182,0.292,0.203,0.16,0.177
"P04","No tengo trabajo",0.108,0.139,0.186,0.149,0.134,0.246
"P04","Soy jubilado o pensionado",0.222,0.263,0.065,0.14,0.161,0.243
"P05","1",0.214,0.397,0.393,0.236,0.208,0.293
"P05","2",0.072,0.087,0.093,0.072,0.076,0.044
"P05","3",0.02,0.079,0.078,0.01,0.063,0.038
"P05","4",0.036,0.111,0.092,0.013,0.092,0.075
"P05","5",0.107,0.187,0.202,0.115,0.262,0.269
"P05","6",0.064,0.032,0.013,0.012,0.079,0.062
"P05","7",0.154,0.028,0.028,0.126,0.075,0.033
"P05","8",0.108,0.017,0.014,0.063,0.036,0.026
"P05","9",0.225,0.062,0.087,0.353,0.109,0.16
"P06","1",0.46,0.138,0.132,0.431,0.23,0.312
"P06","2",0.085,0.041,0.023,0.105,0.058,0.02
"P06","3",0.106,0.024,0.016,0.101,0.045,0.06
"P06","4",0.049,0.033,0.025,0,0.069,0.034
"P06","5",0.131,0.193,0.171,0.158,0.275,0.257
"P06","6",0.042,0.056,0.052,0.042,0.063,0.062
"P06","7",0.024,0.103,0.074,0.041,0.098,0.041
"P06","8",0.023,0.099,0.106,0.003,0.051,0.031
"P06","9",0.08,0.313,0.401,0.119,0.111,0.183
"P07","1",0.619,0.2,0.207,0.568,0.416,0.352
"P07","2",0.054,0.034,0.024,0.025,0.056,0.027
"P07","3",0.038,0.029,0.017,0.076,0.055,0.018
"P07","4",0.013,0.022,0.017,0.015,0.011,0.026
"P07","5",0.066,0.106,0.135,0.039,0.125,0.09
"P07","6",0.013,0.029,0.034,0.022,0.026,0.052
"P07","7",0.013,0.057,0.046,0.017,0.032,0.028
"P07","8",0.007,0.058,0.078,0,0.028,0.016
"P07","9",0.177,0.465,0.442,0.238,0.251,0.391
"P09","Del Frente de Todos y el peronismo",0.861,0.046,0.05,0.253,0.287,0.315
"P09","De Juntos por el cambio",0.057,0.822,0.157,0.135,0.318,0.149
"P09","De los Liberales libertarios",0.011,0.068,0.71,0.029,0.057,0.054
"P09","De la Izquierda",0.017,0.006,0.014,0.409,0.045,0.031
"P09","No sabe",0.054,0.058,0.069,0.174,0.293,0.451
"P10","A Alberto Fernández",0.141,0.258,0.321,0.253,0.268,0.327
"P10","A Sergio Massa",0.256,0.087,0.222,0.106,0.204,0.202
"P10","A algún candidato del peronismo",0.114,0.576,0.179,0.276,0.214,0.121
"P10","A algún candidato del kirchnerismo",0.489,0.079,0.278,0.365,0.314,0.35
"P11","A Alberto Fernández",0.103,0.135,0.427,0.274,0.132,0.267
"P11","A Sergio Massa",0.135,0.181,0.136,0.036,0.125,0.17
"P11","A algún candidato del peronismo",0.072,0.609,0.274,0.252,0.216,0.127
"P11","A Cristina Fernández de Kirchner",0.69,0.075,0.163,0.438,0.527,0.436
"P12","A Horacio Rodriguez Larreta",0.372,0.178,0.322,0.461,0.275,0.307
"P12","A Mauricio Macri",0.102,0.422,0.082,0.385,0.105,0.172
"P12","A Patricia Bullrich",0.155,0.351,0.515,0.09,0.315,0.373
"P12","A Facundo Manes",0.254,0.02,0.064,0.064,0.181,0.117
"P12","A Gerardo Morales",0.117,0.029,0.017,0,0.124,0.031
"P13","Seguro lo votaria",0.038,0.159,0.598,0.018,0.088,0.108
"P13","Quizás lo votaría",0.23,0.398,0.232,0.729,0.292,0.354
"P13","Nunca lo votaría",0.732,0.443,0.17,0.253,0.62,0.538
"P14","Lo votaría",0.016,0.636,0.137,0.121,0.026,0.038
"P14","Puede que lo vote",0.033,0.269,0.373,0.058,0.224,0.149
"P14","Nunca lo votaría",0.88,0.069,0.405,0.723,0.648,0.591
"P14","No sabe",0.071,0.026,0.085,0.098,0.102,0.222
"P15","Lo votaría",0.287,0.075,0.036,0.122,0.077,0.104
"P15","Puede que lo vote",0.412,0.081,0.118,0.181,0.167,0.18
"P15","Nunca lo votaría",0.232,0.829,0.806,0.499,0.65,0.485
"P15","No sabe",0.069,0.015,0.04,0.198,0.106,0.231
"P16","Lo votaría",0.301,0.032,0.047,0.095,0.087,0.153
"P16","Puede que lo vote",0.425,0.025,0.029,0.367,0.141,0.181
"P16","Nunca lo votaría",0.204,0.933,0.89,0.395,0.685,0.523
"P16","No sabe",0.07,0.01,0.034,0.143,0.087,0.143
"P17","La votaría",0.802,0.024,0.044,0.222,0.195,0.297
"P17","Puede que la vote",0.108,0.009,0.02,0.324,0.071,0.112
"P17","Nunca la votaría",0.056,0.963,0.915,0.342,0.672,0.472
"P17","No sabe",0.034,0.004,0.021,0.112,0.062,0.119
"P18","Lo votaría",0.108,0.265,0.067,0.076,0.134,0.086
"P18","Puede que lo vote",0.046,0.453,0.255,0.144,0.252,0.212
"P18","Nunca lo votaría",0.814,0.238,0.599,0.645,0.521,0.492
"P18","No sabe",0.032,0.044,0.079,0.135,0.093,0.21
"P19","Lo votaría",0.035,0.102,0.055,0.097,0.147,0.073
"P19","Puede que lo vote",0.127,0.345,0.202,0.17,0.227,0.215
"P19","Nunca lo votaría",0.713,0.483,0.605,0.487,0.499,0.376
"P19","No sabe",0.125,0.07,0.138,0.246,0.127,0.336
"P20","La votaría",0.025,0.606,0.276,0.127,0.18,0.128
"P20","Puede que la vote",0.033,0.261,0.344,0.035,0.167,0.161
"P20","Nunca la votaría",0.906,0.1,0.326,0.72,0.579,0.546
"P20","No sabe",0.036,0.033,0.054,0.118,0.074,0.165
"P21","Lo votaría",0.016,0.171,0.713,0.012,0.051,0.059
"P21","Puede que lo vote",0.035,0.342,0.21,0.151,0.158,0.152
"P21","Nunca lo votaría",0.917,0.437,0.071,0.673,0.694,0.594
"P21","No sabe",0.032,0.05,0.006,0.164,0.097,0.195
"P22","La votaría",0.027,0.284,0.143,0.03,0.059,0.057
"P22","Puede que la vote",0.033,0.379,0.243,0.16,0.209,0.175
"P22","Nunca la votaría",0.9,0.251,0.502,0.661,0.617,0.496
"P22","No sabe",0.04,0.086,0.112,0.149,0.115,0.272
"P23","Lo votaría",0.43,0.038,0.024,0.1,0.037,0.024
"P23","Puede que lo vote",0.282,0.091,0.054,0.198,0.147,0.113
"P23","Nunca lo votaría",0.211,0.817,0.774,0.447,0.705,0.594
"P23","No sabe",0.077,0.054,0.148,0.255,0.111,0.269
"P24","Lo votaría",0.061,0.081,0.036,0.072,0.067,0.022
"P24","Puede que lo vote",0.095,0.286,0.132,0.106,0.188,0.129
"P24","Nunca lo votaría",0.736,0.544,0.668,0.634,0.579,0.512
"P24","No sabe",0.108,0.089,0.164,0.188,0.166,0.337
"P25","Mauricio Macri por Juntos por el Cambio",0.012,0.435,0.027,0.039,0.025,0.009
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.137,0.053,0.165,0.137,0.092
"P25","Patricia Bullrich por Juntos por el Cambio",0.011,0.333,0.174,0.028,0.171,0.088
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.023,0.023,0.057,0.136,0.048
"P25","Alberto Fernández por el Frente de Todos",0.096,0.016,0.021,0.096,0.068,0.129
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.78,0.006,0.019,0.207,0.173,0.237
