"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.264,0.237,0.291,0.254,0.201,0.315,0.335,0.246,0.258,0.287,0.286,0.239,0.257,0.256,0.088,0.45,0.138
"Patricia Bullrich","Buena",0.179,0.194,0.164,0.225,0.158,0.173,0.191,0.157,0.197,0.176,0.177,0.187,0.128,0.184,0.071,0.26,0.206
"Patricia Bullrich","Ni buena ni mala",0.132,0.131,0.132,0.159,0.156,0.107,0.093,0.148,0.14,0.109,0.132,0.149,0.103,0.129,0.1,0.119,0.226
"Patricia Bullrich","Mala",0.092,0.09,0.094,0.071,0.102,0.087,0.092,0.108,0.086,0.084,0.08,0.121,0.078,0.091,0.126,0.053,0.186
"Patricia Bullrich","Muy mala",0.316,0.332,0.301,0.251,0.369,0.305,0.276,0.322,0.292,0.339,0.314,0.275,0.421,0.321,0.602,0.114,0.182
"Patricia Bullrich","No sabe",0.017,0.016,0.018,0.04,0.014,0.013,0.013,0.019,0.027,0.005,0.011,0.029,0.013,0.019,0.013,0.004,0.062
"Maria Eugenia Vidal","Muy buena",0.183,0.161,0.204,0.171,0.163,0.187,0.232,0.2,0.18,0.173,0.184,0.224,0.147,0.171,0.055,0.303,0.142
"Maria Eugenia Vidal","Buena",0.198,0.195,0.202,0.137,0.167,0.244,0.249,0.187,0.196,0.21,0.203,0.196,0.175,0.198,0.056,0.31,0.237
"Maria Eugenia Vidal","Ni buena ni mala",0.168,0.182,0.154,0.166,0.18,0.156,0.159,0.18,0.177,0.147,0.177,0.203,0.121,0.151,0.08,0.206,0.29
"Maria Eugenia Vidal","Mala",0.128,0.133,0.122,0.151,0.147,0.109,0.093,0.143,0.137,0.103,0.114,0.14,0.091,0.138,0.194,0.08,0.094
"Maria Eugenia Vidal","Muy mala",0.303,0.31,0.296,0.353,0.334,0.283,0.224,0.257,0.287,0.36,0.306,0.195,0.45,0.326,0.595,0.091,0.176
"Maria Eugenia Vidal","No sabe",0.02,0.019,0.022,0.022,0.009,0.021,0.043,0.033,0.023,0.007,0.016,0.042,0.016,0.016,0.02,0.01,0.061
"Mauricio Macri","Muy buena",0.186,0.159,0.211,0.191,0.14,0.209,0.246,0.198,0.172,0.192,0.185,0.175,0.172,0.192,0.106,0.293,0.069
"Mauricio Macri","Buena",0.18,0.179,0.181,0.117,0.191,0.175,0.215,0.183,0.185,0.172,0.17,0.224,0.171,0.172,0.074,0.289,0.146
"Mauricio Macri","Ni buena ni mala",0.144,0.156,0.133,0.2,0.137,0.134,0.126,0.14,0.155,0.134,0.137,0.179,0.104,0.141,0.058,0.186,0.197
"Mauricio Macri","Mala",0.133,0.138,0.128,0.139,0.141,0.125,0.121,0.134,0.148,0.113,0.129,0.154,0.118,0.13,0.16,0.074,0.257
"Mauricio Macri","Muy mala",0.349,0.362,0.336,0.344,0.385,0.35,0.278,0.332,0.33,0.386,0.373,0.267,0.422,0.352,0.592,0.158,0.326
"Mauricio Macri","No sabe",0.008,0.006,0.011,0.009,0.006,0.007,0.014,0.013,0.01,0.003,0.006,0.001,0.013,0.013,0.01,0,0.005
"Horacio Rodriguez Larreta","Muy buena",0.145,0.118,0.171,0.122,0.12,0.149,0.211,0.162,0.142,0.133,0.131,0.125,0.137,0.166,0.035,0.243,0.102
"Horacio Rodriguez Larreta","Buena",0.205,0.188,0.223,0.098,0.178,0.245,0.297,0.201,0.195,0.221,0.233,0.209,0.186,0.182,0.067,0.326,0.188
"Horacio Rodriguez Larreta","Ni buena ni mala",0.208,0.199,0.217,0.209,0.224,0.212,0.169,0.219,0.223,0.182,0.194,0.269,0.173,0.2,0.152,0.243,0.362
"Horacio Rodriguez Larreta","Mala",0.135,0.167,0.103,0.121,0.153,0.128,0.116,0.138,0.131,0.136,0.138,0.127,0.123,0.136,0.181,0.087,0.142
"Horacio Rodriguez Larreta","Muy mala",0.282,0.31,0.254,0.415,0.303,0.247,0.174,0.238,0.279,0.323,0.286,0.213,0.361,0.296,0.527,0.093,0.177
"Horacio Rodriguez Larreta","No sabe",0.025,0.018,0.032,0.035,0.022,0.019,0.033,0.042,0.03,0.005,0.018,0.057,0.02,0.02,0.038,0.008,0.029
"Javier Milei","Muy buena",0.183,0.231,0.136,0.318,0.181,0.145,0.125,0.174,0.204,0.165,0.181,0.235,0.205,0.16,0.071,0.219,0.122
"Javier Milei","Buena",0.164,0.174,0.156,0.17,0.167,0.168,0.151,0.167,0.167,0.16,0.167,0.21,0.145,0.147,0.069,0.237,0.214
"Javier Milei","Ni buena ni mala",0.227,0.198,0.255,0.207,0.19,0.252,0.287,0.248,0.226,0.21,0.22,0.235,0.18,0.236,0.104,0.302,0.329
"Javier Milei","Mala",0.11,0.103,0.118,0.081,0.103,0.127,0.126,0.11,0.111,0.11,0.106,0.084,0.094,0.127,0.131,0.109,0.099
"Javier Milei","Muy mala",0.288,0.267,0.307,0.184,0.34,0.288,0.265,0.255,0.263,0.345,0.303,0.185,0.342,0.309,0.589,0.117,0.187
"Javier Milei","No sabe",0.028,0.027,0.028,0.04,0.019,0.02,0.046,0.046,0.029,0.01,0.023,0.051,0.034,0.021,0.036,0.016,0.049
"CFK","Muy buena",0.227,0.206,0.246,0.225,0.232,0.215,0.232,0.239,0.217,0.228,0.203,0.199,0.329,0.245,0.554,0.037,0.066
"CFK","Buena",0.069,0.072,0.067,0.031,0.099,0.061,0.051,0.094,0.056,0.063,0.079,0.051,0.081,0.067,0.151,0.022,0.036
"CFK","Ni buena ni mala",0.062,0.058,0.066,0.084,0.065,0.064,0.033,0.082,0.051,0.057,0.057,0.066,0.036,0.068,0.101,0.022,0.107
"CFK","Mala",0.055,0.047,0.063,0.023,0.051,0.058,0.086,0.053,0.066,0.044,0.057,0.078,0.041,0.046,0.037,0.052,0.135
