"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Cristina Fernández de Kirchner por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.417,0.463,0.408,0.588,0.194,0.496,0.446,0.587,0.589,0.405
"P04","Realizo changas o trabajos de vez en cuando",0.194,0.206,0.208,0.146,0.35,0.167,0.301,0.284,0.133,0.168
"P04","No tengo trabajo",0.117,0.098,0.168,0.073,0.31,0.149,0.196,0.056,0.147,0.225
"P04","Soy jubilado o pensionado",0.272,0.233,0.216,0.193,0.146,0.188,0.057,0.073,0.131,0.202
"P05","1",0.438,0.292,0.385,0.139,0.356,0.224,0.361,0.192,0.214,0.239
"P05","2",0.086,0.065,0.088,0.039,0.079,0.061,0.089,0.098,0.057,0.045
"P05","3",0.08,0.06,0.067,0.021,0.058,0.021,0.097,0.034,0.04,0.053
"P05","4",0.1,0.105,0.11,0.084,0.016,0.034,0.087,0.028,0.077,0.078
"P05","5",0.133,0.274,0.214,0.384,0.112,0.115,0.197,0.165,0.272,0.329
"P05","6",0.019,0.052,0.027,0.079,0.012,0.066,0.021,0.052,0.104,0.069
"P05","7",0.03,0.053,0.021,0.096,0.034,0.14,0.033,0.15,0.068,0.059
"P05","8",0.021,0.025,0.022,0.048,0.021,0.102,0.016,0.042,0.041,0.021
"P05","9",0.093,0.074,0.066,0.11,0.312,0.237,0.099,0.239,0.127,0.107
"P06","1",0.158,0.164,0.133,0.22,0.576,0.441,0.124,0.179,0.24,0.237
"P06","2",0.047,0.054,0.032,0.027,0.027,0.088,0.022,0.193,0.017,0.033
"P06","3",0.026,0.033,0.032,0.08,0.043,0.08,0.015,0.146,0.04,0.041
"P06","4",0.025,0.039,0.045,0.061,0.015,0.042,0.015,0.018,0.113,0.05
"P06","5",0.136,0.243,0.213,0.325,0.095,0.151,0.155,0.286,0.309,0.289
"P06","6",0.035,0.101,0.054,0.065,0.031,0.042,0.055,0.084,0.029,0.076
"P06","7",0.104,0.081,0.1,0.052,0.009,0.03,0.087,0.005,0.042,0.06
"P06","8",0.104,0.038,0.106,0.04,0.04,0.028,0.114,0.005,0.064,0.048
"P06","9",0.365,0.247,0.285,0.13,0.164,0.098,0.413,0.084,0.146,0.166
"P07","1",0.201,0.305,0.222,0.256,0.457,0.634,0.22,0.641,0.341,0.361
"P07","2",0.025,0.04,0.033,0.043,0.025,0.045,0.034,0.043,0.035,0.034
"P07","3",0.027,0.029,0.027,0.073,0.005,0.039,0.014,0.035,0.045,0.018
"P07","4",0.019,0.017,0.025,0.045,0.004,0.018,0.011,0.006,0.013,0.01
"P07","5",0.099,0.106,0.107,0.21,0.054,0.056,0.134,0.049,0.202,0.116
"P07","6",0.017,0.046,0.033,0.024,0.024,0.018,0.044,0.011,0.015,0.041
"P07","7",0.036,0.056,0.061,0.036,0.001,0.012,0.055,0.005,0.012,0.025
"P07","8",0.048,0.037,0.05,0.043,0.029,0.011,0.068,0.046,0.023,0.041
"P07","9",0.528,0.364,0.442,0.27,0.401,0.167,0.42,0.164,0.314,0.354
"P09","Del Frente de Todos y el peronismo",0.075,0.083,0.044,0.107,0.649,0.844,0.02,0.143,0.305,0.129
"P09","De Juntos por el cambio",0.803,0.6,0.67,0.438,0.149,0.033,0.077,0.055,0.165,0.129
"P09","De los Liberales libertarios",0.085,0.097,0.186,0.106,0.031,0.014,0.784,0.04,0.085,0.048
"P09","De la Izquierda",0.002,0.02,0.008,0.045,0.018,0.029,0.014,0.577,0.093,0.041
"P09","No sabe",0.035,0.2,0.092,0.304,0.153,0.08,0.105,0.185,0.352,0.653
