"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.43,0.508,0.447,0.386,0.504,0.337
"P04","Realizo changas o trabajos de vez en cuando",0.185,0.152,0.291,0.224,0.192,0.212
"P04","No tengo trabajo",0.128,0.13,0.177,0.203,0.165,0.2
"P04","Soy jubilado o pensionado",0.257,0.21,0.085,0.187,0.139,0.251
"P05","1",0.39,0.221,0.371,0.171,0.25,0.292
"P05","2",0.064,0.064,0.107,0.07,0.066,0.071
"P05","3",0.061,0.024,0.077,0.033,0.051,0.08
"P05","4",0.088,0.058,0.088,0.036,0.085,0.065
"P05","5",0.204,0.112,0.198,0.195,0.261,0.229
"P05","6",0.036,0.075,0.016,0.065,0.055,0.044
"P05","7",0.049,0.134,0.028,0.148,0.042,0.047
"P05","8",0.018,0.097,0.015,0.08,0.04,0.032
"P05","9",0.09,0.215,0.1,0.202,0.15,0.14
"P06","1",0.169,0.431,0.142,0.33,0.255,0.328
"P06","2",0.045,0.079,0.028,0.059,0.052,0.035
"P06","3",0.031,0.086,0.021,0.12,0.034,0.063
"P06","4",0.031,0.055,0.016,0.007,0.053,0.048
"P06","5",0.2,0.136,0.155,0.262,0.292,0.196
"P06","6",0.062,0.037,0.046,0.068,0.063,0.056
"P06","7",0.097,0.03,0.076,0.043,0.051,0.063
"P06","8",0.084,0.033,0.119,0.031,0.036,0.04
"P06","9",0.281,0.113,0.397,0.08,0.164,0.171
"P07","1",0.256,0.613,0.225,0.532,0.318,0.362
"P07","2",0.036,0.049,0.032,0.035,0.039,0.026
"P07","3",0.033,0.038,0.012,0.03,0.05,0.017
"P07","4",0.028,0.016,0.01,0.004,0.023,0.013
"P07","5",0.099,0.056,0.121,0.098,0.15,0.095
"P07","6",0.023,0.017,0.042,0.026,0.014,0.046
"P07","7",0.047,0.014,0.05,0.034,0.037,0.023
"P07","8",0.048,0.014,0.068,0.038,0.024,0.021
"P07","9",0.43,0.183,0.44,0.203,0.345,0.397
"P09","Del Frente de Todos y el peronismo",0.131,0.783,0.058,0.172,0.301,0.283
"P09","De Juntos por el cambio",0.721,0.138,0.181,0.077,0.363,0.223
"P09","De los Liberales libertarios",0.046,0.008,0.656,0.029,0.058,0.049
"P09","De la Izquierda",0.007,0.016,0.013,0.447,0.036,0.033
"P09","No sabe",0.095,0.055,0.092,0.275,0.242,0.412
"P10","A Alberto Fernández",0.19,0.139,0.254,0.1,0.322,0.404
"P10","A Sergio Massa",0.256,0.228,0.119,0.436,0.245,0.18
"P10","A algún candidato del peronismo",0.328,0.098,0.359,0.225,0.241,0.115
"P10","A algún candidato del kirchnerismo",0.226,0.535,0.268,0.239,0.192,0.301
"P11","A Alberto Fernández",0.147,0.102,0.339,0.164,0.255,0.3
"P11","A Sergio Massa",0.149,0.121,0.103,0.295,0.22,0.172
"P11","A algún candidato del peronismo",0.238,0.067,0.372,0.273,0.2,0.123
"P11","A Cristina Fernández de Kirchner",0.466,0.71,0.186,0.268,0.325,0.405
"P12","A Horacio Rodriguez Larreta",0.267,0.213,0.195,0.599,0.13,0.196
"P12","A Mauricio Macri",0.342,0.333,0.262,0.074,0.254,0.33
"P12","A Patricia Bullrich",0.33,0.225,0.478,0.167,0.399,0.391
"P12","A Facundo Manes",0.03,0.137,0.041,0,0.138,0.032
"P12","A Gerardo Morales",0.031,0.092,0.024,0.16,0.079,0.051
"P13","Seguro lo votaria",0.151,0.147,0.483,0.211,0.1,0.176
"P13","Quizás lo votaría",0.375,0.294,0.363,0.219,0.346,0.422
"P13","Nunca lo votaría",0.474,0.559,0.154,0.57,0.554,0.402
"P14","Lo votaría",0.466,0.073,0.204,0.026,0.169,0.13
"P14","Puede que lo vote",0.259,0.077,0.348,0.064,0.166,0.16
"P14","Nunca lo votaría",0.214,0.792,0.365,0.769,0.573,0.551
"P14","No sabe",0.061,0.058,0.083,0.141,0.092,0.159
"P15","Lo votaría",0.076,0.261,0.044,0.212,0.123,0.098
"P15","Puede que lo vote",0.107,0.399,0.12,0.113,0.17,0.179
"P15","Nunca lo votaría",0.783,0.272,0.794,0.425,0.632,0.512
"P15","No sabe",0.034,0.068,0.042,0.25,0.075,0.211
"P16","Lo votaría",0.074,0.262,0.041,0.078,0.145,0.16
"P16","Puede que lo vote",0.077,0.394,0.05,0.245,0.133,0.131
"P16","Nunca lo votaría",0.828,0.273,0.875,0.404,0.666,0.559
"P16","No sabe",0.021,0.071,0.034,0.273,0.056,0.15
"P17","La votaría",0.102,0.748,0.035,0.257,0.203,0.261
"P17","Puede que la vote",0.029,0.094,0.034,0.216,0.082,0.099
"P17","Nunca la votaría",0.848,0.142,0.904,0.376,0.674,0.516
"P17","No sabe",0.021,0.016,0.027,0.151,0.041,0.124
"P18","Lo votaría",0.384,0.091,0.05,0.014,0.059,0.044
"P18","Puede que lo vote",0.402,0.084,0.27,0.085,0.268,0.246
"P18","Nunca lo votaría",0.172,0.804,0.595,0.759,0.568,0.498
"P18","No sabe",0.042,0.021,0.085,0.142,0.105,0.212
"P19","Lo votaría",0.132,0.041,0.058,0.047,0.114,0.055
"P19","Puede que lo vote",0.336,0.142,0.196,0.162,0.239,0.201
"P19","Nunca lo votaría",0.426,0.706,0.603,0.563,0.536,0.404
"P19","No sabe",0.106,0.111,0.143,0.228,0.111,0.34
"P20","La votaría",0.493,0.069,0.317,0.032,0.3,0.158
"P20","Puede que la vote",0.247,0.05,0.327,0.05,0.152,0.167
"P20","Nunca la votaría",0.203,0.854,0.3,0.795,0.487,0.507
"P20","No sabe",0.057,0.027,0.056,0.123,0.061,0.168
"P21","Lo votaría",0.105,0.041,0.712,0.009,0.063,0.061
