"var","categoria","Patricia Bullrich por Juntos por el Cambio","Sergio Massa por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.423,0.445,0.412,0.26
"P05","Bastante",0.382,0.4,0.316,0.367
"P05","Poco",0.133,0.105,0.143,0.212
"P05","Nada",0.047,0.03,0.09,0.113
"P05","No sabe",0.015,0.02,0.039,0.048
"P06","Siempre",0.295,0.327,0.299,0.292
"P06","Casi siempre",0.441,0.455,0.354,0.37
"P06","Casi nunca",0.202,0.149,0.217,0.255
"P06","Nunca, pero esta es una excepción",0.062,0.069,0.13,0.083
"P07","Del Frente de Todos y el peronismo",0.043,0.783,0.181,0.238
"P07","De Juntos por el Cambio",0.607,0.082,0.135,0.199
"P07","De los Liberales libertarios",0.288,0.045,0.404,0.234
"P07","De la Izquierda",0.011,0.03,0.109,0.049
"P07","No sabe",0.051,0.06,0.171,0.28
"P08","A Sergio Massa",0.121,0.326,0.192,0.146
"P08","A Daniel Scioli",0.261,0.09,0.167,0.071
"P08","A algún candidato del peronismo",0.385,0.085,0.156,0.267
"P08","A algún candidato del kirchnerismo",0.233,0.499,0.485,0.516
"P09","A Horacio Rodríguez Larreta",0.118,0.278,0.216,0.413
"P09","A Patricia Bullrich",0.811,0.184,0.422,0.456
"P09","A Facundo Manes",0.035,0.317,0.218,0.042
"P09","A Gerardo Morales",0.036,0.221,0.144,0.089
"P10","Sergio Massa por el Frente de Todos",0.04,0.466,0.05,0.1
"P10","Patricia Bullrich por Juntos por el Cambio",0.384,0.021,0.032,0.059
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.061,0.016,0.067,0.056
"P10","Juan Schiaretti por Juntos por el Cambio",0.101,0.027,0.177,0.183
"P10","Jose Luis Espert por Juntos por el Cambio",0.022,0.229,0.047,0.017
"P10","Javier Milei por la Libertad Avanza",0.367,0.045,0.315,0.176
"P10","Al candidato del Frente de Izquierda",0.003,0.046,0.104,0.034
"P10","En blanco",0.005,0.02,0.124,0.018
"P10","No sabe",0.017,0.13,0.084,0.357
"P13","Wado de Pedro por el Frente de Todos",0.074,0.506,0.122,0.15
"P13","Patricia Bullrich por Juntos por el Cambio",0.352,0.029,0.029,0.044
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.019,0.043,0.093
"P13","Juan Schiaretti por Juntos por el Cambio",0.102,0.028,0.167,0.166
"P13","Jose Luis Espert por Juntos por el Cambio",0.033,0.226,0.073,0.107
