"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P13","En blanco",0.024,0.002,0.004,0.007,0.031,0.007,0.014,0.574,0.031
"P13","No sabe",0.071,0.012,0.043,0.014,0.085,0.007,0.031,0.126,0.557
"P16","Sergio Massa por el Frente de Todos",0.329,0.029,0.043,0.032,0.318,0.027,0.04,0.09,0.042
"P16","Wado de Pedro por el Frente de Todos",0.39,0.032,0.036,0.07,0.392,0.025,0.33,0.182,0.279
"P16","Daniel Scioli por el Frente de Todos",0.06,0.029,0.061,0.02,0.069,0.032,0.046,0.043,0.071
"P16","Patricia Bullrich por Juntos por el Cambio",0.036,0.793,0.085,0.091,0.073,0.341,0.023,0.024,0.044
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.126,0.033,0.64,0.064,0.04,0.035,0.031,0.017,0.033
"P16","Javier Milei por la Libertad Avanza",0.031,0.057,0.054,0.619,0.029,0.519,0.041,0.025,0.039
"P16","Al candidato del Frente de Izquierda",0.002,0.001,0.013,0.011,0.007,0.002,0.446,0.009,0.016
"P16","En blanco",0.004,0.002,0.024,0.012,0.017,0.006,0.017,0.451,0.048
"P16","No sabe",0.022,0.024,0.044,0.081,0.055,0.013,0.026,0.159,0.428
"P19","Sergio Massa por el Frente de Todos",0.299,0.044,0.045,0.054,0.311,0.038,0.036,0.057,0.048
"P19","Wado de Pedro por el Frente de Todos",0.444,0.036,0.073,0.055,0.423,0.028,0.338,0.185,0.338
"P19","Patricia Bullrich por Juntos por el Cambio",0.052,0.796,0.091,0.041,0.056,0.358,0.051,0.05,0.041
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.148,0.052,0.624,0.032,0.059,0.022,0.054,0.012,0.041
"P19","Javier Milei por la Libertad Avanza",0.019,0.048,0.069,0.684,0.069,0.502,0.022,0.039,0.053
"P19","Al candidato del Frente de Izquierda",0.011,0.003,0.029,0.042,0.022,0.033,0.324,0.048,0.022
"P19","En blanco",0.005,0.005,0.016,0.021,0.014,0.005,0.15,0.356,0.038
"P19","No sabe",0.022,0.016,0.053,0.071,0.046,0.014,0.025,0.253,0.419
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.716,0.049,0.067,0.053,0.743,0.057,0.284,0.145,0.334
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.079,0.783,0.19,0.055,0.062,0.355,0.02,0.042,0.064
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.113,0.067,0.531,0.123,0.017,0.029,0.054,0.069,0.06
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.017,0.029,0.056,0.023,0.074,0.022,0.01,0.006,0.015
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.03,0.039,0.066,0.682,0.049,0.505,0.051,0.018,0.031
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.003,0.003,0.01,0.01,0.021,0.018,0.474,0.021,0.039
"P22","En blanco",0.011,0.004,0.014,0.014,0.002,0.008,0.055,0.402,0.039
"P22","No sabe",0.031,0.026,0.066,0.04,0.032,0.006,0.052,0.297,0.418
"P25","Sergio Massa por el Frente de Todos",0.557,0.044,0.045,0.065,0.606,0.066,0.128,0.037,0.125
"P25","Daniel Scioli por el Frente de Todos",0.153,0.057,0.027,0.055,0.151,0.037,0.065,0.061,0.159
"P25","Patricia Bullrich por Juntos por el Cambio",0.063,0.793,0.141,0.072,0.074,0.327,0.032,0.069,0.042
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.129,0.045,0.629,0.059,0.025,0.038,0.046,0.053,0.044
"P25","Javier Milei por la Libertad Avanza",0.032,0.027,0.067,0.618,0.061,0.493,0.035,0.008,0.044
