"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P62","Mala",0.037,0.227,0.213,0.184,0.059,0.177,0.086,0.056,0.084
"P62","Muy mala",0.052,0.597,0.381,0.542,0.048,0.629,0.128,0.362,0.074
"P62","No sabe",0.031,0.035,0.038,0.029,0.032,0.036,0.002,0.011,0.07
"P63","Muy buena",0.213,0.007,0.039,0.036,0.3,0.031,0.101,0.223,0.176
"P63","Buena",0.348,0.029,0.051,0.061,0.326,0.035,0.173,0.098,0.24
"P63","Ni buena ni mala",0.281,0.142,0.189,0.211,0.226,0.123,0.315,0.243,0.304
"P63","Mala",0.089,0.252,0.289,0.222,0.09,0.22,0.19,0.11,0.089
"P63","Muy mala",0.06,0.565,0.395,0.45,0.055,0.581,0.219,0.296,0.096
"P63","No sabe",0.009,0.005,0.037,0.02,0.003,0.01,0.002,0.03,0.095
"P64","Muy buena",0.623,0.024,0.026,0.037,0.632,0.024,0.462,0.419,0.435
"P64","Buena",0.167,0.011,0.025,0.036,0.118,0.025,0.162,0.032,0.165
"P64","Ni buena ni mala",0.065,0.058,0.123,0.121,0.062,0.063,0.158,0.085,0.136
"P64","Mala",0.058,0.147,0.202,0.121,0.065,0.124,0.047,0.101,0.073
"P64","Muy mala",0.079,0.738,0.59,0.672,0.104,0.758,0.171,0.349,0.109
"P64","No sabe",0.008,0.022,0.034,0.013,0.019,0.006,0,0.014,0.082
"P65","Muy buena",0.102,0.693,0.202,0.223,0.135,0.504,0.046,0.087,0.082
"P65","Buena",0.067,0.183,0.27,0.28,0.058,0.223,0.015,0.015,0.056
"P65","Ni buena ni mala",0.097,0.025,0.224,0.231,0.068,0.089,0.066,0.172,0.14
"P65","Mala",0.18,0.022,0.179,0.128,0.148,0.044,0.202,0.152,0.204
"P65","Muy mala",0.537,0.076,0.117,0.128,0.584,0.132,0.667,0.56,0.444
"P65","No sabe",0.017,0.001,0.008,0.01,0.007,0.008,0.004,0.014,0.074
"P66","Muy buena",0.082,0.198,0.511,0.101,0.045,0.139,0.021,0.017,0.029
"P66","Buena",0.077,0.313,0.299,0.097,0.09,0.221,0.002,0.078,0.123
"P66","Ni buena ni mala",0.13,0.27,0.073,0.214,0.077,0.218,0.087,0.2,0.2
"P66","Mala",0.265,0.131,0.074,0.205,0.223,0.188,0.281,0.133,0.185
"P66","Muy mala",0.435,0.083,0.043,0.371,0.549,0.223,0.607,0.561,0.385
"P66","No sabe",0.011,0.005,0,0.012,0.016,0.011,0.002,0.011,0.078
"P67","Muy buena",0.03,0.109,0.133,0.563,0.038,0.449,0.014,0.062,0.016
"P67","Buena",0.041,0.246,0.172,0.159,0.058,0.208,0.003,0.071,0.059
"P67","Ni buena ni mala",0.092,0.354,0.234,0.115,0.115,0.199,0.038,0.115,0.13
"P67","Mala",0.158,0.13,0.154,0.068,0.087,0.061,0.196,0.096,0.159
"P67","Muy mala",0.659,0.134,0.28,0.079,0.692,0.07,0.749,0.599,0.572
"P67","No sabe",0.02,0.027,0.027,0.016,0.01,0.013,0,0.057,0.064
"P68","Muy buena",0.023,0.048,0.029,0.198,0.031,0.075,0.014,0.072,0.054
"P68","Buena",0.044,0.101,0.167,0.096,0.069,0.099,0.021,0.014,0.059
"P68","Ni buena ni mala",0.253,0.299,0.51,0.246,0.257,0.289,0.174,0.185,0.298
"P68","Mala",0.247,0.206,0.082,0.157,0.209,0.171,0.302,0.174,0.14
"P68","Muy mala",0.393,0.284,0.153,0.238,0.385,0.312,0.483,0.533,0.327
"P68","No sabe",0.04,0.062,0.059,0.065,0.049,0.054,0.006,0.022,0.122
"P69","Muy buena",0.026,0.142,0.086,0.126,0.1,0.156,0.009,0.017,0.029
"P69","Buena",0.059,0.36,0.275,0.247,0.06,0.267,0.029,0.057,0.072
"P69","Ni buena ni mala",0.135,0.327,0.405,0.299,0.128,0.312,0.095,0.235,0.221
"P69","Mala",0.189,0.062,0.118,0.112,0.154,0.095,0.123,0.12,0.158
"P69","Muy mala",0.557,0.072,0.088,0.187,0.51,0.134,0.723,0.475,0.432
"P69","No sabe",0.034,0.037,0.028,0.029,0.048,0.036,0.021,0.096,0.088
"P70","Si",0.612,0.511,0.585,0.49,0.526,0.559,0.453,0.504,0.538
"P70","No",0.388,0.489,0.415,0.51,0.474,0.441,0.547,0.496,0.462
