"var","categoria","Javier Milei por los liberales libertarios","Axel Kicillof por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.403,0.468,0.441,0.326
"P05","Bastante",0.387,0.407,0.34,0.36
"P05","Poco",0.129,0.104,0.14,0.162
"P05","Nada",0.066,0.011,0.055,0.08
"P05","No sabe",0.015,0.01,0.024,0.072
"P06","Siempre",0.27,0.332,0.31,0.38
"P06","Casi siempre",0.413,0.471,0.469,0.386
"P06","Casi nunca",0.246,0.143,0.164,0.14
"P06","Nunca, pero esta es una excepción",0.071,0.054,0.057,0.094
"P07","Del Frente de Todos y el peronismo",0.051,0.81,0.09,0.128
"P07","De Juntos por el Cambio",0.414,0.059,0.677,0.6
"P07","De los Liberales libertarios",0.47,0.039,0.034,0.04
"P07","De la Izquierda",0.012,0.041,0.072,0.017
"P07","No sabe",0.053,0.051,0.127,0.215
"P08","A Sergio Massa",0.246,0.295,0.259,0.338
"P08","A Daniel Scioli",0.307,0.075,0.195,0.064
"P08","A algún candidato del peronismo",0.374,0.089,0.459,0.244
"P08","A algún candidato del kirchnerismo",0.073,0.541,0.087,0.354
"P09","A Horacio Rodríguez Larreta",0.105,0.185,0.191,0.081
"P09","A Patricia Bullrich",0.825,0.149,0.666,0.808
"P09","A Facundo Manes",0.03,0.455,0.084,0.053
"P09","A Gerardo Morales",0.04,0.211,0.059,0.058
"P10","Sergio Massa por el Frente de Todos",0.024,0.432,0.091,0.122
"P10","Patricia Bullrich por Juntos por el Cambio",0.255,0.025,0.331,0.348
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.012,0.124,0.05
"P10","Juan Schiaretti por Juntos por el Cambio",0.186,0.024,0.035,0.044
"P10","Jose Luis Espert por Juntos por el Cambio",0.023,0.222,0.044,0.027
"P10","Javier Milei por la Libertad Avanza",0.447,0.014,0.187,0.209
"P10","Al candidato del Frente de Izquierda",0.004,0.068,0.051,0.01
"P10","En blanco",0.007,0.027,0.075,0.017
"P10","No sabe",0.012,0.176,0.062,0.173
"P13","Wado de Pedro por el Frente de Todos",0.066,0.528,0.111,0.145
"P13","Patricia Bullrich por Juntos por el Cambio",0.221,0.027,0.285,0.371
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.012,0.154,0.065
"P13","Juan Schiaretti por Juntos por el Cambio",0.181,0.015,0.035,0.058
"P13","Jose Luis Espert por Juntos por el Cambio",0.043,0.244,0.023,0.021
"P13","Javier Milei por la Libertad Avanza",0.413,0.054,0.199,0.143
"P13","Al candidato del Frente de Izquierda",0.003,0.034,0.052,0.008
"P13","En blanco",0.006,0.02,0.083,0.013
"P13","No sabe",0.011,0.066,0.058,0.176
"P16","Sergio Massa por el Frente de Todos",0.021,0.245,0.052,0.074
"P16","Wado de Pedro por el Frente de Todos",0.023,0.549,0.035,0.047
"P16","Daniel Scioli por el Frente de Todos",0.02,0.079,0.065,0.026
"P16","Patricia Bullrich por Juntos por el Cambio",0.395,0.024,0.46,0.514
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.021,0.199,0.098
"P16","Javier Milei por la Libertad Avanza",0.435,0.025,0.021,0.051
"P16","Al candidato del Frente de Izquierda",0.003,0.023,0.043,0.009
"P16","En blanco",0.008,0.011,0.072,0.003
"P16","No sabe",0.008,0.023,0.053,0.178
"P19","Sergio Massa por el Frente de Todos",0.027,0.224,0.065,0.082
"P19","Wado de Pedro por el Frente de Todos",0.029,0.602,0.058,0.052
"P19","Patricia Bullrich por Juntos por el Cambio",0.382,0.029,0.451,0.489
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.033,0.196,0.124
"P19","Javier Milei por la Libertad Avanza",0.446,0.036,0.028,0.05
"P19","Al candidato del Frente de Izquierda",0.033,0.024,0.057,0.008
"P19","En blanco",0.004,0.009,0.093,0.024
"P19","No sabe",0.012,0.043,0.052,0.171
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.046,0.761,0.073,0.113
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.393,0.042,0.472,0.502
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.066,0.039,0.215,0.133
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.031,0.012,0.04,0.023
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.442,0.028,0.014,0.036
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.008,0.036,0.05,0.007
"P22","En blanco",0.006,0.018,0.076,0.019
"P22","No sabe",0.008,0.064,0.06,0.167
"P25","Sergio Massa por el Frente de Todos",0.049,0.521,0.055,0.091
"P25","Daniel Scioli por el Frente de Todos",0.042,0.192,0.064,0.071
