"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.459,0.432,0.34,0.34,0.348,0.34,0.247
"P05","Bastante",0.386,0.365,0.386,0.363,0.377,0.298,0.253
"P05","Poco",0.109,0.143,0.183,0.149,0.166,0.177,0.25
"P05","Nada",0.026,0.048,0.075,0.111,0.097,0.119,0.154
"P05","No sabe",0.02,0.012,0.016,0.037,0.012,0.066,0.096
"P06","Siempre",0.306,0.332,0.282,0.227,0.264,0.234,0.247
"P06","Casi siempre",0.448,0.424,0.487,0.362,0.372,0.378,0.318
"P06","Casi nunca",0.167,0.182,0.189,0.309,0.271,0.29,0.248
"P06","Nunca, pero esta es una excepción",0.079,0.062,0.042,0.102,0.093,0.098,0.187
"P07","Del Frente de Todos y el peronismo",0.831,0.054,0.116,0.046,0.23,0.267,0.259
"P07","De Juntos por el Cambio",0.056,0.781,0.697,0.097,0.121,0.138,0.088
"P07","De los Liberales libertarios",0.032,0.097,0.048,0.753,0.132,0.149,0.086
"P07","De la Izquierda",0.018,0.007,0.037,0.031,0.396,0.096,0.038
"P07","No sabe",0.063,0.061,0.102,0.073,0.121,0.35,0.529
"P08","A Sergio Massa",0.285,0.207,0.205,0.4,0.364,0.441,0.337
"P08","A Daniel Scioli",0.071,0.281,0.263,0.131,0.015,0.148,0.258
"P08","A algún candidato del peronismo",0.104,0.227,0.395,0.298,0.249,0.114,0.145
"P08","A algún candidato del kirchnerismo",0.54,0.285,0.137,0.171,0.372,0.297,0.26
"P09","A Horacio Rodríguez Larreta",0.199,0.025,0.598,0.175,0.21,0.103,0.255
"P09","A Patricia Bullrich",0.243,0.932,0.19,0.656,0.105,0.301,0.385
"P09","A Facundo Manes",0.408,0.025,0.105,0.078,0.159,0.371,0.217
"P09","A Gerardo Morales",0.15,0.018,0.107,0.091,0.526,0.225,0.143
"P10","Sergio Massa por el Frente de Todos",0.451,0.028,0.279,0.024,0.072,0.097,0.179
"P10","Patricia Bullrich por Juntos por el Cambio",0.02,0.566,0.097,0.027,0.062,0.048,0.05
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.016,0.395,0.016,0.054,0.013,0.025
"P10","Juan Schiaretti por Juntos por el Cambio",0.02,0.02,0.065,0.309,0.104,0.074,0.078
"P10","Jose Luis Espert por Juntos por el Cambio",0.227,0.018,0.032,0.012,0.055,0.107,0.09
"P10","Javier Milei por la Libertad Avanza",0.024,0.329,0.053,0.591,0.073,0.134,0.058
"P10","Al candidato del Frente de Izquierda",0.047,0.003,0.017,0.002,0.416,0.031,0.027
"P10","En blanco",0.026,0.008,0.002,0.004,0.033,0.285,0.057
"P10","No sabe",0.178,0.012,0.06,0.015,0.131,0.211,0.436
