"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Mucho",0.476,0.392,0.35,0.275,0.185
"P05","Bastante",0.331,0.36,0.352,0.256,0.212
"P05","Poco",0.142,0.171,0.169,0.191,0.233
"P05","Nada",0.031,0.06,0.097,0.21,0.267
"P05","No sabe",0.02,0.017,0.032,0.068,0.103
"P06","Siempre",0.36,0.267,0.199,0.131,0.148
"P06","Casi siempre",0.372,0.468,0.313,0.255,0.267
"P06","Casi nunca",0.179,0.197,0.375,0.233,0.32
"P06","Nunca, pero esta es una excepción",0.089,0.068,0.113,0.381,0.265
"P10","Sergio Massa por el Frente de Todos",0.428,0.091,0.02,0.045,0.07
"P10","Patricia Bullrich por Juntos por el Cambio",0.038,0.425,0.06,0.045,0.07
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.109,0.023,0.034,0.038
"P10","Juan Schiaretti por Juntos por el Cambio",0.028,0.035,0.267,0.055,0.108
"P10","Jose Luis Espert por Juntos por el Cambio",0.195,0.022,0.023,0.022,0.04
"P10","Javier Milei por la Libertad Avanza",0.05,0.258,0.567,0.196,0.126
"P10","Al candidato del Frente de Izquierda",0.041,0.004,0.005,0.417,0.011
"P10","En blanco",0.037,0.017,0.009,0.025,0.113
"P10","No sabe",0.169,0.039,0.026,0.161,0.424
"P13","Wado de Pedro por el Frente de Todos",0.483,0.101,0.039,0.102,0.064
"P13","Patricia Bullrich por Juntos por el Cambio",0.04,0.427,0.065,0.045,0.09
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.129,0.027,0.032,0.049
"P13","Juan Schiaretti por Juntos por el Cambio",0.029,0.023,0.27,0.06,0.105
"P13","Jose Luis Espert por Juntos por el Cambio",0.216,0.028,0.055,0.061,0.049
"P13","Javier Milei por la Libertad Avanza",0.064,0.248,0.513,0.183,0.126
"P13","Al candidato del Frente de Izquierda",0.021,0.004,0.001,0.394,0.016
"P13","En blanco",0.032,0.014,0.006,0.02,0.114
"P13","No sabe",0.098,0.026,0.024,0.103,0.387
"P16","Sergio Massa por el Frente de Todos",0.262,0.043,0.028,0.089,0.06
"P16","Wado de Pedro por el Frente de Todos",0.48,0.034,0.033,0.122,0.06
"P16","Daniel Scioli por el Frente de Todos",0.081,0.023,0.038,0.033,0.037
"P16","Patricia Bullrich por Juntos por el Cambio",0.045,0.632,0.121,0.042,0.115
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.162,0.049,0.055,0.069
"P16","Javier Milei por la Libertad Avanza",0.044,0.066,0.701,0.189,0.145
"P16","Al candidato del Frente de Izquierda",0.007,0.002,0.003,0.36,0.016
"P16","En blanco",0.019,0.01,0.012,0.025,0.105
"P16","No sabe",0.043,0.028,0.015,0.085,0.393
"P19","Sergio Massa por el Frente de Todos",0.251,0.04,0.037,0.07,0.091
"P19","Wado de Pedro por el Frente de Todos",0.532,0.039,0.033,0.157,0.072
"P19","Patricia Bullrich por Juntos por el Cambio",0.056,0.637,0.12,0.072,0.104
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.167,0.033,0.027,0.07
"P19","Javier Milei por la Libertad Avanza",0.041,0.069,0.711,0.162,0.161
"P19","Al candidato del Frente de Izquierda",0.015,0.017,0.034,0.311,0.024
"P19","En blanco",0.015,0.01,0.012,0.14,0.09
"P19","No sabe",0.051,0.021,0.02,0.061,0.388
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.731,0.062,0.044,0.146,0.145
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.068,0.653,0.126,0.079,0.108
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.035,0.146,0.037,0.093,0.13
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.018,0.029,0.034,0.009,0.033
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.041,0.067,0.716,0.178,0.122
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.019,0.003,0.019,0.366,0.03
"P22","En blanco",0.024,0.012,0.006,0.063,0.086
"P22","No sabe",0.064,0.028,0.018,0.066,0.346
"P25","Sergio Massa por el Frente de Todos",0.504,0.062,0.061,0.055,0.111
"P25","Daniel Scioli por el Frente de Todos",0.178,0.043,0.039,0.09,0.069
"P25","Patricia Bullrich por Juntos por el Cambio",0.065,0.633,0.111,0.086,0.125
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.162,0.037,0.081,0.076
"P25","Javier Milei por la Libertad Avanza",0.042,0.057,0.69,0.199,0.128
"P25","Al candidato del Frente de Izquierda",0.038,0.002,0.022,0.374,0.028
"P25","En blanco",0.039,0.017,0.018,0.057,0.076
"P25","No sabe",0.101,0.024,0.022,0.058,0.387
"P26","Wado de Pedro por el Frente de Todos",0.664,0.033,0.035,0.115,0.093
"P26","Daniel Scioli por el Frente de Todos",0.143,0.032,0.022,0.083,0.075
"P26","Patricia Bullrich por Juntos por el Cambio",0.041,0.686,0.117,0.093,0.128
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.153,0.021,0.06,0.056
"P26","Javier Milei por la Libertad Avanza",0.039,0.052,0.752,0.217,0.156
"P26","Al candidato del Frente de Izquierda",0.017,0.003,0.016,0.273,0.017
"P26","En blanco",0.022,0.018,0.008,0.081,0.082
"P26","No sabe",0.043,0.023,0.029,0.078,0.393
"P27","Sergio Massa por el Frente de Todos",0.674,0.046,0.039,0.093,0.121
"P27","Patricia Bullrich por Juntos por el Cambio",0.059,0.65,0.119,0.058,0.138
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.19,0.035,0.055,0.072
"P27","Javier Milei por la Libertad Avanza",0.037,0.062,0.71,0.233,0.151
"P27","Al candidato del Frente de Izquierda",0.04,0.014,0.057,0.329,0.051
"P27","En blanco",0.037,0.01,0.021,0.105,0.087
"P27","No sabe",0.119,0.028,0.019,0.127,0.38
"P28","Wado de Pedro por el Frente de Todos",0.752,0.045,0.039,0.147,0.139
"P28","Patricia Bullrich por Juntos por el Cambio",0.054,0.687,0.129,0.057,0.151
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.158,0.016,0.084,0.065
"P28","Javier Milei por la Libertad Avanza",0.035,0.063,0.743,0.203,0.134
"P28","Al candidato del Frente de Izquierda",0.02,0.009,0.016,0.309,0.026
"P28","En blanco",0.033,0.015,0.024,0.103,0.105
"P28","No sabe",0.076,0.023,0.033,0.097,0.38
"P29","Axel Kicillof por el Frente de Todos",0.781,0.043,0.045,0.186,0.107
"P29","Patricia Bullrich por Juntos por el Cambio",0.043,0.695,0.131,0.078,0.143
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.164,0.022,0.053,0.092
"P29","Javier Milei por la Libertad Avanza",0.041,0.058,0.756,0.188,0.174
"P29","Al candidato del Frente de Izquierda",0.016,0.01,0.008,0.33,0.013
"P29","En blanco",0.02,0.012,0.025,0.067,0.111
"P29","No sabe",0.068,0.018,0.013,0.098,0.36
"P30","Sergio Massa  por el Frente de Todos",0.722,0.062,0.039,0.116,0.154
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.432,0.035,0.08,0.131
"P30","Javier Milei por la Libertad Avanza",0.044,0.191,0.86,0.242,0.173
"P30","Al candidato del Frente de Izquierda",0.05,0.012,0.014,0.416,0.016
"P30","En blanco",0.042,0.09,0.016,0.041,0.121
"P30","No sabe",0.093,0.213,0.036,0.105,0.405
"P31","Sergio Massa  por el Frente de Todos",0.738,0.06,0.032,0.165,0.155
"P31","Patricia Bullrich por Juntos por el Cambio",0.059,0.743,0.121,0.103,0.169
"P31","Javier Milei por la Libertad Avanza",0.029,0.074,0.802,0.157,0.16
"P31","Al candidato del Frente de Izquierda",0.042,0.01,0.005,0.44,0.022
"P31","En blanco",0.046,0.042,0.015,0.058,0.128
"P31","No sabe",0.086,0.071,0.025,0.077,0.366
