"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Axel Kicillof por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.434,0.47,0.399,0.301
"P05","Bastante",0.388,0.398,0.352,0.332
"P05","Poco",0.119,0.105,0.136,0.215
"P05","Nada",0.045,0.019,0.086,0.084
"P05","No sabe",0.014,0.008,0.027,0.068
"P06","Siempre",0.311,0.337,0.235,0.304
"P06","Casi siempre",0.459,0.465,0.394,0.339
"P06","Casi nunca",0.176,0.144,0.277,0.238
"P06","Nunca, pero esta es una excepción",0.054,0.054,0.094,0.119
"P07","Del Frente de Todos y el peronismo",0.063,0.816,0.048,0.137
"P07","De Juntos por el Cambio",0.634,0.064,0.258,0.372
"P07","De los Liberales libertarios",0.234,0.037,0.525,0.232
"P07","De la Izquierda",0.011,0.034,0.059,0.03
"P07","No sabe",0.058,0.049,0.11,0.229
"P08","A Sergio Massa",0.177,0.294,0.319,0.337
"P08","A Daniel Scioli",0.269,0.073,0.252,0.232
"P08","A algún candidato del peronismo",0.404,0.089,0.365,0.22
"P08","A algún candidato del kirchnerismo",0.15,0.544,0.064,0.211
"P09","A Horacio Rodríguez Larreta",0.162,0.291,0.023,0.058
"P09","A Patricia Bullrich",0.732,0.215,0.87,0.892
"P09","A Facundo Manes",0.056,0.321,0.063,0.025
"P09","A Gerardo Morales",0.05,0.173,0.044,0.025
"P10","Sergio Massa por el Frente de Todos",0.062,0.425,0.031,0.091
"P10","Patricia Bullrich por Juntos por el Cambio",0.344,0.025,0.167,0.256
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.011,0.016,0.015
"P10","Juan Schiaretti por Juntos por el Cambio",0.094,0.019,0.213,0.122
"P10","Jose Luis Espert por Juntos por el Cambio",0.031,0.231,0.033,0.014
"P10","Javier Milei por la Libertad Avanza",0.329,0.019,0.421,0.311
"P10","Al candidato del Frente de Izquierda",0.005,0.07,0.035,0.01
"P10","En blanco",0.006,0.031,0.054,0.021
"P10","No sabe",0.032,0.169,0.03,0.16
"P13","Wado de Pedro por el Frente de Todos",0.105,0.529,0.05,0.09
"P13","Patricia Bullrich por Juntos por el Cambio",0.313,0.028,0.122,0.262
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.13,0.007,0.021,0.021
"P13","Juan Schiaretti por Juntos por el Cambio",0.096,0.015,0.197,0.142
"P13","Jose Luis Espert por Juntos por el Cambio",0.042,0.244,0.032,0.033
"P13","Javier Milei por la Libertad Avanza",0.286,0.054,0.454,0.254
"P13","Al candidato del Frente de Izquierda",0.004,0.035,0.037,0.01
"P13","En blanco",0.005,0.023,0.066,0.008
"P13","No sabe",0.019,0.065,0.021,0.18
"P16","Sergio Massa por el Frente de Todos",0.031,0.242,0.031,0.065
"P16","Wado de Pedro por el Frente de Todos",0.03,0.552,0.022,0.055
"P16","Daniel Scioli por el Frente de Todos",0.017,0.079,0.046,0.046
"P16","Patricia Bullrich por Juntos por el Cambio",0.499,0.026,0.293,0.364
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.175,0.018,0.034,0.04
"P16","Javier Milei por la Libertad Avanza",0.222,0.024,0.454,0.247
"P16","Al candidato del Frente de Izquierda",0.002,0.02,0.033,0.014
"P16","En blanco",0.005,0.01,0.064,0.003
"P16","No sabe",0.019,0.029,0.023,0.166
"P19","Sergio Massa por el Frente de Todos",0.039,0.224,0.028,0.09
"P19","Wado de Pedro por el Frente de Todos",0.035,0.61,0.039,0.062
"P19","Patricia Bullrich por Juntos por el Cambio",0.491,0.031,0.257,0.353
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.181,0.023,0.015,0.036
"P19","Javier Milei por la Libertad Avanza",0.208,0.042,0.503,0.246
"P19","Al candidato del Frente de Izquierda",0.018,0.029,0.058,0.028
"P19","En blanco",0.007,0.009,0.074,0.006
"P19","No sabe",0.021,0.032,0.026,0.179
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.049,0.77,0.058,0.115
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.51,0.041,0.266,0.379
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.156,0.032,0.057,0.044
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.043,0.016,0.018,0.011
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.21,0.028,0.472,0.249
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.007,0.038,0.038,0.013
"P22","En blanco",0.007,0.019,0.058,0.016
"P22","No sabe",0.018,0.056,0.033,0.173
"P25","Sergio Massa por el Frente de Todos",0.054,0.522,0.041,0.085
"P25","Daniel Scioli por el Frente de Todos",0.047,0.191,0.053,0.064
"P25","Patricia Bullrich por Juntos por el Cambio",0.497,0.051,0.264,0.358
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.164,0.019,0.024,0.036
"P25","Javier Milei por la Libertad Avanza",0.202,0.038,0.488,0.22
"P25","Al candidato del Frente de Izquierda",0.007,0.058,0.035,0.015
"P25","En blanco",0.009,0.037,0.061,0.021
"P25","No sabe",0.02,0.084,0.034,0.201
"P26","Wado de Pedro por el Frente de Todos",0.024,0.726,0.029,0.069
"P26","Daniel Scioli por el Frente de Todos",0.017,0.153,0.042,0.054
"P26","Patricia Bullrich por Juntos por el Cambio",0.54,0.024,0.278,0.372
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.164,0.011,0.018,0.021
"P26","Javier Milei por la Libertad Avanza",0.22,0.018,0.516,0.249
"P26","Al candidato del Frente de Izquierda",0.007,0.025,0.036,0.013
"P26","En blanco",0.008,0.013,0.061,0.011
"P26","No sabe",0.02,0.03,0.02,0.211
"P27","Sergio Massa por el Frente de Todos",0.027,0.726,0.037,0.071
"P27","Patricia Bullrich por Juntos por el Cambio",0.511,0.031,0.272,0.38
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.205,0.008,0.034,0.036
"P27","Javier Milei por la Libertad Avanza",0.2,0.025,0.495,0.244
"P27","Al candidato del Frente de Izquierda",0.023,0.07,0.053,0.042
"P27","En blanco",0.01,0.038,0.065,0.014
"P27","No sabe",0.024,0.102,0.044,0.213
"P28","Wado de Pedro por el Frente de Todos",0.025,0.826,0.032,0.074
"P28","Patricia Bullrich por Juntos por el Cambio",0.543,0.023,0.275,0.408
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.173,0.01,0.022,0.016
"P28","Javier Milei por la Libertad Avanza",0.217,0.026,0.498,0.264
"P28","Al candidato del Frente de Izquierda",0.008,0.034,0.05,0.016
"P28","En blanco",0.01,0.028,0.085,0.017
"P28","No sabe",0.024,0.053,0.038,0.205
"P29","Axel Kicillof por el Frente de Todos",0.015,0.889,0.014,0.036
"P29","Patricia Bullrich por Juntos por el Cambio",0.553,0.014,0.279,0.395
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.189,0.002,0.022,0.027
"P29","Javier Milei por la Libertad Avanza",0.216,0.018,0.518,0.271
"P29","Al candidato del Frente de Izquierda",0.003,0.03,0.038,0.015
"P29","En blanco",0.008,0.008,0.09,0.01
"P29","No sabe",0.016,0.039,0.039,0.246
"P30","Sergio Massa  por el Frente de Todos",0.029,0.761,0.052,0.082
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.455,0.011,0.036,0.045
"P30","Javier Milei por la Libertad Avanza",0.355,0.037,0.619,0.339
"P30","Al candidato del Frente de Izquierda",0.007,0.073,0.039,0.018
"P30","En blanco",0.03,0.039,0.164,0.049
