"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Sergio Massa por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.426,0.448,0.408,0.344
"P05","Bastante",0.375,0.399,0.351,0.367
"P05","Poco",0.133,0.103,0.141,0.178
"P05","Nada",0.05,0.03,0.073,0.078
"P05","No sabe",0.016,0.02,0.027,0.033
"P06","Siempre",0.325,0.321,0.258,0.29
"P06","Casi siempre",0.454,0.466,0.379,0.371
"P06","Casi nunca",0.168,0.139,0.274,0.244
"P06","Nunca, pero esta es una excepción",0.053,0.074,0.089,0.095
"P07","Del Frente de Todos y el peronismo",0.075,0.744,0.099,0.17
"P07","De Juntos por el Cambio",0.672,0.098,0.255,0.342
"P07","De los Liberales libertarios",0.186,0.065,0.493,0.284
"P07","De la Izquierda",0.014,0.027,0.062,0.033
"P07","No sabe",0.053,0.066,0.091,0.171
"P08","A Sergio Massa",0.126,0.33,0.189,0.208
"P08","A Daniel Scioli",0.297,0.084,0.072,0.123
"P08","A algún candidato del peronismo",0.303,0.087,0.131,0.221
"P08","A algún candidato del kirchnerismo",0.274,0.499,0.608,0.448
"P09","A Horacio Rodríguez Larreta",0.194,0.237,0.036,0.017
"P09","A Patricia Bullrich",0.697,0.407,0.87,0.918
"P09","A Facundo Manes",0.052,0.218,0.061,0.022
"P09","A Gerardo Morales",0.057,0.138,0.033,0.043
"P10","Sergio Massa por el Frente de Todos",0.083,0.458,0.024,0.028
"P10","Patricia Bullrich por Juntos por el Cambio",0.364,0.046,0.174,0.23
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.122,0.005,0.005,0.025
"P10","Juan Schiaretti por Juntos por el Cambio",0.081,0.031,0.18,0.148
"P10","Jose Luis Espert por Juntos por el Cambio",0.031,0.226,0.029,0.018
"P10","Javier Milei por la Libertad Avanza",0.282,0.061,0.411,0.324
"P10","Al candidato del Frente de Izquierda",0.006,0.037,0.06,0.03
"P10","En blanco",0.007,0.017,0.061,0.025
"P10","No sabe",0.024,0.119,0.056,0.172
