"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","En blanco","No sabe"
"P05","Mucho",0.441,0.39,0.48,0.352
"P05","Bastante",0.369,0.429,0.335,0.36
"P05","Poco",0.132,0.114,0.122,0.171
"P05","Nada",0.046,0.057,0.036,0.061
"P05","No sabe",0.012,0.01,0.027,0.056
"P06","Siempre",0.334,0.253,0.304,0.369
"P06","Casi siempre",0.473,0.418,0.438,0.396
"P06","Casi nunca",0.142,0.251,0.19,0.151
"P06","Nunca, pero esta es una excepción",0.051,0.078,0.068,0.084
"P07","Del Frente de Todos y el peronismo",0.142,0.142,0.604,0.458
"P07","De Juntos por el Cambio",0.696,0.264,0.152,0.28
"P07","De los Liberales libertarios",0.081,0.541,0.083,0.034
"P07","De la Izquierda",0.014,0.013,0.075,0.021
"P07","No sabe",0.067,0.04,0.086,0.207
"P08","A Sergio Massa",0.301,0.352,0.258,0.271
"P08","A Daniel Scioli",0.097,0.147,0.09,0.105
"P08","A algún candidato del peronismo",0.298,0.134,0.106,0.106
"P08","A algún candidato del kirchnerismo",0.304,0.367,0.546,0.518
"P09","A Horacio Rodríguez Larreta",0.213,0.037,0.065,0.022
"P09","A Patricia Bullrich",0.662,0.848,0.708,0.94
"P09","A Facundo Manes",0.072,0.044,0.152,0.028
"P09","A Gerardo Morales",0.053,0.071,0.075,0.01
"P10","Sergio Massa por el Frente de Todos",0.136,0.06,0.332,0.227
"P10","Patricia Bullrich por Juntos por el Cambio",0.364,0.163,0.088,0.185
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.13,0.01,0.019,0.007
"P10","Juan Schiaretti por Juntos por el Cambio",0.045,0.195,0.045,0.058
"P10","Jose Luis Espert por Juntos por el Cambio",0.046,0.063,0.155,0.12
"P10","Javier Milei por la Libertad Avanza",0.203,0.462,0.074,0.139
"P10","Al candidato del Frente de Izquierda",0.011,0.009,0.094,0.018
"P10","En blanco",0.008,0.008,0.072,0.016
"P10","No sabe",0.057,0.03,0.121,0.23
"P13","Wado de Pedro por el Frente de Todos",0.165,0.093,0.405,0.326
"P13","Patricia Bullrich por Juntos por el Cambio",0.319,0.154,0.066,0.201
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.019,0.018,0.005
"P13","Juan Schiaretti por Juntos por el Cambio",0.05,0.197,0.035,0.051
"P13","Jose Luis Espert por Juntos por el Cambio",0.057,0.079,0.181,0.102
"P13","Javier Milei por la Libertad Avanza",0.191,0.432,0.115,0.115
"P13","Al candidato del Frente de Izquierda",0.004,0.008,0.063,0.013
"P13","En blanco",0.009,0.005,0.067,0.01
"P13","No sabe",0.033,0.013,0.05,0.177
