"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro  por el Frente de Todos","En blanco","No sabe"
"P27","Al candidato del Frente de Izquierda",0.022,0.07,0.094,0.057
"P27","En blanco",0.005,0.04,0.125,0.014
"P27","No sabe",0.015,0.109,0.086,0.337
"P28","Wado de Pedro por el Frente de Todos",0.01,0.842,0.033,0.076
"P28","Patricia Bullrich por Juntos por el Cambio",0.596,0.012,0.025,0.051
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.1,0.016,0.14,0.098
"P28","Javier Milei por la Libertad Avanza",0.259,0.026,0.479,0.305
"P28","Al candidato del Frente de Izquierda",0.009,0.037,0.073,0.036
"P28","En blanco",0.008,0.022,0.177,0.045
"P28","No sabe",0.018,0.045,0.073,0.389
"P29","Axel Kicillof por el Frente de Todos",0.021,0.827,0.078,0.131
"P29","Patricia Bullrich por Juntos por el Cambio",0.59,0.018,0.022,0.047
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.021,0.135,0.138
"P29","Javier Milei por la Libertad Avanza",0.263,0.029,0.473,0.283
"P29","Al candidato del Frente de Izquierda",0.005,0.03,0.079,0.01
"P29","En blanco",0.004,0.019,0.155,0.016
"P29","No sabe",0.013,0.056,0.058,0.375
"P30","Sergio Massa  por el Frente de Todos",0.027,0.747,0.082,0.186
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.32,0.027,0.137,0.117
"P30","Javier Milei por la Libertad Avanza",0.421,0.033,0.477,0.282
"P30","Al candidato del Frente de Izquierda",0.008,0.073,0.074,0.035
"P30","En blanco",0.056,0.032,0.159,0.055
"P30","No sabe",0.168,0.088,0.071,0.325
"P31","Sergio Massa  por el Frente de Todos",0.024,0.772,0.082,0.186
"P31","Patricia Bullrich por Juntos por el Cambio",0.622,0.012,0.051,0.062
"P31","Javier Milei por la Libertad Avanza",0.287,0.026,0.488,0.285
"P31","Al candidato del Frente de Izquierda",0.005,0.072,0.083,0.023
"P31","En blanco",0.013,0.036,0.228,0.031
"P31","No sabe",0.049,0.082,0.068,0.413
"P32","Wado de Pedro por el Frente de Todos",0.009,0.864,0.019,0.074
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.362,0.034,0.143,0.124
"P32","Javier Milei por la Libertad Avanza",0.432,0.033,0.475,0.304
"P32","Al candidato del Frente de Izquierda",0.003,0.03,0.064,0.036
"P32","En blanco",0.065,0.009,0.229,0.033
"P32","No sabe",0.129,0.03,0.07,0.429
"P33","Wado de Pedro por el Frente de Todos",0.011,0.887,0.019,0.1
"P33","Patricia Bullrich por Juntos por el Cambio",0.65,0.011,0.059,0.076
"P33","Javier Milei por la Libertad Avanza",0.292,0.026,0.488,0.284
"P33","Al candidato del Frente de Izquierda",0.004,0.036,0.067,0.034
"P33","En blanco",0.015,0.011,0.303,0.015
"P33","No sabe",0.028,0.029,0.064,0.491
"P34","Daniel Scioli por el Frente de Todos",0.027,0.66,0.123,0.099
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.364,0.025,0.122,0.133
"P34","Javier Milei por la Libertad Avanza",0.429,0.038,0.467,0.308
"P34","Al candidato del Frente de Izquierda",0.006,0.084,0.059,0.055
"P34","En blanco",0.062,0.059,0.187,0.049
"P34","No sabe",0.112,0.134,0.042,0.356
"P35","Daniel Scioli por el Frente de Todos",0.026,0.659,0.143,0.113
"P35","Patricia Bullrich por Juntos por el Cambio",0.635,0.018,0.049,0.067
"P35","Javier Milei por la Libertad Avanza",0.296,0.03,0.463,0.276
"P35","Al candidato del Frente de Izquierda",0.005,0.092,0.076,0.039
"P35","En blanco",0.012,0.074,0.23,0.03
"P35","No sabe",0.026,0.127,0.039,0.475
"P36","Axel Kicillof por el Frente de Todos",0.017,0.834,0.093,0.134
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.376,0.028,0.143,0.133
"P36","Javier Milei por la Libertad Avanza",0.443,0.032,0.468,0.301
"P36","Al candidato del Frente de Izquierda",0.006,0.033,0.079,0.034
"P36","En blanco",0.056,0.026,0.172,0.014
"P36","No sabe",0.102,0.047,0.045,0.384
"P37","Axel Kicillof por el Frente de Todos",0.019,0.843,0.095,0.158
"P37","Patricia Bullrich por Juntos por el Cambio",0.632,0.013,0.056,0.058
"P37","Javier Milei por la Libertad Avanza",0.308,0.029,0.464,0.303
"P37","Al candidato del Frente de Izquierda",0.006,0.037,0.086,0.029
"P37","En blanco",0.011,0.026,0.255,0.041
"P37","No sabe",0.024,0.052,0.044,0.411
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.548,0.031,0.15,0.117
"P38","Sergio Massa por el Frente de Todos",0.051,0.817,0.124,0.184
"P38","En blanco",0.192,0.064,0.597,0.05
"P38","No sabe",0.209,0.088,0.129,0.649
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.6,0.027,0.174,0.161
"P39","Wado de Pedro por el Frente de Todos",0.021,0.933,0.023,0.089
"P39","En blanco",0.207,0.016,0.754,0.052
"P39","No sabe",0.172,0.024,0.049,0.698
"P40","Patricia Bullrich por Juntos por el Cambio",0.926,0.018,0.055,0.061
"P40","Sergio Massa por el Frente de Todos",0.03,0.867,0.113,0.184
"P40","En blanco",0.022,0.052,0.791,0.076
"P40","No sabe",0.022,0.063,0.041,0.679
"P42","Patricia Bullrich por Juntos por el Cambio",0.956,0.025,0.072,0.05
"P42","Daniel Scioli por el Frente de Todos",0.028,0.791,0.147,0.107
"P42","En blanco",0.006,0.101,0.75,0.06
"P42","No sabe",0.01,0.083,0.031,0.783
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.642,0.042,0.133,0.124
"P43","Daniel Scioli por el Frente de Todos",0.033,0.771,0.162,0.112
"P43","En blanco",0.185,0.113,0.674,0.071
"P43","No sabe",0.14,0.074,0.031,0.693
"P44","Patricia Bullrich por Juntos por el Cambio",0.915,0.036,0.095,0.067
"P44","Axel Kicillof por el Frente de Todos",0.028,0.893,0.101,0.142
"P44","En blanco",0.035,0.026,0.778,0.07
"P44","No sabe",0.022,0.045,0.026,0.721
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.671,0.042,0.129,0.11
"P45","Axel Kicillof por el Frente de Todos",0.022,0.89,0.098,0.147
"P45","En blanco",0.183,0.029,0.739,0.042
"P45","No sabe",0.124,0.039,0.034,0.701
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.418,0.105,0.142,0.14
"P46","Javier Milei por los liberales libertarios",0.414,0.163,0.43,0.305
"P46","En blanco",0.075,0.502,0.395,0.077
"P46","No sabe",0.093,0.23,0.033,0.478
"P47","Patricia Bullrich por Juntos por el Cambio",0.666,0.048,0.054,0.06
"P47","Javier Milei por los liberales libertarios",0.302,0.079,0.481,0.331
"P47","En blanco",0.014,0.668,0.433,0.085
"P47","No sabe",0.018,0.205,0.032,0.524
"P48","Javier Milei por los liberales libertarios",0.631,0.035,0.43,0.325
"P48","Sergio Massa por el Frente de Todos",0.075,0.802,0.167,0.189
"P48","En blanco",0.146,0.119,0.39,0.072
"P48","No sabe",0.148,0.044,0.013,0.414
"P49","Javier Milei por los liberales libertarios",0.653,0.032,0.512,0.337
"P49","Wado de Pedro  por el Frente de Todos",0.027,0.931,0.058,0.112
"P49","En blanco",0.163,0.019,0.414,0.068
"P49","No sabe",0.157,0.018,0.016,0.483
"P50","Javier Milei por los liberales libertarios",0.656,0.041,0.473,0.329
"P50","Daniel Scioli por el Frente de Todos",0.033,0.814,0.168,0.133
"P50","En blanco",0.166,0.096,0.325,0.096
"P50","No sabe",0.145,0.049,0.034,0.442
"P51","Javier Milei por los liberales libertarios",0.676,0.042,0.499,0.366
"P51","Axel Kicillof por el Frente de Todos",0.022,0.896,0.118,0.165
"P51","En blanco",0.17,0.032,0.355,0.086
"P51","No sabe",0.132,0.03,0.028,0.383
"P52","Lo votaría",0.128,0.481,0.09,0.199
"P52","Puede que lo vote",0.034,0.36,0.098,0.091
"P52","Nunca lo votaría",0.788,0.109,0.722,0.419
"P52","No sabe",0.05,0.05,0.09,0.291
"P53","Lo votaría",0.041,0.768,0.021,0.056
"P53","Puede que lo vote",0.029,0.182,0.062,0.134
"P53","Nunca lo votaría",0.894,0.035,0.845,0.504
"P53","No sabe",0.036,0.015,0.072,0.306
