"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P63","Buena",0.284,0.359,0.253,0.027,0.041,0.053,0.114,0.051,0.148
"P63","Ni buena ni mala",0.263,0.332,0.165,0.134,0.207,0.135,0.259,0.161,0.249
"P63","Mala",0.095,0.082,0.053,0.252,0.22,0.235,0.187,0.153,0.127
"P63","Muy mala",0.076,0.044,0.102,0.556,0.44,0.55,0.414,0.511,0.179
"P63","No sabe",0.018,0.009,0.004,0.006,0.03,0.008,0.004,0.037,0.22
"P64","Muy buena",0.574,0.707,0.402,0.029,0.043,0.031,0.169,0.112,0.107
"P64","Buena",0.183,0.155,0.15,0.015,0.027,0.023,0.115,0.028,0.098
"P64","Ni buena ni mala",0.095,0.065,0.144,0.037,0.125,0.087,0.245,0.095,0.193
"P64","Mala",0.064,0.029,0.079,0.148,0.181,0.12,0.099,0.086,0.141
"P64","Muy mala",0.077,0.04,0.191,0.753,0.608,0.735,0.372,0.659,0.228
"P64","No sabe",0.007,0.004,0.034,0.018,0.016,0.004,0,0.02,0.233
"P65","Muy buena",0.179,0.088,0.111,0.692,0.226,0.323,0.032,0.048,0.067
"P65","Buena",0.046,0.039,0.083,0.187,0.26,0.27,0.012,0.036,0.134
"P65","Ni buena ni mala",0.079,0.038,0.193,0.027,0.211,0.184,0.123,0.267,0.193
"P65","Mala",0.192,0.183,0.272,0.017,0.158,0.074,0.098,0.09,0.1
"P65","Muy mala",0.492,0.648,0.33,0.075,0.129,0.143,0.735,0.539,0.281
"P65","No sabe",0.012,0.004,0.011,0.002,0.016,0.006,0,0.02,0.225
"P66","Muy buena",0.093,0.024,0.033,0.182,0.419,0.105,0,0,0.08
"P66","Buena",0.07,0.04,0.101,0.325,0.306,0.121,0.007,0.063,0.198
"P66","Ni buena ni mala",0.168,0.097,0.19,0.245,0.121,0.218,0.128,0.211,0.244
"P66","Mala",0.286,0.236,0.347,0.143,0.055,0.203,0.198,0.158,0.098
"P66","Muy mala",0.369,0.595,0.307,0.096,0.096,0.348,0.662,0.539,0.178
"P66","No sabe",0.014,0.008,0.022,0.009,0.003,0.005,0.005,0.029,0.202
"P67","Muy buena",0.066,0.014,0.102,0.121,0.172,0.679,0.01,0.084,0.027
"P67","Buena",0.037,0.038,0.106,0.252,0.177,0.164,0,0.026,0.106
"P67","Ni buena ni mala",0.119,0.053,0.181,0.372,0.213,0.068,0.058,0.177,0.192
"P67","Mala",0.142,0.122,0.163,0.12,0.18,0.028,0.142,0.087,0.177
"P67","Muy mala",0.626,0.77,0.403,0.109,0.232,0.059,0.781,0.558,0.289
"P67","No sabe",0.01,0.003,0.045,0.026,0.026,0.002,0.009,0.068,0.209
"P68","Muy buena",0.053,0.013,0.078,0.058,0.064,0.111,0.02,0.068,0.129
"P68","Buena",0.077,0.041,0.102,0.092,0.115,0.09,0.039,0.046,0.119
"P68","Ni buena ni mala",0.315,0.188,0.299,0.28,0.445,0.299,0.154,0.251,0.291
"P68","Mala",0.229,0.254,0.152,0.203,0.111,0.152,0.293,0.099,0.09
"P68","Muy mala",0.279,0.482,0.274,0.312,0.196,0.286,0.435,0.516,0.15
"P68","No sabe",0.047,0.022,0.095,0.055,0.069,0.062,0.059,0.02,0.221
"P69","Muy buena",0.042,0.028,0.039,0.157,0.086,0.152,0.017,0.014,0.091
"P69","Buena",0.075,0.03,0.105,0.356,0.249,0.236,0.032,0.101,0.096
"P69","Ni buena ni mala",0.208,0.091,0.229,0.301,0.408,0.323,0.116,0.196,0.252
"P69","Mala",0.214,0.172,0.273,0.056,0.08,0.107,0.115,0.05,0.079
"P69","Muy mala",0.421,0.669,0.261,0.091,0.136,0.155,0.657,0.499,0.277
"P69","No sabe",0.04,0.01,0.093,0.039,0.041,0.027,0.063,0.14,0.205
"P70","Si",0.585,0.58,0.517,0.529,0.495,0.561,0.429,0.492,0.442
"P70","No",0.415,0.42,0.483,0.471,0.505,0.439,0.571,0.508,0.558
