"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.011,0.023,0.073,0.001,0.024,0.02,0.612,0.024,0.013
"P22","En blanco",0.011,0.025,0.039,0.008,0.014,0.003,0.096,0.407,0.029
"P22","No sabe",0.036,0.073,0.085,0.016,0.048,0.014,0.023,0.274,0.587
"P25","Sergio Massa por el Frente de Todos",0.662,0.454,0.13,0.052,0.07,0.058,0.058,0.075,0.082
"P25","Daniel Scioli por el Frente de Todos",0.091,0.182,0.494,0.043,0.046,0.023,0.011,0.01,0.033
"P25","Patricia Bullrich por Juntos por el Cambio",0.082,0.057,0.106,0.78,0.137,0.087,0.033,0.028,0.043
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.032,0.06,0.045,0.578,0.034,0.024,0.038,0.045
"P25","Javier Milei por la Libertad Avanza",0.052,0.049,0.077,0.057,0.111,0.739,0.058,0.092,0.035
"P25","Al candidato del Frente de Izquierda",0.015,0.052,0.067,0.002,0.018,0.016,0.725,0.029,0.014
"P25","En blanco",0.01,0.044,0.012,0.005,0.005,0.012,0.089,0.532,0.068
"P25","No sabe",0.042,0.13,0.054,0.016,0.035,0.031,0.002,0.196,0.68
"P26","Wado de Pedro por el Frente de Todos",0.479,0.816,0.129,0.022,0.046,0.034,0.092,0.088,0.086
"P26","Daniel Scioli por el Frente de Todos",0.198,0.065,0.562,0.016,0.032,0.008,0.024,0.011,0.036
"P26","Patricia Bullrich por Juntos por el Cambio",0.062,0.038,0.067,0.858,0.123,0.085,0.033,0.017,0.049
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.019,0.057,0.02,0.623,0.014,0.013,0.062,0.033
"P26","Javier Milei por la Libertad Avanza",0.06,0.026,0.081,0.063,0.12,0.819,0.058,0.055,0.03
"P26","Al candidato del Frente de Izquierda",0.025,0.005,0.069,0.001,0.017,0.009,0.614,0.012,0.004
"P26","En blanco",0.027,0.013,0,0.005,0.01,0.005,0.111,0.536,0.071
"P26","No sabe",0.103,0.018,0.035,0.015,0.029,0.026,0.055,0.219,0.691
"P27","Sergio Massa por el Frente de Todos",0.774,0.653,0.347,0.023,0.058,0.028,0.1,0.084,0.089
"P27","Patricia Bullrich por Juntos por el Cambio",0.06,0.047,0.187,0.799,0.129,0.09,0.025,0.038,0.055
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.022,0.057,0.089,0.601,0.022,0.006,0.015,0.027
