"var","categoria","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.437,0.429,0.307,0.281,0.347,0.386,0.406,0.277
"P05","Bastante",0.352,0.365,0.338,0.356,0.353,0.328,0.211,0.286
"P05","Poco",0.138,0.15,0.22,0.148,0.155,0.195,0.136,0.201
"P05","Nada",0.043,0.046,0.102,0.148,0.109,0.071,0.218,0.15
"P05","No sabe",0.03,0.01,0.033,0.067,0.036,0.02,0.029,0.086
"P06","Siempre",0.312,0.311,0.272,0.297,0.223,0.249,0.166,0.208
"P06","Casi siempre",0.426,0.423,0.438,0.295,0.354,0.449,0.356,0.293
"P06","Casi nunca",0.172,0.205,0.225,0.207,0.299,0.243,0.31,0.29
"P06","Nunca, pero esta es una excepción",0.09,0.061,0.065,0.201,0.124,0.059,0.168,0.209
"P07","Del Frente de Todos y el peronismo",0.795,0.072,0.118,0.198,0.056,0.197,0.262,0.229
"P07","De Juntos por el Cambio",0.074,0.762,0.541,0.34,0.1,0.03,0.149,0.11
"P07","De los Liberales libertarios",0.037,0.101,0.095,0.28,0.734,0.151,0.048,0.049
"P07","De la Izquierda",0.02,0.011,0.039,0.013,0.031,0.475,0.088,0.03
"P07","No sabe",0.074,0.054,0.207,0.169,0.079,0.147,0.453,0.582
"P08","A Sergio Massa",0.317,0.222,0.241,0.179,0.335,0.274,0.138,0.148
"P08","A Daniel Scioli",0.091,0.184,0.143,0.208,0.094,0.034,0.013,0.15
"P08","A algún candidato del peronismo",0.103,0.18,0.412,0.098,0.315,0.228,0.153,0.183
"P08","A algún candidato del kirchnerismo",0.489,0.414,0.204,0.515,0.256,0.464,0.696,0.519
"P09","A Horacio Rodríguez Larreta",0.206,0.052,0.484,0.219,0.173,0,0.326,0.392
"P09","A Patricia Bullrich",0.399,0.909,0.261,0.514,0.669,0.253,0.253,0.289
"P09","A Facundo Manes",0.264,0.024,0.123,0.122,0.087,0.249,0.249,0.219
"P09","A Gerardo Morales",0.131,0.015,0.132,0.145,0.071,0.498,0.172,0.1
"P10","Sergio Massa por el Frente de Todos",0.466,0.05,0.229,0.112,0.025,0.019,0.072,0.066
"P10","Patricia Bullrich por Juntos por el Cambio",0.033,0.527,0.143,0.202,0.034,0.016,0.03,0.059
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.03,0.269,0.093,0.014,0.016,0.023,0.035
"P10","Juan Schiaretti por Juntos por el Cambio",0.019,0.019,0.134,0.081,0.298,0.032,0.051,0.045
"P10","Jose Luis Espert por Juntos por el Cambio",0.221,0.018,0.016,0.221,0.018,0.059,0.006,0.031
"P10","Javier Milei por la Libertad Avanza",0.053,0.321,0.082,0.207,0.584,0.155,0.08,0.02
"P10","Al candidato del Frente de Izquierda",0.032,0.002,0.019,0.011,0.007,0.514,0.065,0.02
"P10","En blanco",0.017,0.005,0.026,0.007,0.003,0.024,0.494,0.117
"P10","No sabe",0.148,0.028,0.082,0.066,0.017,0.165,0.179,0.607
"P13","Wado de Pedro por el Frente de Todos",0.484,0.086,0.194,0.13,0.038,0.105,0.119,0.142
"P13","Patricia Bullrich por Juntos por el Cambio",0.031,0.506,0.164,0.161,0.041,0.029,0.026,0.05
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.047,0.314,0.165,0.017,0.011,0.062,0.033
"P13","Juan Schiaretti por Juntos por el Cambio",0.021,0.023,0.119,0.121,0.286,0.065,0.019,0.032
"P13","Jose Luis Espert por Juntos por el Cambio",0.243,0.019,0.031,0.17,0.052,0.108,0.039,0.058
"P13","Javier Milei por la Libertad Avanza",0.058,0.295,0.093,0.192,0.544,0.118,0.081,0.026
"P13","Al candidato del Frente de Izquierda",0.02,0.002,0.012,0.002,0.005,0.471,0.068,0.008
"P13","En blanco",0.025,0.002,0.011,0.016,0.003,0.02,0.455,0.114
"P13","No sabe",0.096,0.02,0.062,0.043,0.014,0.073,0.131,0.537
"P16","Sergio Massa por el Frente de Todos",0.29,0.032,0.055,0.078,0.032,0.04,0.045,0.046
"P16","Wado de Pedro por el Frente de Todos",0.481,0.032,0.078,0.096,0.032,0.14,0.171,0.158
"P16","Daniel Scioli por el Frente de Todos",0.076,0.021,0.05,0.066,0.02,0.117,0.067,0.047
"P16","Patricia Bullrich por Juntos por el Cambio",0.039,0.769,0.125,0.291,0.084,0.008,0.08,0.05
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.058,0.454,0.159,0.043,0.068,0.043,0.047
"P16","Javier Milei por la Libertad Avanza",0.041,0.071,0.105,0.175,0.763,0.156,0.026,0.036
"P16","Al candidato del Frente de Izquierda",0.008,0.002,0.017,0.002,0.004,0.413,0.07,0.005
"P16","En blanco",0.014,0.002,0.017,0.03,0.006,0.023,0.418,0.09
"P16","No sabe",0.032,0.013,0.099,0.103,0.016,0.035,0.08,0.521
"P19","Sergio Massa por el Frente de Todos",0.283,0.035,0.069,0.072,0.047,0.021,0.035,0.037
"P19","Wado de Pedro por el Frente de Todos",0.526,0.041,0.11,0.12,0.03,0.158,0.19,0.167
"P19","Patricia Bullrich por Juntos por el Cambio",0.058,0.763,0.142,0.207,0.079,0.011,0.082,0.054
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.071,0.451,0.225,0.026,0.019,0.035,0.062
"P19","Javier Milei por la Libertad Avanza",0.051,0.072,0.073,0.234,0.77,0.12,0.032,0.015
"P19","Al candidato del Frente de Izquierda",0.006,0.003,0.028,0.039,0.036,0.573,0.011,0.011
"P19","En blanco",0.017,0.003,0.036,0.05,0.002,0.051,0.477,0.046
"P19","No sabe",0.035,0.012,0.091,0.053,0.01,0.047,0.138,0.608
"P25","Sergio Massa por el Frente de Todos",0.569,0.063,0.065,0.034,0.064,0.036,0.029,0.05
"P25","Daniel Scioli por el Frente de Todos",0.17,0.064,0.053,0.149,0.029,0.053,0.079,0.068
"P25","Patricia Bullrich por Juntos por el Cambio",0.079,0.732,0.174,0.261,0.079,0.006,0.06,0.045
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.065,0.453,0.177,0.047,0.015,0.087,0.032
"P25","Javier Milei por la Libertad Avanza",0.045,0.054,0.105,0.231,0.748,0.099,0.039,0.009
"P25","Al candidato del Frente de Izquierda",0.024,0.002,0.007,0.018,0.009,0.77,0.027,0.015
"P25","En blanco",0.019,0.005,0.029,0.077,0.008,0.014,0.589,0.075
"P25","No sabe",0.071,0.015,0.114,0.053,0.016,0.007,0.09,0.706
"P26","Wado de Pedro por el Frente de Todos",0.666,0.04,0.061,0.101,0.024,0.178,0.181,0.193
"P26","Daniel Scioli por el Frente de Todos",0.151,0.029,0.053,0.067,0.023,0.05,0.072,0.081
"P26","Patricia Bullrich por Juntos por el Cambio",0.05,0.815,0.157,0.24,0.074,0.009,0.058,0.042
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.042,0.481,0.184,0.024,0.003,0.091,0.045
"P26","Javier Milei por la Libertad Avanza",0.035,0.045,0.1,0.272,0.836,0.126,0.052,0.012
"P26","Al candidato del Frente de Izquierda",0.009,0.003,0.004,0.007,0.004,0.555,0.018,0.005
"P26","En blanco",0.019,0.006,0.029,0.075,0.002,0.047,0.438,0.048
"P26","No sabe",0.052,0.02,0.115,0.054,0.013,0.032,0.09,0.574
"P27","Sergio Massa por el Frente de Todos",0.755,0.044,0.075,0.081,0.027,0.039,0.032,0.053
"P27","Patricia Bullrich por Juntos por el Cambio",0.046,0.783,0.148,0.328,0.075,0.032,0.084,0.049
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.096,0.505,0.169,0.03,0.043,0.065,0.031
"P27","Javier Milei por la Libertad Avanza",0.039,0.051,0.093,0.191,0.791,0.085,0.081,0.042
"P27","Al candidato del Frente de Izquierda",0.03,0.009,0.033,0.085,0.065,0.555,0.015,0.021
"P27","En blanco",0.021,0.003,0.022,0.09,0.003,0.174,0.478,0.081
"P27","No sabe",0.087,0.014,0.124,0.056,0.009,0.072,0.245,0.723
"P28","Wado de Pedro por el Frente de Todos",0.779,0.046,0.073,0.134,0.027,0.173,0.204,0.212
"P28","Patricia Bullrich por Juntos por el Cambio",0.043,0.839,0.158,0.258,0.078,0.009,0.07,0.041
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.048,0.523,0.15,0.014,0.041,0.075,0.037
"P28","Javier Milei por la Libertad Avanza",0.035,0.041,0.084,0.224,0.841,0.09,0.04,0.027
"P28","Al candidato del Frente de Izquierda",0.02,0.006,0.015,0.061,0.014,0.444,0.014,0.013
"P28","En blanco",0.03,0.003,0.03,0.055,0.007,0.23,0.401,0.08
"P28","No sabe",0.075,0.017,0.117,0.118,0.019,0.013,0.196,0.59
"P29","Axel Kicillof por el Frente de Todos",0.78,0.045,0.075,0.166,0.04,0.226,0.217,0.252
