"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Wado de Pedro por el Frente de Todos",0.279,0.253,0.304,0.225,0.303,0.304,0.254,0.265,0.255,0.324,0.242,0.24,0.284,0.332,0.299,0.325,0.213
"Patricia Bullrich por Juntos por el Cambio",0.339,0.291,0.383,0.233,0.275,0.388,0.506,0.289,0.349,0.374,0.338,0.349,0.316,0.339,0.339,0.364,0.346
"Javier Milei por la Libertad Avanza",0.234,0.319,0.154,0.409,0.259,0.16,0.104,0.266,0.249,0.183,0.273,0.246,0.229,0.19,0.25,0.199,0.219
"Al candidato del Frente de Izquierda",0.02,0.021,0.02,0.012,0.033,0.015,0.012,0.019,0.021,0.02,0.022,0.019,0.025,0.02,0.022,0.018,0.017
"En blanco",0.047,0.058,0.037,0.051,0.049,0.054,0.03,0.057,0.043,0.043,0.048,0.04,0.071,0.045,0.032,0.045,0.063
"No sabe",0.081,0.058,0.102,0.07,0.081,0.079,0.094,0.104,0.083,0.056,0.077,0.106,0.075,0.074,0.058,0.049,0.142
