"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.436,0.446,0.402,0.332
"P05","Bastante",0.378,0.393,0.374,0.356
"P05","Poco",0.126,0.123,0.13,0.181
"P05","Nada",0.044,0.022,0.067,0.093
"P05","No sabe",0.016,0.016,0.027,0.038
"P06","Siempre",0.317,0.323,0.253,0.311
"P06","Casi siempre",0.459,0.455,0.405,0.341
"P06","Casi nunca",0.169,0.155,0.248,0.25
"P06","Nunca, pero esta es una excepción",0.055,0.067,0.094,0.098
"P07","Del Frente de Todos y el peronismo",0.068,0.763,0.155,0.217
"P07","De Juntos por el Cambio",0.649,0.079,0.215,0.345
"P07","De los Liberales libertarios",0.212,0.067,0.472,0.216
"P07","De la Izquierda",0.013,0.033,0.056,0.034
"P07","No sabe",0.058,0.058,0.102,0.188
"P08","A Sergio Massa",0.277,0.281,0.37,0.321
"P08","A Daniel Scioli",0.26,0.11,0.03,0.014
"P08","A algún candidato del peronismo",0.347,0.093,0.122,0.188
"P08","A algún candidato del kirchnerismo",0.116,0.516,0.478,0.477
"P09","A Horacio Rodríguez Larreta",0.173,0.254,0.012,0.035
"P09","A Patricia Bullrich",0.72,0.259,0.854,0.944
"P09","A Facundo Manes",0.054,0.261,0.089,0.013
"P09","A Gerardo Morales",0.053,0.226,0.045,0.008
"P10","Sergio Massa por el Frente de Todos",0.08,0.421,0.059,0.096
"P10","Patricia Bullrich por Juntos por el Cambio",0.343,0.036,0.149,0.244
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.009,0.017,0.006
"P10","Juan Schiaretti por Juntos por el Cambio",0.088,0.037,0.175,0.124
"P10","Jose Luis Espert por Juntos por el Cambio",0.032,0.233,0.027,0.043
"P10","Javier Milei por la Libertad Avanza",0.313,0.047,0.39,0.277
"P10","Al candidato del Frente de Izquierda",0.005,0.046,0.068,0.014
"P10","En blanco",0.006,0.03,0.057,0.014
"P10","No sabe",0.031,0.141,0.058,0.182
"P13","Wado de Pedro por el Frente de Todos",0.11,0.487,0.109,0.144
"P13","Patricia Bullrich por Juntos por el Cambio",0.319,0.041,0.122,0.236
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.137,0.013,0.01,0.009
"P13","Juan Schiaretti por Juntos por el Cambio",0.097,0.03,0.162,0.122
"P13","Jose Luis Espert por Juntos por el Cambio",0.044,0.226,0.063,0.066
"P13","Javier Milei por la Libertad Avanza",0.266,0.074,0.404,0.246
"P13","Al candidato del Frente de Izquierda",0.005,0.031,0.043,0.007
"P13","En blanco",0.005,0.031,0.055,0.008
"P13","No sabe",0.017,0.067,0.032,0.162
"P16","Sergio Massa por el Frente de Todos",0.035,0.235,0.061,0.073
"P16","Wado de Pedro por el Frente de Todos",0.034,0.491,0.107,0.132
"P16","Daniel Scioli por el Frente de Todos",0.012,0.134,0.008,0.015
"P16","Patricia Bullrich por Juntos por el Cambio",0.506,0.027,0.251,0.366
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.183,0.017,0.025,0.03
"P16","Javier Milei por la Libertad Avanza",0.205,0.041,0.421,0.224
"P16","Al candidato del Frente de Izquierda",0.002,0.013,0.043,0.008
"P16","En blanco",0.005,0.009,0.058,0.004
"P16","No sabe",0.018,0.033,0.026,0.148
"P19","Sergio Massa por el Frente de Todos",0.045,0.222,0.045,0.086
"P19","Wado de Pedro por el Frente de Todos",0.038,0.546,0.135,0.145
"P19","Patricia Bullrich por Juntos por el Cambio",0.492,0.047,0.229,0.339
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.188,0.024,0.018,0.018
"P19","Javier Milei por la Libertad Avanza",0.202,0.07,0.429,0.22
"P19","Al candidato del Frente de Izquierda",0.012,0.033,0.062,0.03
"P19","En blanco",0.006,0.018,0.049,0.013
"P19","No sabe",0.017,0.04,0.033,0.149
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.062,0.733,0.134,0.165
