"var","categoria","Sergio Massa  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.44,0.422,0.35,0.373,0.392,0.296
"P05","Bastante",0.389,0.375,0.386,0.391,0.268,0.284
"P05","Poco",0.12,0.141,0.142,0.163,0.15,0.252
"P05","Nada",0.024,0.05,0.09,0.069,0.168,0.095
"P05","No sabe",0.027,0.012,0.032,0.004,0.022,0.073
"P06","Siempre",0.323,0.333,0.234,0.269,0.238,0.271
"P06","Casi siempre",0.445,0.431,0.356,0.457,0.368,0.385
"P06","Casi nunca",0.158,0.177,0.309,0.175,0.268,0.243
"P06","Nunca, pero esta es una excepción",0.074,0.059,0.101,0.099,0.126,0.101
"P07","Del Frente de Todos y el peronismo",0.814,0.054,0.037,0.381,0.289,0.258
"P07","De Juntos por el Cambio",0.077,0.796,0.11,0.107,0.307,0.251
"P07","De los Liberales libertarios",0.027,0.083,0.757,0.035,0.068,0.056
"P07","De la Izquierda",0.019,0.01,0.02,0.402,0.037,0.024
"P07","No sabe",0.063,0.057,0.076,0.075,0.299,0.411
"P08","A Sergio Massa",0.361,0.119,0.245,0.082,0.04,0.165
"P08","A Daniel Scioli",0.087,0.269,0.158,0.078,0.194,0.091
"P08","A algún candidato del peronismo",0.082,0.356,0.413,0.107,0.254,0.196
"P08","A algún candidato del kirchnerismo",0.47,0.256,0.184,0.733,0.512,0.548
"P09","A Horacio Rodríguez Larreta",0.357,0.106,0.103,0.127,0.378,0.269
"P09","A Patricia Bullrich",0.194,0.84,0.758,0.152,0.252,0.505
"P09","A Facundo Manes",0.306,0.028,0.067,0.209,0.159,0.131
"P09","A Gerardo Morales",0.143,0.026,0.072,0.512,0.211,0.095
"P10","Sergio Massa por el Frente de Todos",0.515,0.059,0.012,0.106,0.1,0.081
"P10","Patricia Bullrich por Juntos por el Cambio",0.022,0.524,0.039,0.03,0.103,0.127
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.07,0.017,0.016,0.14,0.082
"P10","Juan Schiaretti por Juntos por el Cambio",0.015,0.021,0.308,0.067,0.085,0.087
"P10","Jose Luis Espert por Juntos por el Cambio",0.253,0.023,0.017,0.052,0.022,0.029
"P10","Javier Milei por la Libertad Avanza",0.033,0.28,0.581,0.031,0.053,0.069
"P10","Al candidato del Frente de Izquierda",0.023,0.003,0.002,0.546,0.016,0.014
"P10","En blanco",0.011,0.004,0.003,0.027,0.339,0.063
"P10","No sabe",0.111,0.016,0.021,0.125,0.142,0.448
"P13","Wado de Pedro por el Frente de Todos",0.512,0.083,0.03,0.3,0.164,0.203
"P13","Patricia Bullrich por Juntos por el Cambio",0.027,0.502,0.042,0.04,0.062,0.108
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.1,0.029,0.065,0.121,0.099
"P13","Juan Schiaretti por Juntos por el Cambio",0.014,0.018,0.304,0.029,0.096,0.084
"P13","Jose Luis Espert por Juntos por el Cambio",0.238,0.016,0.052,0.116,0.129,0.095
"P13","Javier Milei por la Libertad Avanza",0.056,0.261,0.532,0.032,0.043,0.051
"P13","Al candidato del Frente de Izquierda",0.022,0.001,0.002,0.365,0.017,0.004
"P13","En blanco",0.027,0.003,0.001,0.005,0.269,0.043
"P13","No sabe",0.085,0.016,0.008,0.048,0.099,0.313
"P16","Sergio Massa por el Frente de Todos",0.329,0.021,0.016,0.033,0.066,0.026
"P16","Wado de Pedro por el Frente de Todos",0.487,0.017,0.024,0.376,0.183,0.204
"P16","Daniel Scioli por el Frente de Todos",0.08,0.023,0.019,0.054,0.056,0.065
"P16","Patricia Bullrich por Juntos por el Cambio",0.019,0.746,0.095,0.044,0.099,0.136
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.123,0.057,0.066,0.164,0.12
"P16","Javier Milei por la Libertad Avanza",0.022,0.056,0.768,0.058,0.03,0.069
"P16","Al candidato del Frente de Izquierda",0.007,0.001,0.002,0.32,0.005,0.008
"P16","En blanco",0.004,0.002,0.006,0.021,0.261,0.03
"P16","No sabe",0.024,0.011,0.013,0.028,0.136,0.342
"P19","Sergio Massa por el Frente de Todos",0.319,0.022,0.028,0.016,0.072,0.046
"P19","Wado de Pedro por el Frente de Todos",0.532,0.026,0.029,0.446,0.189,0.216
"P19","Patricia Bullrich por Juntos por el Cambio",0.042,0.731,0.091,0.035,0.084,0.118
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.145,0.031,0.044,0.173,0.132
"P19","Javier Milei por la Libertad Avanza",0.033,0.058,0.762,0.073,0.05,0.061
"P19","Al candidato del Frente de Izquierda",0.009,0.006,0.046,0.327,0.011,0.02
"P19","En blanco",0.004,0.003,0.003,0.053,0.283,0.03
"P19","No sabe",0.025,0.009,0.01,0.006,0.138,0.377
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.859,0.028,0.025,0.269,0.103,0.149
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.039,0.769,0.083,0.045,0.077,0.133
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.034,0.113,0.049,0.078,0.205,0.183
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.012,0.032,0.027,0.052,0.058,0.019
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.023,0.039,0.784,0.027,0.067,0.05
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.007,0.001,0.018,0.494,0.031,0.021
"P22","En blanco",0.004,0.008,0.003,0.029,0.329,0.016
