"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.44,0.422,0.356,0.396,0.433,0.339
"P05","Bastante",0.372,0.378,0.388,0.46,0.315,0.335
"P05","Poco",0.14,0.15,0.135,0.085,0.137,0.159
"P05","Nada",0.023,0.037,0.098,0.051,0.107,0.079
"P05","No sabe",0.025,0.013,0.023,0.008,0.008,0.088
"P06","Siempre",0.346,0.334,0.233,0.263,0.255,0.293
"P06","Casi siempre",0.432,0.436,0.355,0.484,0.401,0.439
"P06","Casi nunca",0.155,0.169,0.303,0.204,0.196,0.189
"P06","Nunca, pero esta es una excepción",0.067,0.061,0.109,0.049,0.148,0.079
"P07","Del Frente de Todos y el peronismo",0.811,0.05,0.032,0.405,0.45,0.447
"P07","De Juntos por el Cambio",0.076,0.808,0.117,0.176,0.262,0.169
"P07","De los Liberales libertarios",0.039,0.082,0.744,0.032,0.041,0.039
"P07","De la Izquierda",0.017,0.007,0.022,0.342,0.053,0.016
"P07","No sabe",0.057,0.053,0.085,0.045,0.194,0.329
"P08","A Sergio Massa",0.312,0.126,0.25,0.167,0.341,0.355
"P08","A Daniel Scioli",0.12,0.315,0.026,0.021,0.017,0.038
"P08","A algún candidato del peronismo",0.09,0.354,0.453,0.179,0.136,0.132
"P08","A algún candidato del kirchnerismo",0.478,0.205,0.271,0.633,0.506,0.475
"P09","A Horacio Rodríguez Larreta",0.28,0.104,0.089,0.318,0.391,0.46
"P09","A Patricia Bullrich",0.279,0.83,0.76,0.148,0.214,0.307
"P09","A Facundo Manes",0.266,0.03,0.067,0.341,0.231,0.118
"P09","A Gerardo Morales",0.175,0.036,0.084,0.193,0.164,0.115
"P10","Sergio Massa por el Frente de Todos",0.458,0.057,0.019,0.245,0.184,0.241
"P10","Patricia Bullrich por Juntos por el Cambio",0.032,0.535,0.042,0.006,0.076,0.058
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.075,0.013,0.012,0.118,0.078
"P10","Juan Schiaretti por Juntos por el Cambio",0.026,0.018,0.315,0.05,0.046,0.046
"P10","Jose Luis Espert por Juntos por el Cambio",0.266,0.024,0.011,0.087,0.079,0.063
"P10","Javier Milei por la Libertad Avanza",0.027,0.268,0.58,0.014,0.09,0.064
"P10","Al candidato del Frente de Izquierda",0.024,0.004,0.001,0.44,0.025,0.027
"P10","En blanco",0.022,0.003,0.004,0.028,0.226,0.037
"P10","No sabe",0.13,0.016,0.015,0.118,0.156,0.386
"P13","Wado de Pedro por el Frente de Todos",0.505,0.094,0.03,0.4,0.284,0.263
"P13","Patricia Bullrich por Juntos por el Cambio",0.029,0.489,0.047,0.002,0.023,0.069
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.105,0.028,0.03,0.09,0.094
"P13","Juan Schiaretti por Juntos por el Cambio",0.02,0.019,0.304,0.034,0.049,0.062
"P13","Jose Luis Espert por Juntos por el Cambio",0.251,0.016,0.05,0.17,0.179,0.091
"P13","Javier Milei por la Libertad Avanza",0.057,0.257,0.531,0.02,0.073,0.062
"P13","Al candidato del Frente de Izquierda",0.026,0.002,0,0.287,0.012,0.01
"P13","En blanco",0.027,0.002,0.001,0.012,0.223,0.014
"P13","No sabe",0.066,0.016,0.009,0.045,0.067,0.335
"P16","Sergio Massa por el Frente de Todos",0.256,0.025,0.018,0.221,0.139,0.15
"P16","Wado de Pedro por el Frente de Todos",0.498,0.02,0.02,0.345,0.299,0.266
"P16","Daniel Scioli por el Frente de Todos",0.141,0.022,0.014,0.007,0.019,0.025
"P16","Patricia Bullrich por Juntos por el Cambio",0.036,0.73,0.117,0.016,0.086,0.065
