"var","categoria","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.479,0.29,0.429,0.362,0.337,0.416,0.324,0.246
"P05","Bastante",0.369,0.419,0.359,0.352,0.358,0.341,0.302,0.229
"P05","Poco",0.111,0.211,0.146,0.182,0.153,0.142,0.138,0.256
"P05","Nada",0.019,0.057,0.051,0.086,0.118,0.059,0.181,0.168
"P05","No sabe",0.022,0.023,0.015,0.018,0.034,0.042,0.055,0.101
"P06","Siempre",0.318,0.28,0.31,0.284,0.231,0.304,0.215,0.223
"P06","Casi siempre",0.437,0.428,0.437,0.456,0.354,0.368,0.346,0.304
"P06","Casi nunca",0.177,0.183,0.191,0.197,0.29,0.24,0.267,0.286
"P06","Nunca, pero esta es una excepción",0.068,0.109,0.062,0.063,0.125,0.088,0.172,0.187
"P07","Del Frente de Todos y el peronismo",0.849,0.601,0.043,0.124,0.051,0.231,0.234,0.159
"P07","De Juntos por el Cambio",0.047,0.149,0.796,0.687,0.076,0.048,0.212,0.094
"P07","De los Liberales libertarios",0.034,0.071,0.092,0.063,0.749,0.165,0.066,0.081
"P07","De la Izquierda",0.018,0.043,0.012,0.029,0.035,0.454,0.106,0.035
"P07","No sabe",0.052,0.136,0.057,0.097,0.089,0.102,0.382,0.631
"P08","A Sergio Massa",0.291,0.263,0.208,0.354,0.23,0.437,0.373,0.386
"P08","A Daniel Scioli",0.037,0.415,0.216,0.218,0.094,0.011,0.008,0.017
"P08","A algún candidato del peronismo",0.111,0.077,0.365,0.21,0.391,0.088,0.231,0.249
"P08","A algún candidato del kirchnerismo",0.561,0.245,0.211,0.218,0.285,0.464,0.388,0.348
"P09","A Horacio Rodríguez Larreta",0.199,0.272,0.024,0.624,0.145,0.061,0.029,0.328
"P09","A Patricia Bullrich",0.294,0.454,0.934,0.149,0.632,0.151,0.478,0.215
"P09","A Facundo Manes",0.476,0.101,0.024,0.094,0.098,0.193,0.355,0.265
"P09","A Gerardo Morales",0.031,0.173,0.018,0.133,0.125,0.595,0.138,0.192
"P10","Sergio Massa por el Frente de Todos",0.445,0.365,0.025,0.294,0.016,0.075,0.081,0.136
"P10","Patricia Bullrich por Juntos por el Cambio",0.02,0.089,0.572,0.064,0.026,0.009,0.029,0.059
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.006,0.019,0.417,0.008,0.01,0.034,0.024
"P10","Juan Schiaretti por Juntos por el Cambio",0.022,0.039,0.015,0.062,0.321,0.024,0.082,0.074
"P10","Jose Luis Espert por Juntos por el Cambio",0.209,0.201,0.021,0.025,0.018,0.096,0.059,0.042
"P10","Javier Milei por la Libertad Avanza",0.036,0.062,0.331,0.061,0.583,0.168,0.063,0.069
"P10","Al candidato del Frente de Izquierda",0.048,0.019,0.003,0.01,0.005,0.511,0.093,0.015
"P10","En blanco",0.027,0.026,0.003,0.009,0.007,0.013,0.393,0.072
"P10","No sabe",0.182,0.193,0.011,0.058,0.016,0.094,0.166,0.509
"P13","Wado de Pedro por el Frente de Todos",0.559,0.319,0.065,0.263,0.028,0.075,0.066,0.069
"P13","Patricia Bullrich por Juntos por el Cambio",0.024,0.096,0.547,0.08,0.028,0.018,0.047,0.069
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.031,0.041,0.483,0.018,0.015,0.01,0.037
"P13","Juan Schiaretti por Juntos por el Cambio",0.012,0.056,0.018,0.06,0.299,0.033,0.071,0.064
"P13","Jose Luis Espert por Juntos por el Cambio",0.26,0.126,0.015,0.036,0.063,0.132,0.116,0.04
"P13","Javier Milei por la Libertad Avanza",0.047,0.104,0.299,0.027,0.549,0.135,0.034,0.075
"P13","Al candidato del Frente de Izquierda",0.012,0.037,0.002,0.001,0.003,0.56,0.083,0.012
"P13","En blanco",0.018,0.066,0.002,0.009,0.003,0.008,0.428,0.073
"P13","No sabe",0.06,0.165,0.011,0.041,0.009,0.024,0.145,0.561
"P16","Sergio Massa por el Frente de Todos",0.219,0.299,0.023,0.067,0.028,0.123,0.104,0.137
"P16","Wado de Pedro por el Frente de Todos",0.641,0.169,0.025,0.046,0.021,0.045,0.084,0.041
"P16","Daniel Scioli por el Frente de Todos",0.025,0.365,0.011,0.035,0.016,0.146,0,0.02
"P16","Patricia Bullrich por Juntos por el Cambio",0.026,0.061,0.827,0.075,0.077,0.014,0.055,0.051
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.036,0.035,0.682,0.043,0.062,0.029,0.029
"P16","Javier Milei por la Libertad Avanza",0.032,0.026,0.065,0.042,0.796,0.092,0.038,0.071
"P16","Al candidato del Frente de Izquierda",0.007,0.006,0.002,0.003,0.004,0.493,0.07,0.012
"P16","En blanco",0.009,0.004,0.001,0.02,0.006,0.013,0.448,0.063
"P16","No sabe",0.025,0.034,0.011,0.03,0.009,0.012,0.172,0.576
"P19","Sergio Massa por el Frente de Todos",0.205,0.351,0.032,0.055,0.035,0.1,0.088,0.136
"P19","Wado de Pedro por el Frente de Todos",0.668,0.274,0.03,0.075,0.024,0.091,0.086,0.045
"P19","Patricia Bullrich por Juntos por el Cambio",0.039,0.076,0.831,0.084,0.051,0.003,0.062,0.057
