"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.033,0.247,0.029,0.036,0.098,0.063
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.018,0.046,0.02,0.04,0.022,0.025
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.028,0.033,0.614,0.08,0.021,0.027
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.018,0.002,0.016,0.382,0.022,0.003
"P22","En blanco",0.014,0.015,0.003,0.006,0.151,0.008
"P22","No sabe",0.064,0.02,0.006,0.015,0.095,0.215
"P25","Sergio Massa por el Frente de Todos",0.547,0.069,0.046,0.174,0.164,0.207
"P25","Daniel Scioli por el Frente de Todos",0.277,0.036,0.032,0.054,0.027,0.03
"P25","Patricia Bullrich por Juntos por el Cambio",0.053,0.559,0.262,0.052,0.371,0.351
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.279,0.023,0.028,0.056,0.037
"P25","Javier Milei por la Libertad Avanza",0.026,0.031,0.605,0.12,0.015,0.033
"P25","Al candidato del Frente de Izquierda",0.015,0.004,0.011,0.493,0.024,0.012
"P25","En blanco",0.012,0.003,0.003,0.033,0.243,0.025
"P25","No sabe",0.048,0.019,0.018,0.046,0.1,0.305
"P26","Wado de Pedro por el Frente de Todos",0.657,0.024,0.021,0.431,0.215,0.285
"P26","Daniel Scioli por el Frente de Todos",0.252,0.015,0.012,0.037,0.025,0.004
"P26","Patricia Bullrich por Juntos por el Cambio",0.024,0.624,0.276,0.054,0.4,0.369
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.29,0.006,0.059,0.042,0.022
"P26","Javier Milei por la Libertad Avanza",0.018,0.027,0.657,0.042,0.044,0.034
"P26","Al candidato del Frente de Izquierda",0.011,0.004,0.011,0.317,0.013,0.002
"P26","En blanco",0.004,0.002,0.004,0.017,0.195,0.021
"P26","No sabe",0.028,0.014,0.013,0.043,0.066,0.263
"P27","Sergio Massa por el Frente de Todos",0.76,0.031,0.023,0.234,0.171,0.232
"P27","Patricia Bullrich por Juntos por el Cambio",0.053,0.571,0.268,0.099,0.384,0.346
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.335,0.031,0.009,0.057,0.054
"P27","Javier Milei por la Libertad Avanza",0.027,0.028,0.622,0.044,0.006,0.029
"P27","Al candidato del Frente de Izquierda",0.036,0.011,0.043,0.502,0.042,0.011
"P27","En blanco",0.028,0.002,0.006,0.07,0.183,0.025
"P27","No sabe",0.082,0.022,0.007,0.042,0.157,0.303
"P28","Wado de Pedro por el Frente de Todos",0.787,0.02,0.022,0.415,0.256,0.276
"P28","Patricia Bullrich por Juntos por el Cambio",0.043,0.616,0.278,0.058,0.407,0.384
