"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy seguro",0.101,0.112,0.091,0.11,0.095,0.102,0.098,0.113,0.085,0.111,0.075,0.124,0.073,0.076,0.236,0.083,0.121,0.137,0.08,0.125
"Algo seguro",0.349,0.348,0.35,0.343,0.351,0.331,0.38,0.414,0.34,0.283,0.357,0.384,0.335,0.309,0.205,0.305,0.315,0.501,0.39,0.216
"Seguro",0.119,0.114,0.123,0.129,0.095,0.126,0.148,0.081,0.14,0.131,0.174,0.103,0.071,0.094,0.078,0.124,0.147,0.113,0.111,0.207
"Algo inseguro",0.193,0.202,0.185,0.197,0.203,0.182,0.177,0.177,0.189,0.219,0.223,0.166,0.209,0.195,0.197,0.252,0.197,0.126,0.178,0.243
"Inseguro",0.154,0.141,0.166,0.117,0.166,0.19,0.136,0.144,0.16,0.158,0.132,0.142,0.192,0.199,0.183,0.128,0.143,0.085,0.173,0.149
"Muy inseguro",0.084,0.083,0.085,0.104,0.09,0.069,0.061,0.071,0.086,0.098,0.039,0.081,0.12,0.127,0.101,0.108,0.077,0.038,0.068,0.06
