"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.7,0.715,0.699,0.583,0.349,0.425,0.448
"P26","Bastante seguro",0.126,0.147,0.149,0.115,0.255,0.182,0
"P26","Algo seguro",0.111,0.085,0.099,0.158,0.25,0.21,0.076
"P26","Para nada seguro",0.063,0.053,0.053,0.144,0.146,0.183,0.476
"P27","Tiene Decidido que va a ir a votar",0.924,0.92,0.922,0.807,0.869,0.623,0.852
"P27","Tiene dudas sobre si va a ir a  votar",0.053,0.067,0.06,0.167,0.131,0.269,0.11
"P27","Tiene Decidido que no va a ir a votar",0.023,0.013,0.018,0.026,0,0.108,0.038
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.875,0.113,0.113,0.388,0.373,0.183,0.096
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.812,0.376,0.139,0.287,0.24,0.336
"P28","En blanco",0.024,0.024,0.331,0.232,0.012,0.312,0.251
"P28","No sabe",0.027,0.051,0.18,0.241,0.328,0.265,0.317
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.301,0.82,0.157,0.32,0.391,0.242,0.133
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.091,0.114,0.758,0.152,0.389,0.229,0.199
"P29","En blanco",0.401,0.027,0.053,0.337,0.055,0.241,0.455
"P29","No sabe",0.207,0.039,0.032,0.191,0.165,0.288,0.213
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.824,0.172,0.118,0.415,0.285,0.212,0.099
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.276,0.725,0.131,0.446,0.217,0.063
"P30","En blanco",0.059,0.364,0.118,0.291,0.188,0.361,0.652
"P30","No sabe",0.056,0.188,0.039,0.163,0.081,0.21,0.186
"P38","Inflación",0.435,0.355,0.367,0.044,0.398,0.3,0.224
"P38","Desempleo",0.089,0.044,0.107,0.063,0,0.252,0.08
"P38","Corrupción",0.109,0.371,0.359,0.273,0.342,0.134,0.425
"P38","Inseguridad",0.107,0.124,0.1,0.098,0.009,0.065,0.07
"P38","Precio del dólar",0.025,0.005,0.017,0.09,0,0.034,0
"P38","Pobreza",0.11,0.031,0.02,0.188,0.195,0.043,0
"P38","Narcotráfico",0.001,0.007,0.004,0,0,0,0
"P38","Tarifas",0.007,0.007,0,0,0,0,0.068
"P38","Otro",0.085,0.042,0.02,0.236,0.056,0.172,0
"P38","No sabe",0.032,0.014,0.006,0.008,0,0,0.133
