"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.233,0.208,0.255,0.23,0.283,0.198,0.19,0.217,0.196,0.267,0.592,0.086,0.21,0.655,0.626,0.042,0.176,0.047
"Juntos por el Cambio",0.413,0.372,0.447,0.207,0.343,0.561,0.618,0.306,0.436,0.435,0.148,0.617,0.357,0.186,0.101,0.832,0.561,0.095
"De los liberales libertarios",0.226,0.306,0.16,0.391,0.226,0.159,0.107,0.31,0.221,0.201,0.158,0.228,0.215,0.115,0.153,0.099,0.138,0.719
"De la Izquierda",0.055,0.05,0.059,0.055,0.088,0.033,0.02,0.059,0.068,0.043,0.052,0.022,0.023,0.022,0.097,0.011,0.043,0.048
"Hacemos por nuestro país",0.029,0.03,0.028,0.047,0.03,0.017,0.018,0.041,0.029,0.024,0.026,0.022,0.031,0.014,0.015,0,0.056,0.025
"Otro",0.025,0.02,0.028,0.05,0.016,0.011,0.024,0.036,0.026,0.019,0.013,0.014,0.085,0.005,0.008,0.007,0.004,0.04
"En blanco",0.019,0.014,0.023,0.02,0.014,0.021,0.023,0.031,0.024,0.011,0.011,0.011,0.079,0.003,0,0.009,0.022,0.026
