"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.778,0.108,0.08,0.147,0.007,0.111,0.019,0.128
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.104,0.787,0.122,0.122,0.077,0.154,0.018,0.024
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.06,0.75,0.115,0.215,0.162,0.222,0.115
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.018,0.023,0.015,0.515,0.014,0.148,0,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.015,0.012,0.052,0.588,0.212,0.051,0.114
"P13","En blanco",0.01,0.004,0.003,0.037,0.072,0.14,0.21,0.043
"P13","No sabe",0.007,0.003,0.018,0.012,0.027,0.073,0.48,0.576
"P16","Union por la Patria",0.772,0.082,0.126,0.284,0.128,0.051,0.162,0.089
"P16","Cambiemos",0.094,0.812,0.287,0.149,0.48,0.274,0.178,0.049
"P16","Liberales",0.046,0.059,0.507,0.158,0.081,0.186,0,0.012
"P16","Izquierda",0.047,0.012,0.035,0.333,0.028,0.04,0,0
"P16","No sabe",0.041,0.035,0.045,0.076,0.283,0.449,0.66,0.85
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.695,0.1,0.137,0.392,0.259,0.053,0.178,0.194
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.1,0.789,0.255,0.09,0.265,0.32,0.259,0.095
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.086,0.061,0.499,0.136,0.136,0.165,0.029,0.014
"P17","La candidata a Jefe de Gobierno de la izquierda",0.052,0.01,0.023,0.253,0,0,0,0
"P17","En blanco",0.032,0.019,0.052,0.03,0.055,0.31,0.458,0.111
"P17","No sabe",0.035,0.021,0.034,0.099,0.285,0.152,0.076,0.586
"P26","Totalmente seguro",0.711,0.737,0.703,0.636,0.287,0.479,0.448,0.208
"P26","Bastante seguro",0.123,0.151,0.152,0.12,0.28,0.096,0,0.106
"P26","Algo seguro",0.11,0.081,0.101,0.114,0.274,0.237,0.076,0.199
"P26","Para nada seguro",0.056,0.031,0.044,0.13,0.159,0.188,0.476,0.487
"P27","Tiene Decidido que va a ir a votar",0.929,0.928,0.923,0.82,0.856,0.574,0.852,0.759
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.062,0.058,0.157,0.144,0.303,0.11,0.185
"P27","Tiene Decidido que no va a ir a votar",0.023,0.01,0.019,0.023,0,0.123,0.038,0.056
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.882,0.111,0.116,0.356,0.304,0.183,0.096,0.338
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.834,0.381,0.122,0.319,0.24,0.336,0.148
"P28","En blanco",0.024,0.023,0.325,0.256,0.013,0.312,0.251,0.137
"P28","No sabe",0.022,0.032,0.178,0.266,0.364,0.265,0.317,0.377
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.306,0.838,0.16,0.324,0.442,0.242,0.133,0.135
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.116,0.758,0.121,0.44,0.229,0.199,0.238
"P29","En blanco",0.403,0.023,0.055,0.339,0.062,0.241,0.455,0.159
"P29","No sabe",0.201,0.023,0.027,0.216,0.056,0.288,0.213,0.468
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.833,0.173,0.121,0.474,0.175,0.212,0.099,0.22
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.283,0.725,0.097,0.514,0.217,0.063,0.224
"P30","En blanco",0.059,0.367,0.121,0.283,0.217,0.361,0.652,0.169
"P30","No sabe",0.046,0.177,0.033,0.146,0.094,0.21,0.186,0.387
"P38","Inflación",0.431,0.355,0.374,0.05,0.457,0.3,0.224,0.272
"P38","Desempleo",0.091,0.045,0.094,0.072,0,0.252,0.08,0.121
"P38","Corrupción",0.109,0.369,0.365,0.237,0.392,0.134,0.425,0.291
"P38","Inseguridad",0.11,0.128,0.103,0.112,0.01,0.065,0.07,0
"P38","Precio del dólar",0.025,0.005,0.017,0.038,0,0.034,0,0.056
"P38","Pobreza",0.108,0.03,0.021,0.214,0.077,0.043,0,0.165
"P38","Narcotráfico",0.001,0.007,0,0,0,0,0,0.028
"P38","Tarifas",0.007,0.007,0,0,0,0,0.068,0
"P38","Otro",0.085,0.039,0.02,0.268,0.064,0.172,0,0.067
"P38","No sabe",0.033,0.015,0.006,0.009,0,0,0.133,0
