"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Union por la Patria",0.271,0.242,0.295,0.335,0.311,0.218,0.18,0.337,0.221,0.285,0.636,0.105,0.33,0.705,0.754,0.066,0.169,0.105
"Cambiemos",0.438,0.407,0.463,0.249,0.371,0.582,0.631,0.297,0.453,0.477,0.144,0.654,0.388,0.147,0.106,0.832,0.574,0.229
"Liberales",0.16,0.218,0.113,0.269,0.184,0.088,0.064,0.164,0.187,0.139,0.106,0.168,0.103,0.073,0.093,0.051,0.087,0.578
"Izquierda",0.041,0.047,0.035,0.053,0.042,0.033,0.032,0.054,0.048,0.03,0.033,0.019,0.018,0.038,0.028,0.002,0.047,0.017
"No sabe",0.09,0.086,0.094,0.094,0.092,0.079,0.093,0.148,0.091,0.069,0.081,0.054,0.161,0.037,0.019,0.049,0.123,0.071
