"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P10","Unión por la Patria",0.693,0.052,0.07,0.282,0.111
"P10","Juntos por el Cambio",0.122,0.74,0.147,0.119,0.154
"P10","De los liberales libertarios",0.103,0.145,0.703,0.191,0.111
"P10","De la Izquierda",0.048,0.016,0.045,0.375,0.039
"P10","Hacemos por nuestro país",0.012,0.028,0.013,0.017,0.08
"P10","Otro",0.003,0.01,0.019,0.016,0.084
"P10","En blanco",0.007,0.005,0,0,0.086
"P10","No sabe",0.012,0.004,0.003,0,0.335
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.703,0.083,0.13,0.191,0.128
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.721,0.122,0.008,0.09
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.147,0.706,0.138,0.195
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.037,0.005,0.004,0.586,0.06
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.027,0.029,0.026,0.162
"P13","En blanco",0.005,0.007,0.009,0.006,0.092
"P13","No sabe",0.015,0.01,0,0.045,0.273
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.712,0.079,0.153,0.11,0.196
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.133,0.802,0.132,0.05,0.072
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.108,0.082,0.629,0.05,0.009
"P17","La candidata a Jefe de Gobierno de la izquierda",0.014,0.002,0.004,0.643,0.027
"P17","En blanco",0.013,0.015,0.031,0.017,0.332
"P17","No sabe",0.02,0.02,0.051,0.13,0.364
"P26","Totalmente seguro",0.735,0.717,0.735,0.607,0.278
"P26","Bastante seguro",0.097,0.153,0.183,0.143,0.184
"P26","Algo seguro",0.102,0.097,0.065,0.154,0.175
"P26","Para nada seguro",0.066,0.033,0.017,0.096,0.363
"P27","Tiene Decidido que va a ir a votar",0.935,0.936,0.903,0.968,0.698
"P27","Tiene dudas sobre si va a ir a  votar",0.045,0.055,0.095,0.011,0.225
"P27","Tiene Decidido que no va a ir a votar",0.02,0.009,0.002,0.021,0.077
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.824,0.1,0.178,0.451,0.27
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.814,0.281,0.228,0.25
"P28","En blanco",0.031,0.038,0.383,0.116,0.159
"P28","No sabe",0.059,0.048,0.158,0.205,0.321
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.357,0.73,0.173,0.46,0.22
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.087,0.213,0.703,0.156,0.243
"P29","En blanco",0.348,0.034,0.09,0.304,0.231
"P29","No sabe",0.208,0.023,0.034,0.08,0.306
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.841,0.131,0.122,0.538,0.245
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.353,0.679,0.234,0.253
"P30","En blanco",0.057,0.351,0.152,0.203,0.205
"P30","No sabe",0.042,0.165,0.047,0.025,0.297
"P38","Inflación",0.376,0.371,0.433,0.343,0.253
"P38","Desempleo",0.106,0.04,0.075,0.064,0.161
"P38","Corrupción",0.115,0.37,0.373,0.311,0.258
"P38","Inseguridad",0.132,0.115,0.084,0.025,0.03
"P38","Precio del dólar",0.03,0.011,0,0,0.034
"P38","Pobreza",0.097,0.03,0.016,0.19,0.133
"P38","Narcotráfico",0.001,0.007,0,0,0.012
"P38","Tarifas",0.007,0.006,0,0,0.006
"P38","Otro",0.099,0.034,0.019,0.067,0.113
"P38","No sabe",0.037,0.016,0,0,0
