"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de la izquierda","En blanco"
"P26","Totalmente seguro",0.653,0.729,0.723,0.553,0.431
"P26","Bastante seguro",0.142,0.148,0.149,0.134,0.133
"P26","Algo seguro",0.11,0.086,0.093,0.161,0.173
"P26","Para nada seguro",0.095,0.037,0.035,0.152,0.263
"P27","Tiene Decidido que va a ir a votar",0.906,0.946,0.891,0.957,0.691
"P27","Tiene dudas sobre si va a ir a  votar",0.077,0.041,0.103,0.043,0.194
"P27","Tiene Decidido que no va a ir a votar",0.017,0.013,0.006,0,0.115
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.747,0.109,0.212,0.495,0.299
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.112,0.809,0.279,0.232,0.32
"P28","En blanco",0.046,0.029,0.36,0.06,0.192
"P28","No sabe",0.095,0.053,0.149,0.213,0.189
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.328,0.755,0.165,0.504,0.254
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.097,0.174,0.702,0.106,0.374
"P29","En blanco",0.364,0.035,0.076,0.266,0.228
"P29","No sabe",0.211,0.036,0.057,0.124,0.144
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.731,0.167,0.183,0.522,0.24
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.08,0.327,0.652,0.227,0.352
"P30","En blanco",0.104,0.344,0.1,0.207,0.268
"P30","No sabe",0.085,0.162,0.065,0.044,0.14
"P38","Inflación",0.401,0.376,0.343,0.334,0.308
"P38","Desempleo",0.07,0.036,0.159,0.065,0.132
"P38","Corrupción",0.162,0.378,0.276,0.357,0.179
"P38","Inseguridad",0.066,0.121,0.148,0,0.102
"P38","Precio del dólar",0.042,0.003,0,0,0.051
"P38","Pobreza",0.114,0.03,0.037,0.199,0.017
"P38","Narcotráfico",0.003,0.008,0,0,0
"P38","Tarifas",0.007,0.005,0,0.015,0.009
"P38","Otro",0.101,0.028,0.034,0.03,0.185
"P38","No sabe",0.034,0.015,0.003,0,0.017
