"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Fernando Moreira a intendente por Unión por la Patria",0.41,0.381,0.437,0.377,0.385,0.448,0.432,0.418,0.407,0.408,0.69,0.487,0.234,0.199,0.035,0.409,0.397,0.428
"Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.326,0.307,0.343,0.348,0.296,0.323,0.368,0.308,0.338,0.325,0.085,0.261,0.656,0.652,0.383,0.331,0.327,0.319
"Hernán Sardella a intendente por la Libertad Avanza",0.21,0.26,0.164,0.188,0.262,0.18,0.165,0.235,0.178,0.231,0.211,0.204,0.068,0.111,0.546,0.203,0.223,0.202
"El candidato del Frente de Izquierda",0.02,0.013,0.026,0.022,0.016,0.023,0.024,0.02,0.02,0.021,0.004,0.02,0.002,0.009,0,0.018,0.011,0.033
"En blanco",0.034,0.039,0.03,0.065,0.041,0.026,0.011,0.019,0.057,0.015,0.01,0.028,0.04,0.029,0.036,0.039,0.042,0.018
