"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.582,0.468,0.557,0.438,0.512,0.384,0.125
"P05","Bastante",0.283,0.346,0.292,0.314,0.293,0.112,0.321
"P05","Poco",0.113,0.158,0.087,0.195,0.195,0.271,0.153
"P05","Nada",0.019,0.028,0.042,0.016,0,0.119,0.309
"P05","No sabe",0.003,0,0.022,0.037,0,0.114,0.092
"P06","Siempre",0.234,0.234,0.244,0.163,0.107,0.388,0.084
"P06","Casi siempre",0.36,0.38,0.32,0.335,0.19,0.379,0.214
"P06","Casi nunca",0.277,0.258,0.289,0.367,0.27,0.119,0.229
"P06","Nunca, pero esta es una excepción",0.129,0.128,0.147,0.135,0.433,0.114,0.473
"P09","Unión por la Patria",0.664,0.115,0.323,0.162,0.033,0.186,0.177
"P09","Juntos por el Cambio",0.222,0.606,0.089,0,0.019,0.289,0.027
"P09","De los Liberales libertarios",0.042,0.2,0.431,0.095,0.064,0,0
"P09","De la Izquierda",0.007,0.038,0.023,0.548,0,0.018,0.036
"P09","Hacemos por nuestro país",0,0.015,0.034,0.011,0.321,0,0.008
"P09","Otro",0.021,0.009,0.053,0.026,0.52,0.064,0.235
"P09","En blanco",0.027,0.007,0.005,0.012,0,0.093,0.115
"P09","No sabe",0.017,0.01,0.042,0.146,0.043,0.35,0.402
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.804,0.115,0.073,0.146,0.019,0,0.088
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.02,0.829,0.12,0.058,0,0,0.029
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.136,0.039,0.749,0,0,0,0.01
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.003,0.011,0.787,0,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.007,0.011,0.009,0.916,0,0
"P12","En blanco",0.019,0,0.019,0,0.023,0.978,0.018
"P12","No sabe",0.02,0.007,0.017,0,0.042,0.022,0.855
"P15","Si",0.343,0.468,0.413,0.59,0.702,0.338,0.615
"P15","No",0.657,0.532,0.587,0.41,0.298,0.662,0.385
"P16","Sergio Massa a presidente por Unión por la Patria",1,0,0,0,0,0,0
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"P16","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"P16","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0
"P16","En blanco",0,0,0,0,0,1,0
"P16","No sabe",0,0,0,0,0,0,1
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.667,0.092,0.129,0.29,0.047,0.877,0.231
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.117,0.709,0.264,0,0,0,0.055
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.091,0.101,0.447,0.223,0.08,0,0.11
"P19","El candidato a gobernador de la Izquierda",0.044,0,0.025,0.487,0,0,0
"P19","En blanco",0.013,0.008,0.031,0,0.052,0.123,0
"P19","No sabe",0.068,0.09,0.104,0,0.821,0,0.604
"P22","Fernando Moreira a intendente por Unión por la Patria",0.608,0.236,0.251,0.566,0.195,0.131,0.11
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.168,0.624,0.488,0.015,0.053,0,0.033
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.053,0.08,0.159,0.085,0.062,0.869,0.114
"P22","El candidato del Frente de Izquierda",0.016,0.002,0.009,0.334,0,0,0
"P22","En blanco",0.053,0.019,0.009,0,0.053,0,0
"P22","No sabe",0.102,0.039,0.084,0,0.637,0,0.743
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.21,0.535,0.517,0.101,0.626,0.064,0.364
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.174,0.339,0.149,0.198,0.145,0.108,0.149
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.456,0.092,0.221,0.512,0.045,0.467,0.181
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.093,0.016,0.052,0.037,0,0.037,0.008
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.025,0,0.022,0.14,0.037,0.287,0.008
"P25","No sabe",0.042,0.018,0.039,0.012,0.147,0.037,0.29
"P26","Totalmente seguro",0.709,0.696,0.796,0.436,0.66,0.462,0.285
"P26","Bastante seguro",0.178,0.157,0.125,0.217,0,0.112,0.142
"P26","Algo seguro",0.061,0.108,0.074,0.165,0.046,0,0.26
"P26","Para nada seguro",0.052,0.039,0.005,0.182,0.294,0.426,0.313
"P27","Tiene Decidido que va a ir a votar",0.936,0.915,0.93,0.748,0.961,0.935,0.638
"P27","Tiene dudas sobre si va a ir a  votar",0.057,0.035,0.064,0.017,0.039,0.065,0.204
"P27","Tiene Decidido que no va a ir a votar",0.007,0.05,0.006,0.235,0,0,0.158
"P28","Lo votaría",0.787,0.16,0.392,0.23,0.184,0.107,0.175
"P28","Puede que lo vote",0.05,0.092,0.068,0.228,0.156,0.349,0.196
"P28","Nunca lo votaría",0.16,0.739,0.513,0.403,0.66,0.101,0.247
"P28","No sabe",0.003,0.009,0.027,0.139,0,0.443,0.382
"P29","Lo votaría",0.247,0.659,0.122,0.075,0.043,0.477,0.06
"P29","Puede que lo vote",0.102,0.124,0.195,0.046,0.28,0.064,0.22
"P29","Nunca lo votaría",0.63,0.205,0.646,0.866,0.677,0.459,0.39
"P29","No sabe",0.021,0.012,0.037,0.013,0,0,0.33
"P30","Lo votaría",0.076,0.286,0.444,0.076,0,0.519,0.13
"P30","Puede que lo vote",0.08,0.177,0.14,0.076,0,0.066,0.066
"P30","Nunca lo votaría",0.807,0.499,0.392,0.835,1,0.415,0.46
"P30","No sabe",0.037,0.038,0.024,0.013,0,0,0.344
"P31","Si",0.394,0.372,0.437,0.397,0.273,0.559,0.365
"P31","No",0.606,0.628,0.563,0.603,0.727,0.441,0.635
"CORTA_PRESIDENTE","Si",0.202,0.179,0.246,0.225,0.141,0.047,0.157
"CORTA_PRESIDENTE","No",0.798,0.821,0.754,0.775,0.859,0.953,0.843
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.894,0.042,0.05,0.166,0.025,0.141,0.101
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.033,0.873,0.106,0,0,0,0.03
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.029,0.044,0.779,0.124,0.042,0,0.047
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.013,0,0.008,0.71,0,0,0
"GOBERNADOR","En blanco",0.005,0.004,0.015,0,0.578,0.859,0
"GOBERNADOR","No sabe",0.026,0.037,0.042,0,0.355,0,0.822
"CORTA_GOBERNADOR","Si",0.245,0.249,0.258,0.204,0.594,0.338,0.268
"CORTA_GOBERNADOR","No",0.755,0.751,0.742,0.796,0.406,0.662,0.732
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria",0.88,0.094,0.098,0.327,0.078,0.025,0.056
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.049,0.843,0.192,0.01,0.023,0,0.014
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.016,0.036,0.673,0.058,0.028,0.136,0.048
"INTENDENTE","El candidato del Frente de Izquierda",0.006,0.001,0.004,0.605,0,0,0
"INTENDENTE","En blanco",0.016,0.008,0.003,0,0.66,0.839,0
"INTENDENTE","No sabe",0.033,0.018,0.03,0,0.211,0,0.882
"CORTA_INTENDENTE","Si",0.238,0.239,0.284,0.25,0.702,0.338,0.398
"CORTA_INTENDENTE","No",0.762,0.761,0.716,0.75,0.298,0.662,0.602
