"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Axel Kicillof a gobernador por Unión por la Patria",0.381,0.343,0.416,0.389,0.329,0.454,0.38,0.388,0.387,0.365,0.609,0.468,0.203,0.214,0.031,0.377,0.356,0.416
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.314,0.288,0.338,0.298,0.281,0.309,0.39,0.257,0.34,0.335,0.107,0.229,0.704,0.547,0.298,0.327,0.324,0.287
"Carolina Piparo a gobernadora por la Libertad Avanza",0.248,0.309,0.193,0.235,0.321,0.199,0.187,0.306,0.206,0.251,0.254,0.255,0.067,0.201,0.587,0.236,0.248,0.263
"El candidato a gobernador de la Izquierda",0.027,0.029,0.025,0.015,0.036,0.018,0.029,0.025,0.025,0.031,0.016,0.034,0.002,0.009,0.024,0.022,0.036,0.022
"En blanco",0.03,0.031,0.028,0.063,0.033,0.02,0.014,0.024,0.042,0.018,0.014,0.014,0.024,0.029,0.06,0.038,0.036,0.012
