"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P05","Mucho",0.582,0.476,0.489,0.471,0.656,0.308,0.307,0.358
"P05","Bastante",0.277,0.321,0.318,0.386,0.344,0.238,0.272,0.236
"P05","Poco",0.103,0.182,0.096,0.124,0,0.275,0.164,0.169
"P05","Nada",0.028,0.021,0.071,0.019,0,0.125,0.084,0.128
"P05","No sabe",0.01,0,0.026,0,0,0.054,0.173,0.109
"P06","Siempre",0.266,0.226,0.208,0.079,0.214,0.166,0.143,0.139
"P06","Casi siempre",0.375,0.357,0.332,0.416,0.097,0.212,0.367,0.267
"P06","Casi nunca",0.221,0.298,0.283,0.366,0.274,0.411,0.193,0.415
"P06","Nunca, pero esta es una excepción",0.138,0.119,0.177,0.139,0.415,0.211,0.297,0.179
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.587,0.335,0.133,0.087,0.022,0.112,0.145,0.011
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.057,0.544,0.414,0.286,0.135,0.046,0.206,0.051
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.321,0.083,0.425,0.183,0.3,0.272,0.155,0.158
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0,0.005,0.403,0.014,0.067,0.013,0.07
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0.005,0,0.489,0.174,0,0
"P12","En blanco",0.009,0.026,0.011,0.008,0.018,0.066,0.102,0.253
"P12","No sabe",0.024,0.012,0.007,0.033,0.022,0.263,0.379,0.457
"P15","Si",0.309,0.483,0.471,0.449,0.63,0.443,0.752,0.716
"P15","No",0.691,0.517,0.529,0.551,0.37,0.557,0.248,0.284
"P16","Sergio Massa a presidente por Unión por la Patria",0.685,0.177,0.073,0.073,0,0.162,0.531,0.191
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.142,0.684,0.116,0.252,0.3,0.039,0.151,0.077
"P16","Javier Milei a presidente por la Libertad Avanza",0.056,0.127,0.783,0.128,0.618,0.409,0.017,0.219
"P16","Los candidatos a presidente de la Izquierda",0.033,0,0.016,0.422,0,0.014,0,0.104
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.002,0.012,0,0.082,0.25,0,0.024
"P16","En blanco",0.025,0,0,0,0,0,0.027,0
"P16","No sabe",0.059,0.01,0,0.125,0,0.126,0.274,0.385
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.758,0.117,0.114,0.153,0.036,0.283,0.114,0.126
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.101,0.658,0.303,0.171,0,0.072,0.027,0.113
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.093,0.11,0.463,0,0.718,0.072,0.649,0.141
"P19","El candidato a gobernador de la Izquierda",0.035,0.009,0.017,0.44,0,0.154,0,0
"P19","En blanco",0,0.007,0,0.156,0.04,0.021,0.21,0.034
"P19","No sabe",0.013,0.099,0.103,0.08,0.206,0.398,0,0.586
"P22","Fernando Moreira a intendente por Unión por la Patria",0.692,0.229,0.21,0.415,0.307,0.392,0.052,0.094
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.094,0.6,0.539,0.292,0.659,0.034,0.434,0.1
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.071,0.071,0.198,0.059,0.034,0.216,0.33,0.012
"P22","El candidato del Frente de Izquierda",0.003,0.009,0.014,0.177,0,0.017,0,0.136
"P22","En blanco",0.032,0.026,0,0,0,0.019,0.184,0.042
"P22","No sabe",0.108,0.065,0.039,0.057,0,0.322,0,0.616
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.138,0.507,0.726,0.371,0.68,0.591,0.136,0.259
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.2,0.302,0.144,0.159,0.12,0.105,0.28,0.157
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.511,0.121,0.079,0.303,0.151,0.059,0.3,0.273
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.096,0.019,0.024,0.009,0,0.058,0.214,0.037
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.001,0.005,0.103,0.017,0.09,0,0
"P25","No sabe",0.021,0.05,0.022,0.055,0.032,0.097,0.07,0.274
"P26","Totalmente seguro",0.721,0.697,0.815,0.506,0.562,0.714,0.357,0.401
"P26","Bastante seguro",0.171,0.168,0.107,0.23,0.191,0.072,0.276,0.077
"P26","Algo seguro",0.082,0.087,0.067,0.091,0.215,0.124,0,0.171
"P26","Para nada seguro",0.026,0.048,0.011,0.173,0.032,0.09,0.367,0.351
"P27","Tiene Decidido que va a ir a votar",0.946,0.92,0.907,0.942,0.81,0.908,0.974,0.528
"P27","Tiene dudas sobre si va a ir a  votar",0.031,0.059,0.07,0.023,0.19,0.022,0.026,0.285
"P27","Tiene Decidido que no va a ir a votar",0.023,0.021,0.023,0.035,0,0.07,0,0.187
"P28","Lo votaría",0.903,0.2,0.135,0.167,0.08,0.153,0.49,0.159
"P28","Puede que lo vote",0.06,0.072,0.056,0.172,0.25,0.133,0.049,0.245
"P28","Nunca lo votaría",0.036,0.705,0.793,0.618,0.67,0.586,0.433,0.188
"P28","No sabe",0.001,0.023,0.016,0.043,0,0.128,0.028,0.408
"P29","Lo votaría",0.164,0.712,0.13,0.272,0.119,0.123,0.041,0.127
"P29","Puede que lo vote",0.055,0.137,0.214,0.179,0.623,0.19,0.522,0.157
"P29","Nunca lo votaría",0.764,0.139,0.618,0.518,0.258,0.609,0.35,0.387
"P29","No sabe",0.017,0.012,0.038,0.031,0,0.078,0.087,0.329
"P30","Lo votaría",0.067,0.143,0.758,0.241,0.386,0.336,0.474,0.114
"P30","Puede que lo vote",0.051,0.212,0.112,0.177,0.529,0.026,0,0.106
"P30","Nunca lo votaría",0.873,0.584,0.113,0.517,0.085,0.581,0.421,0.391
"P30","No sabe",0.009,0.061,0.017,0.065,0,0.057,0.105,0.389
"P31","Si",0.431,0.419,0.37,0.389,0.26,0.286,0.431,0.26
"P31","No",0.569,0.581,0.63,0.611,0.74,0.714,0.569,0.74
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.645,0.29,0.082,0.073,0,0.164,0.466,0.124
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.085,0.605,0.298,0.301,0.229,0.054,0.097,0.054
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.225,0.083,0.602,0.171,0.475,0.304,0.062,0.215
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.011,0,0.013,0.394,0.014,0.014,0.014,0.072
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.001,0.005,0,0.26,0.173,0,0.013
"PRESIDENTE","En blanco",0.008,0.016,0,0.008,0,0.022,0.07,0.108
"PRESIDENTE","No sabe",0.025,0.005,0,0.053,0.022,0.269,0.291,0.414
"CORTA_PRESIDENTE","Si",0.18,0.213,0.255,0.165,0.352,0.197,0.467,0.357
"CORTA_PRESIDENTE","No",0.82,0.787,0.745,0.835,0.648,0.803,0.533,0.643
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.665,0.259,0.1,0.096,0.021,0.216,0.224,0.081
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.068,0.593,0.374,0.278,0.083,0.07,0.016,0.078
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.245,0.074,0.47,0.11,0.547,0.183,0.4,0.174
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.009,0.006,0.013,0.397,0.016,0.054,0.02,0
"GOBERNADOR","En blanco",0.004,0.017,0,0.083,0.207,0.127,0.195,0.117
"GOBERNADOR","No sabe",0.009,0.051,0.043,0.036,0.126,0.35,0.145,0.55
"CORTA_GOBERNADOR","Si",0.196,0.249,0.323,0.257,0.419,0.351,0.752,0.409
"CORTA_GOBERNADOR","No",0.804,0.751,0.677,0.743,0.581,0.649,0.248,0.591
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria",0.641,0.313,0.136,0.205,0.178,0.247,0.204,0.065
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.072,0.569,0.468,0.324,0.417,0.058,0.202,0.061
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.239,0.056,0.369,0.138,0.179,0.227,0.24,0.121
"INTENDENTE","El candidato del Frente de Izquierda",0.002,0.006,0.01,0.301,0.015,0.016,0.022,0.068
"INTENDENTE","En blanco",0.013,0.024,0,0.009,0.188,0.135,0.18,0.133
"INTENDENTE","No sabe",0.033,0.032,0.017,0.023,0.023,0.317,0.152,0.552
"CORTA_INTENDENTE","Si",0.193,0.261,0.353,0.33,0.562,0.306,0.609,0.45
"CORTA_INTENDENTE","No",0.807,0.739,0.647,0.67,0.438,0.694,0.391,0.55
