"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.032,0.851,0.051,0,0.035,0.137
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.036,0.101,0.879,0.082,0.14,0.15
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.012,0,0.014,0.725,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0.003,0,0.317,0.073
"PRESIDENTE","En blanco",0.006,0,0,0,0.449,0
"PRESIDENTE","No sabe",0.013,0.005,0.009,0,0,0.515
"CORTA_PRESIDENTE","Si",0.207,0.208,0.155,0.074,0.25,0.373
"CORTA_PRESIDENTE","No",0.793,0.792,0.845,0.926,0.75,0.627
"CORTA_GOBERNADOR","Si",0.185,0.211,0.205,0.344,0.451,0.495
"CORTA_GOBERNADOR","No",0.815,0.789,0.795,0.656,0.549,0.505
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria",0.878,0.105,0.086,0.287,0.044,0.107
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.052,0.823,0.173,0,0.032,0.111
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.034,0.043,0.717,0.138,0,0.032
"INTENDENTE","El candidato del Frente de Izquierda",0.003,0.001,0.014,0.575,0,0
"INTENDENTE","En blanco",0.009,0.01,0.001,0,0.924,0
"INTENDENTE","No sabe",0.024,0.018,0.009,0,0,0.75
"CORTA_INTENDENTE","Si",0.197,0.236,0.213,0.3,0.475,0.458
"CORTA_INTENDENTE","No",0.803,0.764,0.787,0.7,0.525,0.542
