"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente por Unión por la Patria",0.316,0.271,0.358,0.18,0.347,0.351,0.305,0.311,0.348,0.271,0.425,0.528,0.075,0.051,0.082,0.282,0.32,0.353
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.342,0.294,0.386,0.321,0.244,0.37,0.497,0.243,0.404,0.347,0.242,0.23,0.734,0.555,0.123,0.443,0.264,0.322
"Javier Milei a presidente por la Libertad Avanza",0.268,0.361,0.182,0.352,0.318,0.223,0.18,0.362,0.199,0.28,0.245,0.156,0.183,0.387,0.795,0.21,0.328,0.26
"Los candidatos a presidente de la Izquierda",0.041,0.037,0.045,0.099,0.048,0.019,0.018,0.076,0.01,0.054,0.068,0.019,0,0.003,0,0.041,0.045,0.036
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.025,0.023,0.027,0,0.043,0.033,0,0.008,0.039,0.021,0.017,0,0.008,0.004,0,0.024,0.023,0.029
"En blanco",0.008,0.014,0.002,0.048,0,0.004,0,0,0,0.027,0.003,0.067,0,0,0,0,0.02,0
