"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.505,0.518,0.423,0.628,0.192,0.301
"P05","Bastante",0.33,0.321,0.435,0.34,0.475,0.382
"P05","Poco",0.116,0.133,0.107,0.032,0.227,0.141
"P05","Nada",0.043,0.028,0.027,0,0.106,0.176
"P05","No sabe",0.006,0,0.008,0,0,0
"P06","Siempre",0.243,0.233,0.13,0.338,0.092,0.105
"P06","Casi siempre",0.289,0.426,0.409,0.36,0.158,0.294
"P06","Casi nunca",0.355,0.236,0.317,0.302,0.333,0.375
"P06","Nunca, pero esta es una excepción",0.113,0.105,0.144,0,0.417,0.226
"P09","Unión por la Patria",0.683,0.082,0.123,0.24,0,0.027
"P09","Juntos por el Cambio",0.133,0.673,0.183,0.074,0.133,0.262
"P09","De los Liberales libertarios",0.079,0.189,0.47,0.086,0,0.167
"P09","De la Izquierda",0.019,0.019,0,0.42,0.344,0.024
"P09","Hacemos por nuestro país",0.003,0,0.088,0,0.058,0.04
"P09","Otro",0.044,0.01,0.017,0.18,0.058,0.146
"P09","En blanco",0.008,0.002,0.069,0,0.264,0
"P09","No sabe",0.031,0.025,0.05,0,0.143,0.334
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.417,0.25,0.175,0.313,0.081,0.107
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.092,0.528,0.347,0.086,0.058,0.137
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.334,0.188,0.368,0.202,0.375,0.156
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.005,0.041,0.399,0.07,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.002,0.039,0,0,0.151
"P12","En blanco",0.072,0.006,0,0,0.058,0.111
"P12","No sabe",0.052,0.021,0.03,0,0.358,0.338
"P16","Sergio Massa a presidente por Unión por la Patria",0.672,0.106,0.134,0.335,0.227,0.16
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.095,0.655,0.152,0,0.14,0.217
"P16","Javier Milei a presidente por la Libertad Avanza",0.125,0.23,0.633,0.18,0.517,0.236
"P16","Los candidatos a presidente de la Izquierda",0.038,0,0.043,0.485,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0,0.008,0,0.058,0.125
"P16","En blanco",0.024,0,0,0,0.058,0
"P16","No sabe",0.043,0.009,0.03,0,0,0.262
"P22","Fernando Moreira a intendente por Unión por la Patria",0.596,0.246,0.274,0.525,0.272,0.15
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.175,0.588,0.541,0,0.173,0.186
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.113,0.093,0.105,0.248,0,0.051
"P22","El candidato del Frente de Izquierda",0.009,0.002,0.045,0.227,0,0
"P22","En blanco",0.03,0.027,0.004,0,0.555,0
"P22","No sabe",0.077,0.044,0.031,0,0,0.613
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.256,0.425,0.638,0.274,0.409,0.617
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.148,0.355,0.116,0,0.09,0.087
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.394,0.133,0.223,0.609,0.266,0.08
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.064,0.027,0.015,0.052,0,0.007
