"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P28","Nunca lo votaría",0.165,0.714,0.512,0.394,0.436,0.101
"P28","No sabe",0.017,0.017,0.032,0.136,0.279,0.443
"P29","Lo votaría",0.24,0.631,0.122,0.096,0.027,0.477
"P29","Puede que lo vote",0.103,0.136,0.195,0.045,0.173,0.064
"P29","Nunca lo votaría",0.626,0.216,0.644,0.846,0.419,0.459
"P29","No sabe",0.031,0.017,0.039,0.013,0.381,0
"P30","Lo votaría",0.073,0.285,0.442,0.074,0,0.519
"P30","Puede que lo vote",0.08,0.174,0.139,0.075,0,0.066
"P30","Nunca lo votaría",0.799,0.5,0.392,0.838,0.619,0.415
"P30","No sabe",0.048,0.041,0.027,0.013,0.381,0
"P31","Si",0.394,0.379,0.434,0.414,0.169,0.559
"P31","No",0.606,0.621,0.566,0.586,0.831,0.441
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.91,0.054,0.061,0.15,0.05,0.141
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.04,0.893,0.123,0.02,0.226,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.033,0.05,0.793,0.189,0.119,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.013,0,0.008,0.641,0.091,0
"GOBERNADOR_imputada","En blanco",0.004,0.003,0.015,0,0.514,0.859
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.9,0.096,0.108,0.342,0.248,0.025
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.051,0.85,0.21,0.009,0.035,0
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.025,0.046,0.676,0.057,0.054,0.136
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.009,0.001,0.003,0.592,0,0
"INTENDENTE_imputada","En blanco",0.015,0.007,0.003,0,0.663,0.839
