"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.219,0.217,0.221,0.158,0.238,0.227,0.215,0.269,0.215,0.174,0.21,0.225,0.129,0.244,0.08,0.205,0.226,0.228
"No",0.781,0.783,0.779,0.842,0.762,0.773,0.785,0.731,0.785,0.826,0.79,0.775,0.871,0.756,0.92,0.795,0.774,0.772
