"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente por Unión por la Patria",0.36,0.324,0.391,0.303,0.317,0.425,0.401,0.357,0.374,0.34,0.567,0.487,0.215,0.177,0.036,0.353,0.35,0.38
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.275,0.251,0.296,0.272,0.231,0.284,0.347,0.239,0.297,0.28,0.108,0.233,0.655,0.497,0.284,0.305,0.253,0.265
"Javier Milei a presidente por la Libertad Avanza",0.258,0.329,0.196,0.224,0.347,0.208,0.182,0.331,0.197,0.274,0.264,0.23,0.098,0.251,0.632,0.228,0.303,0.242
"Los candidatos a presidente de la Izquierda",0.025,0.019,0.03,0.041,0.028,0.015,0.019,0.03,0.013,0.037,0.021,0.015,0.002,0.011,0,0.02,0.029,0.025
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.016,0.015,0.023,0.024,0.009,0,0.015,0.018,0.011,0.007,0,0.003,0.02,0.044,0.014,0.026,0.003
"En blanco",0.015,0.016,0.014,0.059,0.006,0.013,0.003,0,0.027,0.014,0.004,0.02,0.027,0.006,0,0.02,0.02,0.005
"No sabe",0.052,0.045,0.058,0.078,0.047,0.046,0.048,0.028,0.074,0.044,0.029,0.015,0,0.038,0.004,0.06,0.019,0.08
