"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.562,0.466,0.546,0.519,0.403,0.531,0.224
"P05","Bastante",0.296,0.35,0.292,0.214,0.462,0.072,0.287
"P05","Poco",0.104,0.159,0.114,0.227,0.135,0.131,0.167
"P05","Nada",0.03,0.025,0.033,0,0,0.211,0.242
"P05","No sabe",0.008,0,0.015,0.04,0,0.055,0.08
"P06","Siempre",0.22,0.257,0.239,0.11,0.177,0.246,0.094
"P06","Casi siempre",0.351,0.378,0.346,0.345,0.13,0.33,0.285
"P06","Casi nunca",0.271,0.24,0.293,0.504,0.228,0.329,0.23
"P06","Nunca, pero esta es una excepción",0.158,0.125,0.122,0.041,0.465,0.095,0.391
"P09","Unión por la Patria",0.627,0.078,0.459,0.017,0.027,0.107,0.15
"P09","Juntos por el Cambio",0.264,0.551,0.088,0,0,0.227,0.056
"P09","De los Liberales libertarios",0.073,0.289,0.311,0.04,0.051,0.066,0.021
"P09","De la Izquierda",0.009,0.039,0.026,0.629,0,0.009,0.021
"P09","Hacemos por nuestro país",0.001,0.009,0.021,0.011,0.483,0.011,0.007
"P09","Otro",0.015,0.008,0.05,0.136,0.439,0.098,0.21
"P09","En blanco",0.009,0.016,0.013,0.012,0,0.069,0.137
"P09","No sabe",0.002,0.01,0.032,0.155,0,0.413,0.398
"P15","Si",0.324,0.463,0.422,0.566,0.789,0.783,0.683
"P15","No",0.676,0.537,0.578,0.434,0.211,0.217,0.317
"P16","Sergio Massa a presidente por Unión por la Patria",0.454,0.063,0.48,0.036,0,0.438,0.205
