"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Totalmente seguro",0.703,0.742,0.667,0.666,0.709,0.726,0.689,0.708,0.691,0.717,0.718,0.607,0.777,0.691,0.871,0.692,0.66,0.773
"Bastante seguro",0.155,0.151,0.159,0.132,0.137,0.169,0.185,0.127,0.175,0.155,0.142,0.252,0.12,0.19,0.105,0.151,0.193,0.112
"Algo seguro",0.087,0.061,0.112,0.094,0.11,0.051,0.087,0.104,0.084,0.073,0.08,0.119,0.064,0.081,0.015,0.091,0.086,0.083
"Para nada seguro",0.055,0.046,0.062,0.108,0.044,0.054,0.039,0.061,0.05,0.055,0.06,0.022,0.039,0.038,0.009,0.066,0.061,0.032
