"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.231,0.349,0.555,0.603,0.369,0.276
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.415,0.401,0.092,0.046,0.043,0.285
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.292,0.224,0.292,0.332,0.141,0.311
"P12_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.009,0.045,0.008,0.322,0.007
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.039,0.003,0.003,0.005,0.014,0.013
"P12_imputada","En blanco",0.017,0.014,0.013,0.006,0.111,0.108
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.164,0.204,0.572,0.692,0.375,0.379
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.323,0.612,0.213,0.268,0,0.145
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.474,0.125,0.1,0,0.324,0.298
"P16_imputada","Los candidatos a presidente de la Izquierda",0.012,0.045,0.107,0.04,0.079,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.014,0.004,0,0.023,0.178
"P16_imputada","En blanco",0,0,0.004,0,0.199,0
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.222,0.238,0.485,0.564,0.898,0.35
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.438,0.646,0.187,0.291,0,0.557
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.303,0.111,0.213,0.082,0.023,0.049
"P19_imputada","El candidato a gobernador de la Izquierda",0.026,0,0.103,0.063,0.079,0
"P19_imputada","En blanco",0.011,0.005,0.012,0,0,0.044
"P22_imputada","Fernando Moreira a intendente por Unión por la Patria",0.299,0.455,0.49,0.606,0.369,0.504
"P22_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.501,0.444,0.385,0.136,0,0.327
"P22_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.148,0.078,0.052,0.238,0.449,0.057
"P22_imputada","El candidato del Frente de Izquierda",0.007,0,0.067,0.02,0.159,0
"P22_imputada","En blanco",0.045,0.023,0.006,0,0.023,0.112
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.211,0.302,0.606,0.628,0.433,0.42
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.392,0.464,0.109,0.083,0,0.188
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.366,0.197,0.22,0.264,0.271,0.281
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.009,0.025,0.05,0.019,0.171,0.007
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.021,0.008,0.001,0,0.014,0.097
"PRESIDENTE_imputada","En blanco",0.001,0.004,0.014,0.006,0.111,0.007
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.233,0.32,0.576,0.598,0.738,0.409
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.438,0.469,0.101,0.089,0,0.389
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.297,0.193,0.259,0.284,0.091,0.153
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.015,0.009,0.047,0.023,0.171,0.007
"GOBERNADOR_imputada","En blanco",0.017,0.009,0.017,0.006,0,0.042
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.267,0.391,0.579,0.608,0.421,0.484
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.466,0.404,0.165,0.052,0,0.282
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.229,0.181,0.206,0.321,0.351,0.157
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.008,0.009,0.035,0.013,0.213,0.007
"INTENDENTE_imputada","En blanco",0.03,0.015,0.015,0.006,0.015,0.07
