"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.369,0.33,0.404,0.379,0.308,0.432,0.398,0.348,0.385,0.367,0.573,0.453,0.242,0.26,0.046,0.395,0.362,0.346
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.283,0.297,0.271,0.323,0.231,0.289,0.344,0.272,0.286,0.293,0.078,0.228,0.654,0.493,0.316,0.279,0.279,0.294
"Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.271,0.295,0.249,0.194,0.357,0.232,0.215,0.282,0.253,0.285,0.304,0.246,0.062,0.19,0.594,0.261,0.262,0.292
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.023,0.024,0.023,0.035,0.015,0.015,0.034,0.015,0.026,0.013,0.025,0.002,0.014,0,0.022,0.025,0.025
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.022,0.029,0.016,0.023,0.042,0.007,0.001,0.024,0.029,0.008,0.009,0.028,0,0.033,0.044,0.019,0.028,0.018
"En blanco",0.031,0.026,0.036,0.058,0.027,0.025,0.027,0.04,0.032,0.021,0.023,0.02,0.04,0.01,0,0.024,0.044,0.025
