"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Axel Kicillof a gobernador por Unión por la Patria",0.293,0.287,0.299,0.367,0.277,0.35,0.206,0.278,0.297,0.303,0.47,0.46,0.041,0.064,0.031,0.23,0.271,0.405
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.326,0.304,0.346,0.24,0.26,0.361,0.457,0.227,0.357,0.374,0.195,0.173,0.825,0.556,0.134,0.392,0.357,0.195
"Carolina Piparo a gobernadora por la Libertad Avanza",0.2,0.259,0.142,0.306,0.207,0.175,0.147,0.269,0.164,0.187,0.158,0.214,0.078,0.247,0.62,0.168,0.168,0.287
"El candidato a gobernador de la Izquierda",0.039,0.059,0.02,0.049,0.045,0.026,0.038,0.05,0.029,0.044,0.041,0.083,0,0,0.13,0.015,0.068,0.028
"En blanco",0.017,0.019,0.015,0,0.015,0.021,0.027,0.032,0.006,0.02,0.011,0.035,0.008,0.004,0.085,0.031,0.017,0
"No sabe",0.125,0.072,0.178,0.038,0.196,0.067,0.125,0.144,0.147,0.072,0.125,0.035,0.048,0.129,0,0.164,0.119,0.085
