"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Maximo Kirchner por el Frente de todos",0.37,0.355,0.386,0.297,0.4,0.375,0.397,0.477,0.345,0.276,0.672,0.067,0.112,0.386,0.332
"Jorge Macri por Cambiemos",0.341,0.341,0.34,0.28,0.294,0.369,0.506,0.259,0.379,0.381,0.101,0.717,0.191,0.335,0.353
"Florencio Randazzo",0.105,0.122,0.088,0.086,0.12,0.136,0.055,0.086,0.113,0.117,0.128,0.038,0.302,0.104,0.109
"Espert por los liberales",0.101,0.122,0.079,0.168,0.104,0.08,0.022,0.089,0.089,0.136,0.036,0.13,0.247,0.094,0.118
"Del Caño por el Frente de Izquierda",0.083,0.06,0.107,0.169,0.082,0.04,0.02,0.089,0.074,0.09,0.063,0.048,0.148,0.081,0.088
