"var","categoria","Maximo Kirchner por el Frente de todos","Jorge Macri por Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.895,0.836,0.789,0.802,0.673
"P08","Puede ser",0.095,0.074,0.08,0.07,0.088
"P08","No",0.01,0.09,0.131,0.128,0.239
"P09","Sergio Massa por el Frente de todos",0.81,0.155,0.2,0.002,0.253
"P09","Jorge Macri por Cambiemos",0.077,0.78,0.053,0.163,0.052
"P09","Florencio Randazzo",0.038,0.025,0.726,0.05,0.032
"P09","Espert por los liberales",0.017,0.011,0,0.733,0
"P09","Del Caño por el Frente de Izquierda",0.058,0.029,0.021,0.052,0.663
"P11","Maximo Kirchner por el Frente de todos",0.92,0.111,0.035,0.004,0.171
"P11","Facundo Manes por Cambiemos",0.041,0.78,0.132,0.148,0.07
"P11","Florencio Randazzo",0.022,0.039,0.818,0.049,0
"P11","Espert por los liberales",0.001,0.054,0.003,0.767,0.032
"P11","Del Caño por el Frente de Izquierda",0.016,0.016,0.012,0.032,0.727
"P13","Sergio Massa por el Frente de todos",0.807,0.085,0.062,0.019,0.114
"P13","Facundo Manes por Cambiemos",0.118,0.774,0.076,0.135,0.175
"P13","Florencio Randazzo",0.034,0.049,0.824,0,0.019
"P13","Espert por los liberales",0.002,0.065,0.001,0.842,0.032
"P13","Del Caño por el Frente de Izquierda",0.039,0.027,0.037,0.004,0.66
