"var","categoria","Sergio Massa por el Frente de todos","Jorge Macri por Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.888,0.818,0.736,0.803,0.701
"P08","Puede ser",0.078,0.104,0.113,0.114,0.083
"P08","No",0.034,0.078,0.151,0.083,0.216
"P11","Maximo Kirchner por el Frente de todos",0.831,0.065,0.102,0.028,0.323
"P11","Facundo Manes por Cambiemos",0.085,0.777,0.138,0.176,0.061
"P11","Florencio Randazzo",0.058,0.032,0.722,0,0.015
"P11","Espert por los liberales",0,0.075,0.027,0.796,0.053
"P11","Del Caño por el Frente de Izquierda",0.026,0.051,0.011,0,0.548
"P13","Sergio Massa por el Frente de todos",0.768,0.065,0.078,0.013,0.125
"P13","Facundo Manes por Cambiemos",0.15,0.784,0.104,0.162,0.096
"P13","Florencio Randazzo",0.065,0.035,0.683,0.018,0.066
"P13","Espert por los liberales",0,0.084,0.073,0.807,0.086
"P13","Del Caño por el Frente de Izquierda",0.017,0.032,0.062,0,0.627
"P15","Maximo Kirchner por el Frente de todos",0.759,0.089,0.134,0.074,0.228
"P15","Jorge Macri por Cambiemos",0.134,0.829,0.079,0.043,0.107
"P15","Florencio Randazzo",0.053,0.017,0.715,0,0.024
"P15","Espert por los liberales",0.001,0.051,0.047,0.883,0.055
"P15","Del Caño por el Frente de Izquierda",0.053,0.014,0.025,0,0.586
