"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.483,0.357,0.305,0.381,0.274,0.161
"P05","Bastante",0.304,0.372,0.329,0.356,0.227,0.25
"P05","Poco",0.187,0.214,0.254,0.202,0.274,0.337
"P05","Nada",0.021,0.04,0.089,0.055,0.171,0.214
"P05","No sabe",0.005,0.017,0.023,0.006,0.054,0.038
"P06","Siempre",0.305,0.252,0.209,0.26,0.215,0.133
"P06","Casi siempre",0.408,0.427,0.309,0.344,0.318,0.266
"P06","Casi nunca",0.219,0.23,0.336,0.231,0.312,0.331
"P06","Nunca, pero esta es una excepción",0.068,0.091,0.146,0.165,0.155,0.27
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.622,0.085,0.038,0.062,0.104,0.127
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.157,0.02,0.013,0.154,0.106,0.025
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.577,0.083,0.019,0.049,0.086
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.03,0.21,0.031,0.027,0.073,0.04
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.071,0.041,0.791,0.203,0.229,0.141
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.009,0.001,0.4,0.02,0.018
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.015,0.013,0.026,0.111,0.062
"P09","Otros",0.005,0.014,0.014,0.073,0.211,0.079
"P09","En blanco",0.002,0.012,0.011,0.03,0.057,0.139
"P09","No sabe",0.012,0.017,0.005,0.006,0.04,0.283
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.481,0.114,0.039,0.166,0.181,0.145
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.191,0.044,0.042,0.199,0.064,0.033
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.382,0.372,0.103,0.146,0.07
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.064,0.239,0.1,0.025,0.096,0.069
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.149,0.363,0.147,0.183,0.16
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.008,0.013,0.212,0.018,0.035
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.018,0.023,0.026,0.059,0.065
