"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.481,0.351,0.338,0.586,0.269,0.349,0.35,0.224
"P05","Bastante",0.315,0.381,0.329,0.214,0.262,0.315,0.306,0.388
"P05","Poco",0.17,0.216,0.253,0.181,0.351,0.232,0.219,0.277
"P05","Nada",0.025,0.04,0.07,0.016,0.061,0.071,0.123,0.053
"P05","No sabe",0.009,0.012,0.01,0.003,0.057,0.033,0.002,0.058
"P06","Siempre",0.317,0.262,0.223,0.297,0.169,0.21,0.336,0.183
"P06","Casi siempre",0.439,0.442,0.372,0.406,0.42,0.375,0.357,0.36
"P06","Casi nunca",0.183,0.211,0.281,0.237,0.318,0.341,0.194,0.282
"P06","Nunca, pero esta es una excepción",0.061,0.085,0.124,0.06,0.093,0.074,0.113,0.175
"P08","Unión por la Patria",0.739,0.106,0.106,0.163,0.176,0.125,0.092,0.097
"P08","Juntos por el Cambio",0.134,0.789,0.192,0.09,0.243,0.394,0.411,0.288
"P08","Liberales",0.017,0.039,0.537,0.023,0.178,0.029,0.018,0.035
"P08","Izquierda",0.013,0.002,0.028,0.646,0.048,0.008,0.041,0.012
"P08","Otro",0.034,0.021,0.066,0.016,0.136,0.304,0.065,0.055
"P08","No sabe",0.063,0.043,0.071,0.062,0.219,0.14,0.373,0.513
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.721,0.021,0.031,0.091,0.026,0.011,0.048,0.058
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.172,0.007,0.006,0.2,0.096,0.17,0.07,0.048
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.02,0.626,0.184,0.033,0.129,0.38,0.351,0.326
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.008,0.287,0.024,0.019,0.055,0.067,0.049,0.037
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.031,0.717,0.042,0.092,0.074,0.056,0.049
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.003,0.005,0.53,0.004,0.005,0.01,0.023
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.003,0.006,0.004,0.545,0,0.039,0.005
"P09","Otros",0.012,0.009,0.006,0.059,0.009,0.226,0.056,0.071
"P09","En blanco",0.008,0.002,0.006,0.022,0.013,0.012,0.244,0.036
"P09","No sabe",0.019,0.011,0.015,0,0.031,0.055,0.077,0.347
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.587,0.071,0.039,0.124,0.132,0.076,0.026,0.067
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.199,0.026,0.033,0.286,0.101,0.121,0.097,0.024
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.044,0.427,0.35,0.049,0.042,0.354,0.262,0.242
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.048,0.333,0.089,0.079,0.12,0.026,0.013,0.03
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.102,0.429,0.04,0.172,0.114,0.077,0.055
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.007,0.006,0.258,0.007,0.006,0.026,0.062
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.009,0.015,0.007,0.323,0.003,0.081,0.028
"P18","Otros",0.018,0.007,0.011,0.109,0.025,0.19,0.022,0.063
"P18","En blanco",0.009,0.003,0.022,0.046,0.023,0.024,0.351,0.067
"P18","No sabe",0.016,0.015,0.006,0.002,0.055,0.086,0.045,0.362
"P25","Totalmente seguro",0.66,0.624,0.686,0.534,0.506,0.614,0.642,0.297
"P25","Bastante seguro",0.179,0.188,0.165,0.248,0.239,0.094,0.122,0.138
"P25","Algo seguro",0.102,0.112,0.102,0.115,0.193,0.162,0.043,0.105
"P25","Para nada seguro",0.059,0.076,0.047,0.103,0.062,0.13,0.193,0.46
"P26","Tiene Decidido que va a ir a votar",0.927,0.917,0.9,0.849,0.853,0.862,0.78,0.747
"P26","Tiene dudas sobre si va a ir a  votar",0.057,0.057,0.064,0.102,0.117,0.095,0.102,0.155
"P26","Tiene Decidido que no va a ir a votar",0.016,0.026,0.036,0.049,0.03,0.043,0.118,0.098
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.92,0.034,0.007,0.052,0.011,0.028,0.006,0.067
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.022,0.807,0.203,0.044,0.097,0.33,0.34,0.339
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.011,0.043,0.771,0.028,0.086,0.078,0.038,0.031
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.008,0.002,0.851,0.034,0.01,0.035,0.011
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.031,0.002,0.01,0.731,0.025,0.011,0.033
"P27","Otros",0.016,0.048,0.009,0.007,0.002,0.408,0.032,0.019
"P27","En blanco",0.003,0.008,0.001,0.003,0.01,0.032,0.491,0.033
"P27","No sabe",0.009,0.021,0.005,0.005,0.029,0.089,0.047,0.467
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.901,0.104,0.061,0.451,0.227,0.191,0.053,0.101
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.815,0.677,0.074,0.296,0.452,0.447,0.441
"P33","En blanco",0.057,0.035,0.188,0.404,0.236,0.166,0.441,0.057
"P33","No sabe",0.019,0.046,0.074,0.071,0.241,0.191,0.059,0.401
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.147,0.779,0.228,0.245,0.292,0.444,0.298,0.417
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.045,0.118,0.734,0.042,0.211,0.105,0.206,0.034
"P34","En blanco",0.636,0.052,0.022,0.644,0.278,0.24,0.412,0.074
"P34","No sabe",0.172,0.051,0.016,0.069,0.219,0.211,0.084,0.475
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.901,0.084,0.06,0.352,0.205,0.143,0.048,0.109
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.025,0.821,0.432,0.08,0.244,0.247,0.255,0.236
"P35","En blanco",0.045,0.044,0.368,0.523,0.279,0.261,0.633,0.112
"P35","No sabe",0.029,0.051,0.14,0.045,0.272,0.349,0.064,0.543
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.161,0.775,0.094,0.273,0.205,0.21,0.193,0.175
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.125,0.845,0.041,0.196,0.161,0.068,0.136
"P36","En blanco",0.608,0.044,0.039,0.571,0.337,0.28,0.674,0.103
"P36","No sabe",0.188,0.056,0.022,0.115,0.262,0.349,0.065,0.586
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.925,0.118,0.049,0.455,0.281,0.169,0.054,0.105
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.017,0.389,0.905,0.063,0.266,0.202,0.064,0.147
"P37","En blanco",0.038,0.275,0.03,0.386,0.193,0.261,0.731,0.098
"P37","No sabe",0.02,0.218,0.016,0.096,0.26,0.368,0.151,0.65
"P38","Lo votaría",0.877,0.076,0.051,0.224,0.134,0.068,0.037,0.108
"P38","Puede que lo vote",0.064,0.138,0.12,0.161,0.258,0.204,0.097,0.058
"P38","Nunca lo votaría",0.044,0.756,0.805,0.472,0.538,0.652,0.729,0.577
"P38","No sabe",0.015,0.03,0.024,0.143,0.07,0.076,0.137,0.257
"P39","Lo votaría",0.533,0.021,0.038,0.466,0.108,0.12,0.092,0.088
"P39","Puede que lo vote",0.244,0.036,0.068,0.275,0.181,0.136,0.059,0.028
"P39","Nunca lo votaría",0.162,0.912,0.867,0.211,0.582,0.688,0.726,0.63
"P39","No sabe",0.061,0.031,0.027,0.048,0.129,0.056,0.123,0.254
"P40","Lo votaría",0.081,0.673,0.372,0.08,0.176,0.4,0.349,0.424
"P40","Puede que lo vote",0.054,0.128,0.321,0.142,0.212,0.123,0.09,0.146
"P40","Nunca lo votaría",0.829,0.169,0.29,0.715,0.497,0.405,0.447,0.279
"P40","No sabe",0.036,0.03,0.017,0.063,0.115,0.072,0.114,0.151
"P41","Lo votaría",0.026,0.687,0.148,0.079,0.091,0.167,0.148,0.183
"P41","Puede que lo vote",0.062,0.243,0.353,0.096,0.24,0.224,0.176,0.123
"P41","Nunca lo votaría",0.871,0.047,0.456,0.743,0.56,0.541,0.544,0.426
"P41","No sabe",0.041,0.023,0.043,0.082,0.109,0.068,0.132,0.268
"P42","Lo votaría",0.026,0.191,0.778,0.043,0.164,0.112,0.097,0.06
"P42","Puede que lo vote",0.031,0.329,0.145,0.068,0.21,0.166,0.125,0.16
"P42","Nunca lo votaría",0.917,0.428,0.071,0.863,0.573,0.617,0.672,0.622
"P42","No sabe",0.026,0.052,0.006,0.026,0.053,0.105,0.106,0.158
"P43","Lo votaría",0.072,0.034,0.114,0.662,0.082,0.049,0.035,0.027
"P43","Puede que lo vote",0.348,0.089,0.062,0.176,0.156,0.156,0.081,0.079
"P43","Nunca lo votaría",0.516,0.837,0.795,0.159,0.704,0.752,0.742,0.733
"P43","No sabe",0.064,0.04,0.029,0.003,0.058,0.043,0.142,0.161
"P44","Lo votaría",0.038,0.055,0.041,0.136,0.555,0,0,0.014
"P44","Puede que lo vote",0.188,0.175,0.143,0.128,0.147,0.163,0.09,0.201
"P44","Nunca lo votaría",0.71,0.693,0.782,0.682,0.231,0.794,0.778,0.586
"P44","No sabe",0.064,0.077,0.034,0.054,0.067,0.043,0.132,0.199
"P52","Si",0.556,0.508,0.506,0.461,0.464,0.504,0.313,0.394
"P52","No",0.444,0.492,0.494,0.539,0.536,0.496,0.687,0.606
