"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.893,0.608,0.072,0.294,0.296,0.179,0.15
"P33","En blanco",0.057,0.022,0.212,0.37,0.188,0.225,0.641,0.131
"P33","No sabe",0.02,0.019,0.093,0.059,0.267,0.211,0.089,0.582
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.839,0.108,0.247,0.28,0.215,0.126,0.198
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.119,0.823,0.026,0.19,0.193,0.151,0.065
"P34","En blanco",0.636,0.017,0.049,0.627,0.262,0.373,0.579,0.103
"P34","No sabe",0.173,0.025,0.02,0.1,0.268,0.219,0.144,0.634
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.895,0.066,0.077,0.44,0.2,0.225,0.084,0.153
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.033,0.721,0.416,0.076,0.364,0.452,0.263,0.3
"P35","En blanco",0.043,0.116,0.381,0.418,0.186,0.114,0.553,0.088
"P35","No sabe",0.029,0.097,0.126,0.066,0.25,0.209,0.1,0.459
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.178,0.609,0.11,0.259,0.396,0.415,0.234,0.232
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.229,0.814,0.039,0.174,0.131,0.021,0.1
"P36","En blanco",0.6,0.072,0.055,0.612,0.193,0.256,0.633,0.115
"P36","No sabe",0.178,0.09,0.021,0.09,0.237,0.198,0.112,0.553
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.93,0.077,0.07,0.496,0.302,0.241,0.066,0.165
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.022,0.454,0.877,0.057,0.249,0.23,0.047,0.091
"P37","En blanco",0.031,0.254,0.038,0.359,0.208,0.217,0.73,0.142
"P37","No sabe",0.017,0.215,0.015,0.088,0.241,0.312,0.157,0.602
"P38","Lo votaría",0.865,0.066,0.077,0.233,0.099,0.129,0.081,0.085
"P38","Puede que lo vote",0.071,0.115,0.142,0.221,0.155,0.204,0.047,0.116
"P38","Nunca lo votaría",0.044,0.799,0.755,0.409,0.684,0.573,0.635,0.482
"P38","No sabe",0.02,0.02,0.026,0.137,0.062,0.094,0.237,0.317
"P39","Lo votaría",0.514,0.02,0.057,0.489,0.07,0.188,0.094,0.105
"P39","Puede que lo vote",0.241,0.034,0.074,0.242,0.119,0.1,0.094,0.182
"P39","Nunca lo votaría",0.175,0.926,0.833,0.24,0.701,0.658,0.62,0.412
"P39","No sabe",0.07,0.02,0.036,0.029,0.11,0.054,0.192,0.301
"P40","Lo votaría",0.078,0.78,0.24,0.118,0.177,0.094,0.069,0.099
"P40","Puede que lo vote",0.057,0.084,0.393,0.133,0.194,0.267,0.146,0.182
"P40","Nunca lo votaría",0.829,0.121,0.33,0.688,0.534,0.552,0.591,0.528
"P40","No sabe",0.036,0.015,0.037,0.061,0.095,0.087,0.194,0.191
"P41","Lo votaría",0.04,0.555,0.15,0.08,0.285,0.374,0.203,0.255
"P41","Puede que lo vote",0.068,0.269,0.326,0.093,0.212,0.149,0.145,0.161
"P41","Nunca lo votaría",0.855,0.128,0.489,0.759,0.429,0.423,0.51,0.363
"P41","No sabe",0.037,0.048,0.035,0.068,0.074,0.054,0.142,0.221
"P42","Lo votaría",0.026,0.221,0.814,0.057,0.133,0.147,0.12,0.049
"P42","Puede que lo vote",0.035,0.334,0.094,0.061,0.167,0.169,0.118,0.166
"P42","Nunca lo votaría",0.918,0.389,0.089,0.861,0.624,0.656,0.614,0.559
"P42","No sabe",0.021,0.056,0.003,0.021,0.076,0.028,0.148,0.226
"P43","Lo votaría",0.073,0.022,0.16,0.562,0.025,0.044,0.007,0.007
"P43","Puede que lo vote",0.337,0.078,0.08,0.214,0.089,0.168,0.128,0.142
"P43","Nunca lo votaría",0.528,0.868,0.728,0.22,0.799,0.713,0.704,0.614
"P43","No sabe",0.062,0.032,0.032,0.004,0.087,0.075,0.161,0.237
"P44","Lo votaría",0.041,0.026,0.063,0.137,0.567,0.013,0,0.032
"P44","Puede que lo vote",0.186,0.147,0.162,0.176,0.146,0.156,0.141,0.308
"P44","Nunca lo votaría",0.702,0.767,0.733,0.64,0.228,0.73,0.668,0.474
"P44","No sabe",0.071,0.06,0.042,0.047,0.059,0.101,0.191,0.186
"P52","Si",0.563,0.5,0.496,0.372,0.54,0.503,0.283,0.467
"P52","No",0.437,0.5,0.504,0.628,0.46,0.497,0.717,0.533
