"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.357,0.344,0.37,0.319,0.384,0.369,0.321,0.356,0.331,0.386,0.704,0.099,0.282,0.322,0.328,0.384,0.393
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.369,0.436,0.303,0.471,0.391,0.323,0.275,0.377,0.37,0.363,0.158,0.526,0.403,0.402,0.437,0.277,0.33
"En blanco",0.148,0.122,0.174,0.118,0.122,0.182,0.193,0.13,0.158,0.152,0.075,0.2,0.157,0.146,0.131,0.189,0.15
"No sabe",0.126,0.098,0.153,0.092,0.103,0.126,0.211,0.137,0.141,0.099,0.063,0.175,0.158,0.13,0.104,0.15,0.127
