"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.489,0.343,0.391,0.266
"P05","Bastante",0.317,0.347,0.341,0.388
"P05","Poco",0.163,0.252,0.225,0.242
"P05","Nada",0.021,0.048,0.038,0.08
"P05","No sabe",0.01,0.01,0.005,0.024
"P06","Siempre",0.313,0.251,0.32,0.2
"P06","Casi siempre",0.436,0.413,0.404,0.443
"P06","Casi nunca",0.193,0.249,0.207,0.229
"P06","Nunca, pero esta es una excepción",0.058,0.087,0.069,0.128
"P08","Unión por la Patria",0.679,0.091,0.132,0.102
"P08","Juntos por el Cambio",0.174,0.396,0.634,0.595
"P08","Liberales",0.026,0.4,0.034,0.018
"P08","Izquierda",0.033,0.02,0.069,0.023
"P08","Otro",0.035,0.043,0.055,0.052
"P08","No sabe",0.053,0.05,0.076,0.21
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.611,0.014,0.049,0.04
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.18,0.009,0.056,0.023
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.367,0.497,0.448
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.038,0.092,0.169,0.206
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.026,0.485,0.044,0.037
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.002,0.057,0.028
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.007,0.03,0.05
"P09","Otros",0.02,0.008,0.035,0.047
"P09","En blanco",0.003,0.003,0.054,0.017
"P09","No sabe",0.015,0.013,0.009,0.104
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.492,0.047,0.082,0.064
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.2,0.035,0.074,0.018
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.392,0.344,0.386
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.073,0.142,0.24,0.214
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.327,0.084,0.046
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.007,0.023,0.018
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.016,0.029,0.056
"P18","Otros",0.026,0.012,0.037,0.038
"P18","En blanco",0.013,0.016,0.072,0.017
"P18","No sabe",0.014,0.006,0.015,0.143
"P25","Totalmente seguro",0.661,0.674,0.677,0.477
"P25","Bastante seguro",0.176,0.159,0.187,0.179
"P25","Algo seguro",0.101,0.119,0.066,0.138
"P25","Para nada seguro",0.062,0.048,0.07,0.206
"P26","Tiene Decidido que va a ir a votar",0.927,0.92,0.862,0.856
"P26","Tiene dudas sobre si va a ir a  votar",0.05,0.056,0.091,0.089
"P26","Tiene Decidido que no va a ir a votar",0.023,0.024,0.047,0.055
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.77,0.018,0.062,0.041
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.075,0.424,0.593,0.591
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.041,0.498,0.053,0.025
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.043,0.005,0.075,0.022
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.023,0.049,0.066
"P27","Otros",0.025,0.023,0.054,0.092
"P27","En blanco",0.003,0.002,0.086,0.022
"P27","No sabe",0.014,0.007,0.028,0.141
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.782,0.014,0.078,0.047
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.097,0.311,0.55,0.512
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.034,0.611,0.051,0.032
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.004,0.066,0.019
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.02,0.036,0.058
"P28","Otros",0.018,0.02,0.065,0.108
"P28","En blanco",0.004,0.005,0.129,0.031
"P28","No sabe",0.011,0.015,0.025,0.193
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.855,0.05,0.104,0.062
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.08,0.779,0.593,0.599
"P33","En blanco",0.048,0.123,0.282,0.043
"P33","No sabe",0.017,0.048,0.021,0.296
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.22,0.418,0.565,0.598
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.551,0.087,0.038
"P34","En blanco",0.565,0.017,0.312,0.046
"P34","No sabe",0.157,0.014,0.036,0.318
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.831,0.055,0.082,0.061
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.102,0.594,0.547,0.497
"P35","En blanco",0.044,0.254,0.335,0.041
"P35","No sabe",0.023,0.097,0.036,0.401
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.26,0.284,0.52,0.463
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.047,0.663,0.043,0.072
"P36","En blanco",0.534,0.031,0.393,0.031
"P36","No sabe",0.159,0.022,0.044,0.434
"P38","Lo votaría",0.763,0.045,0.11,0.072
"P38","Puede que lo vote",0.129,0.125,0.069,0.095
"P38","Nunca lo votaría",0.075,0.812,0.789,0.685
"P38","No sabe",0.033,0.018,0.032,0.148
"P39","Lo votaría",0.478,0.028,0.095,0.041
"P39","Puede que lo vote",0.241,0.05,0.08,0.034
"P39","Nunca lo votaría",0.216,0.892,0.798,0.798
"P39","No sabe",0.065,0.03,0.027,0.127
"P40","Lo votaría",0.118,0.488,0.535,0.501
"P40","Puede que lo vote",0.077,0.256,0.127,0.108
"P40","Nunca lo votaría",0.762,0.234,0.316,0.277
"P40","No sabe",0.043,0.022,0.022,0.114
"P41","Lo votaría",0.089,0.312,0.468,0.472
"P41","Puede que lo vote",0.103,0.326,0.166,0.176
"P41","Nunca lo votaría",0.769,0.325,0.322,0.217
"P41","No sabe",0.039,0.037,0.044,0.135
"P42","Lo votaría",0.042,0.607,0.09,0.105
"P42","Puede que lo vote",0.065,0.287,0.138,0.141
"P42","Nunca lo votaría",0.872,0.089,0.708,0.618
"P42","No sabe",0.021,0.017,0.064,0.136
"P43","Lo votaría",0.078,0.101,0.085,0.043
"P43","Puede que lo vote",0.325,0.077,0.079,0.08
"P43","Nunca lo votaría",0.535,0.797,0.787,0.773
"P43","No sabe",0.062,0.025,0.049,0.104
"P44","Lo votaría",0.061,0.052,0.071,0.058
"P44","Puede que lo vote",0.196,0.166,0.132,0.13
"P44","Nunca lo votaría",0.676,0.737,0.747,0.663
"P44","No sabe",0.067,0.045,0.05,0.149
"P52","Si",0.558,0.516,0.47,0.397
"P52","No",0.442,0.484,0.53,0.603
