"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.451,0.537,0.362,0.33,0.306,0.432,0.289,0.348,0.109,0.13
"P05","Bastante",0.312,0.281,0.385,0.363,0.327,0.227,0.251,0.241,0.105,0.284
"P05","Poco",0.18,0.137,0.209,0.241,0.258,0.252,0.297,0.261,0.384,0.389
"P05","Nada",0.047,0.033,0.03,0.053,0.092,0.078,0.132,0.127,0.347,0.161
"P05","No sabe",0.01,0.012,0.014,0.013,0.017,0.011,0.031,0.023,0.055,0.036
"P06","Siempre",0.297,0.289,0.253,0.256,0.19,0.354,0.181,0.15,0.099,0.169
"P06","Casi siempre",0.411,0.426,0.434,0.395,0.327,0.331,0.484,0.376,0.206,0.235
"P06","Casi nunca",0.214,0.206,0.228,0.258,0.306,0.234,0.28,0.287,0.388,0.337
"P06","Nunca, pero esta es una excepción",0.078,0.079,0.085,0.091,0.177,0.081,0.055,0.187,0.307,0.259
"P08","Unión por la Patria",0.738,0.647,0.093,0.088,0.099,0.109,0.091,0.042,0.015,0.063
"P08","Juntos por el Cambio",0.125,0.105,0.793,0.75,0.071,0.136,0.199,0.14,0.14,0.11
"P08","Liberales",0.025,0.03,0.052,0.05,0.629,0.01,0.082,0.063,0.055,0.015
"P08","Izquierda",0.009,0.073,0.003,0.009,0.033,0.58,0.033,0.068,0.032,0.004
"P08","Otro",0.026,0.092,0.011,0.044,0.067,0.052,0.252,0.359,0.109,0.044
"P08","No sabe",0.077,0.053,0.048,0.059,0.101,0.113,0.343,0.328,0.649,0.764
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.577,0.446,0.056,0.089,0.046,0.152,0.1,0.136,0.09,0.087
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.187,0.299,0.028,0.027,0.038,0.233,0.06,0.013,0.024,0.011
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.026,0.452,0.389,0.333,0.055,0.067,0.048,0.024,0.074
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.053,0.03,0.244,0.304,0.092,0.044,0.1,0.065,0.033,0.027
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.067,0.172,0.138,0.421,0.029,0.095,0.039,0.008,0.089
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.069,0.004,0.006,0.007,0.333,0.021,0.027,0.052,0.017
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.02,0.008,0.015,0.022,0.019,0.442,0.004,0.04,0.029
"P18","Otros",0.014,0.026,0.008,0.014,0.014,0.078,0.026,0.384,0.029,0.022
"P18","En blanco",0.009,0.008,0.011,0.006,0.02,0.055,0.024,0.087,0.551,0.049
"P18","No sabe",0.023,0.009,0.017,0.012,0.007,0.002,0.065,0.197,0.149,0.595
"P25","Totalmente seguro",0.695,0.606,0.684,0.53,0.692,0.505,0.416,0.346,0.339,0.116
"P25","Bastante seguro",0.159,0.217,0.172,0.219,0.143,0.171,0.224,0.1,0.092,0.072
"P25","Algo seguro",0.095,0.105,0.089,0.159,0.103,0.155,0.234,0.09,0.094,0.216
"P25","Para nada seguro",0.051,0.072,0.055,0.092,0.062,0.169,0.126,0.464,0.475,0.596
"P26","Tiene Decidido que va a ir a votar",0.925,0.857,0.919,0.876,0.881,0.805,0.802,0.78,0.633,0.706
"P26","Tiene dudas sobre si va a ir a  votar",0.047,0.102,0.059,0.098,0.073,0.116,0.178,0.131,0.176,0.201
"P26","Tiene Decidido que no va a ir a votar",0.028,0.041,0.022,0.026,0.046,0.079,0.02,0.089,0.191,0.093
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.885,0.646,0.02,0.074,0.032,0.12,0.06,0.145,0.078,0.149
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.033,0.903,0.504,0.07,0.053,0.014,0.083,0.024,0.119
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.038,0.02,0.039,0.113,0.856,0.086,0.054,0.06,0.087,0.103
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.107,0.007,0.017,0.006,0.699,0,0.042,0.031,0
