"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.617,0.658,0.577,0.596,0.606,0.648,0.627,0.598,0.598,0.66,0.611,0.679,0.485,0.637,0.584,0.612,0.614
"Bastante seguro",0.164,0.159,0.169,0.192,0.152,0.158,0.167,0.143,0.176,0.171,0.187,0.154,0.162,0.156,0.165,0.193,0.168
"Algo seguro",0.112,0.102,0.121,0.113,0.133,0.074,0.11,0.111,0.123,0.098,0.112,0.098,0.189,0.109,0.147,0.078,0.104
"Para nada seguro",0.107,0.081,0.133,0.099,0.109,0.12,0.096,0.148,0.103,0.071,0.09,0.069,0.164,0.098,0.104,0.117,0.114
