"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.459,0.476,0.397,0.27,0.314,0.381,0.282,0.334,0.245,0.174
"P05","Bastante",0.304,0.305,0.326,0.433,0.328,0.279,0.229,0.344,0.225,0.27
"P05","Poco",0.177,0.184,0.236,0.221,0.248,0.219,0.354,0.196,0.302,0.355
"P05","Nada",0.044,0.029,0.039,0.06,0.09,0.121,0.13,0.11,0.216,0.158
"P05","No sabe",0.016,0.006,0.002,0.016,0.02,0,0.005,0.016,0.012,0.043
"P06","Siempre",0.305,0.271,0.273,0.217,0.222,0.237,0.165,0.184,0.169,0.107
"P06","Casi siempre",0.406,0.427,0.423,0.449,0.304,0.317,0.379,0.348,0.306,0.338
"P06","Casi nunca",0.203,0.239,0.228,0.236,0.32,0.354,0.237,0.393,0.316,0.317
"P06","Nunca, pero esta es una excepción",0.086,0.063,0.076,0.098,0.154,0.092,0.219,0.075,0.209,0.238
"P08","Unión por la Patria",0.627,0.597,0.117,0.135,0.132,0.257,0.184,0.186,0.072,0.107
"P08","Juntos por el Cambio",0.185,0.172,0.553,0.63,0.311,0.119,0.229,0.173,0.124,0.144
"P08","Liberales",0.029,0.076,0.246,0.121,0.345,0.09,0.133,0.079,0.143,0.023
"P08","Izquierda",0.024,0.068,0.013,0.006,0.027,0.287,0.029,0.089,0.04,0.002
"P08","Otro",0.046,0.039,0.033,0.04,0.06,0.044,0.118,0.275,0.152,0.039
"P08","No sabe",0.089,0.048,0.038,0.068,0.125,0.203,0.307,0.198,0.469,0.685
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.632,0.49,0.046,0.095,0.074,0.206,0.147,0.125,0.066,0.103
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.142,0.228,0.007,0.016,0.027,0.207,0.05,0.067,0.018,0.011
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.067,0.079,0.477,0.47,0.261,0.046,0.075,0.074,0.086,0.083
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.029,0.155,0.221,0.079,0.024,0.054,0.05,0.02,0.022
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.086,0.28,0.141,0.508,0.058,0.164,0.103,0.13,0.028
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.054,0.005,0.007,0.004,0.305,0.015,0.061,0.037,0.001
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.017,0.007,0.019,0.014,0.024,0.405,0.026,0.019,0.032
"P09","Otros",0.018,0.004,0.006,0.014,0.007,0.034,0.004,0.426,0.082,0.111
"P09","En blanco",0.011,0.007,0.003,0.007,0.001,0.06,0.038,0.029,0.468,0.076
"P09","No sabe",0.019,0.006,0.014,0.01,0.025,0.036,0.048,0.039,0.074,0.533
"P25","Totalmente seguro",0.642,0.663,0.673,0.586,0.684,0.527,0.464,0.54,0.48,0.221
"P25","Bastante seguro",0.184,0.197,0.141,0.207,0.138,0.171,0.237,0.154,0.122,0.092
"P25","Algo seguro",0.096,0.109,0.113,0.119,0.117,0.158,0.231,0.047,0.051,0.124
"P25","Para nada seguro",0.078,0.031,0.073,0.088,0.061,0.144,0.068,0.259,0.347,0.563
"P26","Tiene Decidido que va a ir a votar",0.908,0.917,0.908,0.873,0.893,0.856,0.79,0.839,0.694,0.71
"P26","Tiene dudas sobre si va a ir a  votar",0.08,0.055,0.065,0.074,0.071,0.118,0.19,0.105,0.102,0.159
"P26","Tiene Decidido que no va a ir a votar",0.012,0.028,0.027,0.053,0.036,0.026,0.02,0.056,0.204,0.131
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.77,0.603,0.05,0.111,0.08,0.336,0.118,0.214,0.084,0.118
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.095,0.606,0.56,0.31,0.058,0.072,0.091,0.088,0.179
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.1,0.279,0.173,0.548,0.071,0.186,0.048,0.187,0.072
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.086,0.008,0.014,0.009,0.398,0.045,0.132,0.045,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.031,0.02,0.03,0.016,0.048,0.459,0.049,0.027,0.061
"P27","Otros",0.027,0.052,0.022,0.054,0.026,0.031,0.008,0.342,0.017,0.036
"P27","En blanco",0.008,0.015,0.008,0.009,0.007,0.008,0.092,0,0.408,0.034
"P27","No sabe",0.023,0.018,0.007,0.049,0.004,0.05,0.02,0.124,0.144,0.5
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.798,0.628,0.05,0.101,0.078,0.307,0.162,0.221,0.102,0.155
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.092,0.078,0.466,0.673,0.17,0.103,0.105,0.076,0.035,0.129
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.046,0.091,0.352,0.166,0.659,0.077,0.161,0.117,0.225,0.051
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.076,0.005,0.014,0.006,0.325,0.007,0.113,0.045,0.002
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.035,0.005,0.028,0.033,0.011,0.415,0.033,0.029,0.056
"P28","Otros",0.014,0.051,0.054,0.007,0.027,0.013,0.005,0.308,0.038,0.107
"P28","En blanco",0.004,0.031,0.031,0.003,0.014,0.039,0.1,0.028,0.421,0.043
"P28","No sabe",0.012,0.01,0.037,0.008,0.013,0.125,0.045,0.104,0.105,0.457
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.803,0.7,0.091,0.172,0.128,0.587,0.292,0.36,0.186,0.145
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.107,0.133,0.835,0.651,0.609,0.141,0.22,0.12,0.147,0.281
"P33","En blanco",0.062,0.13,0.044,0.093,0.183,0.182,0.199,0.313,0.615,0.09
"P33","No sabe",0.028,0.037,0.03,0.084,0.08,0.09,0.289,0.207,0.052,0.484
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.193,0.137,0.61,0.601,0.354,0.14,0.231,0.25,0.161,0.229
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.127,0.321,0.211,0.529,0.086,0.271,0.169,0.174,0.071
"P34","En blanco",0.537,0.603,0.037,0.124,0.083,0.61,0.244,0.405,0.553,0.111
"P34","No sabe",0.175,0.133,0.032,0.064,0.034,0.164,0.254,0.176,0.112,0.589
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.809,0.7,0.084,0.144,0.119,0.582,0.244,0.326,0.14,0.156
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.112,0.122,0.617,0.727,0.425,0.137,0.323,0.091,0.081,0.176
"P35","En blanco",0.043,0.132,0.199,0.077,0.315,0.209,0.135,0.306,0.681,0.106
"P35","No sabe",0.036,0.046,0.1,0.052,0.141,0.072,0.298,0.277,0.098,0.562
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.214,0.169,0.459,0.7,0.178,0.241,0.167,0.138,0.129,0.152
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.089,0.118,0.382,0.155,0.664,0.071,0.276,0.163,0.177,0.114
"P36","En blanco",0.508,0.593,0.073,0.101,0.101,0.563,0.317,0.421,0.549,0.113
"P36","No sabe",0.189,0.12,0.086,0.044,0.057,0.125,0.24,0.278,0.145,0.621
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.823,0.734,0.1,0.186,0.13,0.574,0.254,0.384,0.196,0.186
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.13,0.534,0.372,0.757,0.129,0.26,0.189,0.254,0.079
"P37","En blanco",0.057,0.113,0.187,0.252,0.077,0.178,0.181,0.228,0.46,0.081
"P37","No sabe",0.038,0.023,0.179,0.19,0.036,0.119,0.305,0.199,0.09,0.654
"P38","Lo votaría",0.754,0.614,0.078,0.172,0.148,0.241,0.147,0.235,0.163,0.157
"P38","Puede que lo vote",0.101,0.143,0.105,0.132,0.097,0.297,0.163,0.13,0.056,0.077
"P38","Nunca lo votaría",0.113,0.221,0.799,0.661,0.721,0.366,0.667,0.498,0.662,0.465
"P38","No sabe",0.032,0.022,0.018,0.035,0.034,0.096,0.023,0.137,0.119,0.301
"P39","Lo votaría",0.409,0.556,0.049,0.077,0.082,0.457,0.07,0.114,0.142,0.043
"P39","Puede que lo vote",0.256,0.234,0.028,0.071,0.065,0.165,0.07,0.176,0.095,0.092
"P39","Nunca lo votaría",0.256,0.202,0.9,0.823,0.804,0.283,0.81,0.572,0.63,0.537
"P39","No sabe",0.079,0.008,0.023,0.029,0.049,0.095,0.05,0.138,0.133,0.328
"P40","Lo votaría",0.116,0.119,0.629,0.579,0.388,0.102,0.122,0.136,0.14,0.134
"P40","Puede que lo vote",0.087,0.075,0.193,0.161,0.245,0.054,0.139,0.131,0.164,0.184
"P40","Nunca lo votaría",0.745,0.787,0.157,0.24,0.336,0.82,0.709,0.606,0.584,0.414
"P40","No sabe",0.052,0.019,0.021,0.02,0.031,0.024,0.03,0.127,0.112,0.268
"P41","Lo votaría",0.076,0.063,0.447,0.625,0.181,0.072,0.196,0.08,0.04,0.144
"P41","Puede que lo vote",0.111,0.099,0.271,0.257,0.284,0.076,0.207,0.096,0.138,0.204
"P41","Nunca lo votaría",0.768,0.816,0.239,0.101,0.478,0.792,0.542,0.705,0.719,0.343
"P41","No sabe",0.045,0.022,0.043,0.017,0.057,0.06,0.055,0.119,0.103,0.309
"P42","Lo votaría",0.062,0.084,0.388,0.24,0.606,0.044,0.31,0.113,0.198,0.025
"P42","Puede que lo vote",0.069,0.053,0.217,0.288,0.215,0.13,0.145,0.141,0.125,0.104
"P42","Nunca lo votaría",0.844,0.853,0.357,0.432,0.148,0.79,0.516,0.693,0.594,0.584
"P42","No sabe",0.025,0.01,0.038,0.04,0.031,0.036,0.029,0.053,0.083,0.287
"P43","Lo votaría",0.075,0.125,0.062,0.039,0.133,0.42,0.037,0.083,0.074,0
"P43","Puede que lo vote",0.302,0.301,0.064,0.112,0.086,0.318,0.191,0.174,0.203,0.145
"P43","Nunca lo votaría",0.57,0.541,0.846,0.797,0.743,0.225,0.7,0.632,0.612,0.57
"P43","No sabe",0.053,0.033,0.028,0.052,0.038,0.037,0.072,0.111,0.111,0.285
"P44","Lo votaría",0.056,0.045,0.042,0.063,0.04,0.046,0.567,0.01,0.055,0.029
"P44","Puede que lo vote",0.18,0.151,0.13,0.213,0.153,0.15,0.245,0.216,0.195,0.223
"P44","Nunca lo votaría",0.697,0.769,0.779,0.647,0.756,0.678,0.153,0.641,0.654,0.486
"P44","No sabe",0.067,0.035,0.049,0.077,0.051,0.126,0.035,0.133,0.096,0.262
"P52","Si",0.534,0.539,0.49,0.515,0.503,0.493,0.64,0.373,0.453,0.51
"P52","No",0.466,0.461,0.51,0.485,0.497,0.507,0.36,0.627,0.547,0.49
