"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.821,0.804,0.836,0.806,0.829,0.849,0.786,0.781,0.824,0.864,0.835,0.761,0.87,0.828
"Bastante seguro",0.112,0.117,0.107,0.126,0.11,0.089,0.127,0.131,0.114,0.087,0.106,0.162,0.064,0.103
"Algo seguro",0.039,0.051,0.028,0.027,0.046,0.041,0.036,0.069,0.018,0.033,0.031,0.053,0.026,0.041
"Para nada seguro",0.028,0.028,0.029,0.041,0.015,0.021,0.051,0.019,0.044,0.016,0.028,0.024,0.04,0.028
