"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.733,0.686,0.775,0.635,0.779,0.794,0.68,0.65,0.733,0.83,0.754,0.724,0.682,0.728
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.196,0.229,0.166,0.253,0.164,0.164,0.233,0.256,0.194,0.129,0.178,0.195,0.14,0.221
"En blanco",0.043,0.053,0.034,0.09,0.032,0.018,0.039,0.057,0.043,0.027,0.04,0.055,0.133,0.026
"Aun no tengo decidido mi voto",0.028,0.032,0.025,0.022,0.025,0.024,0.048,0.037,0.03,0.014,0.028,0.026,0.045,0.025
