"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.272,0.373,0.178,0,0.342,0.453,0.387,0.385,0.188,0.223,0.386,0.131,0.354,0.195
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.142,0.209,0.079,0,0.124,0.308,0.235,0.18,0.137,0.088,0.163,0.156,0.311,0.104
"En blanco",0.586,0.418,0.743,1,0.534,0.239,0.378,0.435,0.675,0.689,0.451,0.713,0.335,0.701
